k'iche'.;K'iche'
krataa a wɔde kyekyere nneɛma ho;wrapping paper
krataa a wɔde kyerɛw;epistle
krataa a wɔde kyerɛw krataa;cardboard
krataa a wɔde kyerɛw krataa;cover letter
krataa a wɔde kyerɛw krataa;flyer
krataa a wɔde kyerɛw krataa;leaflet
krataa a wɔde kyerɛw krataa;letterhead
krataa a wɔde kyerɛw krataa;paperboard
krataa a wɔde kyerɛw krataa;placard
krataa a wɔde kyerɛw krataa;sheet of paper
krataa a wɔde kyerɛw krataa;underwrite
krataa a wɔde kyerɛw marque;letter of marque
krataa a wɔde kyerɛw nsɛm;paperback
krataa a wɔde kyerɛw tumi krataa;letter patent
krataa a wɔde susuw nneɛma ho;paperweight
krataa a wɔde twa nneɛma;papercutting
krataa a ɛwɔ ase hɔ;bottom sheet
krataa a ɛyɛ jam;paper jam
krataa a ɛyɛ kurukuruwa;circular letter
krataa adaka;letterbox
krataa asinasin bi;piece of paper
krataa kuruwa;paper cup
krataa kɔkɔɔ;red tape
krataa mpopaho;paper towel
krataa sika;paper money
krataa so deɛ;formal
krataa wimhyɛn;paper aeroplane
krataa ɔtopae;letter bomb
kratafa;page
kratafa a edi kan no;front page
kratawa no;tract
krayon a wɔde krayon ayɛ;crayon
kremlin na ɛwɔ hɔ;Kremlin
kreta;Crete
kriket a wɔbɔ;cricket
kriketni a ɔbɔ bɔɔl;cricketer
krill na ɛyɛ;krill
krishna na ɔkyerɛwee;Krishna
kristo;Christ
kristo ba;Christ child
kristofo a wɔde wɔn ho hyɛ mu;Christianization
kristofo afe;Christian year
kristofo din;Christian name
kristoman;Christendom
kristoni;Christian
kristosom;Christianities
kristosom;Christianity
krone a ɛyɛ den;krone
kronkron;hallow
kronkron;holy
kronkron a ɛyɛ kronkron;sacrosanct
kronkronbea;shrine
kronkronbea ahorow;hallows
kronkronbea kronkronbea;sanctum sanctorum
kronkronbea kurow;sanctuary city
kronkronyɛ;canonization
kronkronyɛ;holiness
kronkronyɛ;sacralization
kronkronyɛ;sanctimonious
krypton a wɔfrɛ no krypton;krypton
kryptonite a wɔde yɛ nneɛma;kryptonite
krɔnobɔ;heist
kshatriya;kshatriya
kuadwuma;agriculture
kuala lumpur na ɛwɔ hɔ;Kuala Lumpur
kuayɛ a wɔyɛ;cultivation
kuayɛ ho adesua;agrology
kuayɛ ho adesua;agronomic
kuayɛ ho adwuma;agrarian
kuayɛ ho adwuma;agricultural
kuayɛ ho adwuma;husbandry
kuayɛ ho mfiridwuma;agrotechnical
kuayɛ ho nimdeɛ;agrarianism
kuayɛ ho ɔbenfo;agriculturist
kuayɛ ho ɔbenfo;agronomist
kuayɛ mu akwantu ho adwuma;agritourism
kuban;Kuban
kubik mita;cubic metre
kubik sɛntimita;cubic centimetre
kudos;kudos
kudu;kudu
kufic;Kufic
kuiper abɔso;Kuiper belt
kuiper abɔso ade;Kuiper belt object
kukisi monster a ɛyɛ fɛ;Cookie Monster
kuku;pot
kuku a wɔde hyɛ nsu mu;melting pot
kuku a ɛyɛ hyew;hot pot
kukuroko;magnificent
kukuruku a wɔde squirting;squirting cucumber
kukuruoo;fabulous
kulak;kulak
kum;damp
kum;execute
kum;kill
kum;slay
kum a wokum nnipa;slaughter
kum bere;kill time
kumaa;less
kumaa;minor
kumiko;Kumiko
kumin;cumin
kumquat a wɔde di dwuma;kumquat
kuna;kuna
kung fu;kung fu
kungurian na ɔkyerɛwee;Kungurian
kunming na ɔkyerɛwee;Kunming
kuntann;complex
kuntann;robust
kunu;husband
kuo;agency
kura mu;hold down
kura mu;hold off
kura mu;hold up
kura mu;sustain
kura obi apɔnkɔ;hold one's horses
kura obi tɛkrɛma mu;hold one's tongue
kuram;hold
kurdfo kasa;Kurd
kurdish kasa mu;Kurdish
kurdistan;Kurdistan
kurgan na ɔkyerɛwee;Kurgan
kuril nsupɔw so;Kuril Islands
kuro;town
kurokuro;turkey
kurom;homeland
kurom;urban
kurom hɔ;hometown
kuropɔn;city
kuropɔn kɛse mu;metropolitan
kurotia;suburb
kurotia;suburban
kurow a mframa wɔbɔ;Windy City
kurow a wɔabara;Forbidden City
kurow a wɔhwɛ so;control city
kurow dedaw bi;old town
kurow ketewa bi;small town
kurow no abɔnten so;town square
kurow no ho nhyehyɛe;town planning
kurow no mfinimfini;downtown
kurow no mu;township
kurow no mu asa so;city hall
kurow no mu asa so;town hall
kurow no mu baguafo;city council
kurow no mu block;city block
kurow no mu gas;town gas
kurow no mu ɔman;city state
kursk na ɔkyerɛwee;Kursk
kurta;kurta
kurukuruwa;circlet
kurukuruwa;circular
kurukuruwa;round
kurukuruwa;sphere
kurukuruwa a wɔde hwɛ ahwehwɛ;circle contact lens
kurukuruwa a ɛyɛ kurukuruwa;round angle
kurukuruwa a ɛyɛ kurukuruwa;sphericon
kurukuruwa fã;semicircle
kurukuruwa kyerɛwtohɔ;spherometer
kuruwa;chalice
kuruwa;cup
kuruwa;goblet
kuruwa;jug
kuruwa a wɔatwa;bowl cut
kuruwa a wɔde tii ayɛ;cup of tea
kuruwa a wɔde yɛ keeki;cupcake
kuruwa a wɔnom nsu;suction cup
kuruwa kɛseɛ;jar
kuruwa kɛseɛ;mug
kur’aan;Qur'an
kusie;rat
kusuuyɛ;moody
kutawonsa;July
kutenai na ɔkyerɛwee;Kutenai
kuw a wowuwu;group of death
kuw a wɔde wɔn ho hyɛ mu;cohort
kuw a wɔkamfo kyerɛ;advocacy group
kuw a wɔtow tuo;firing squad
kuw a wɔyɛ adwuma;functional group
kuw a wɔyɛ baanan;Gang of Four
kuw adetɔ;group buying
kuw adwuma;groupwork
kuw adwuma a wɔyɛ;teamwork
kuw agumadi;team sport
kuw akyidi;team pursuit
kuw aware a wɔyɛ;group marriage
kuw bi;faction
kuw bi;sect
kuw honhom;team spirit
kuw ketewa a ɛyɛ daa;normal subgroup
kuw ketewaa bi;subgroup
kuw mu nna;group sex
kuw no kannifo;ringleader
kuw no muni;teammate
kuw nsusuwii;group theory
kuwait na ɛwɔ hɔ;Kuwait
kuwaitifo na wɔte saa;Kuwaiti
kuybyshev na ɔkyerɛwee;Kuybyshev
kvass a wɔde di dwuma;kvass
kvetch;kvetch
kwa;for free
kwa;for nothing
kwa;gratuitously
kwa;in vain
kwa;vain
kwa;vainly
kwaadu;charge
kwaadu;complaint
kwaakwaadabi;crow
kwadu;banana
kwadu;quail
kwadu a wɔtaa de di dwuma;common quail
kwadwom;Lamentations
kwae a ayɛ dedaw;old-growth forest
kwae a osu tɔ kɛse wom;rainforest
kwae a osu tɔ kɛse wom;temperate rainforest
kwae a osu tɔ na owia bɔ kɛse wom;tropical rainforest
kwae a wotutu;deforestation
kwae a wɔde yɛ adwuma;forestation
kwae a wɔsɛe no;deforest
kwae a ɛto so abien a enyin;second-growth forest
kwae a ɛyɛ ɔbaabun;virgin forest
kwae mu;forested
kwae mu;grove
kwae mu;jungle
kwae mu a wɔyɛ;silviculture
kwae mu asase;woodland
kwae mu kraman;bush dog
kwae mu mprako kɛse;giant forest hog
kwae mu nneɛma a wɔyɛ;forestry
kwae mu ogya a ɛtɔ;forest fire
kwae mu ɔkraman;jungle cat
kwae sohwɛfo;bushmaster
kwae tuntum;Black Forest
kwae tuntum gâteau;Black Forest gâteau
kwaeɛ;forest
kwammɔ;provision
kwan;access
kwan;approach
kwan;chance
kwan;gap
kwan;medium
kwan;passage
kwan;path
kwan;process
kwan;road
kwan;route
kwan;slot
kwan;space
kwan;way
kwan a wɔfa so fa so;passageway
kwan a wɔfa so fi keteke kwan so;derailment
kwan a wɔfa so kɔ hɔ;access code
kwan a wɔfa so nantew;sidewalk
kwan a wɔfa so nantew;walkway
kwan a wɔfa so si fam;landing strip
kwan a wɔfa so twa kwan;crosswalk
kwan a ɛkɔ ntɛmntɛm;fast track
kwan a ɛrefa;direction
kwan a ɛyɛ kurukuruwa;roundabout
kwan biara nni hɔ;no way
kwan ho;by the way
kwan ho mfonini;road map
kwan ma;permission
kwan ma;vacation
kwan nkyɛn;pavement
kwan nso;way too
kwan so;roadway
kwan so roller;road roller
kwan so wɔ;way in
kwankyerɛfoɔ;director
kwantentene nanteɛ;hike
kwantwa;hiking
kwarantan;quarantine
kwasea;foolish
kwasea;nerd
kwasiada;Sunday
kwata yare;leprosy
kwati;eschew
kwati;evade
kwati a wɔkwati;evasion
kwayɛ a wɔyɛ;idleness
kyakyatow;bet
kyakyatow;gamble
kyakyatow;wager
kyakyatowfo;gambler
kyanite a wɔde di dwuma;kyanite
kyat;kyat
kye ho;steam
kyea;greet
kyekyere;bind
kyekyere;binding
kyekyere;tie
kyekyere;wrap up
kyekyere ho;wrap
kyekyere no denneennen;tighten
kyekyɛ;allocate
kyekyɛ;distribute
kyekyɛ mu akuwakuw;categorize
kyekyɛ mu nketewa;subdivide
kyen;chain
kyeneduru;cedar
kyeneduru a wɔfrɛ no cypress;cypress
kyere;apprehend
kyere;capture
kyere;catch
kyere a wɔkyere;arrest
kyere a wɔkyere nkurɔfo sie;kidnap
kyere atiridii;catch a cold
kyere gu wo tirim;memorize
kyere gyegyeegye bi;catch a buzz
kyere nkurɔfo;captivate
kyere obi sie;abduce
kyere ogya;catch fire
kyere wo ho;catch up
kyerɛ;denote
kyerɛ;designate
kyerɛ;indicate
kyerɛ;mean
kyerɛ;meaning
kyerɛ;teach
kyerɛ aguadi;show business
kyerɛ ase;traduce
kyerɛ aseɛ;translate
kyerɛ kwan;control
kyerɛ kwan;guide
kyerɛ mu;clarify
kyerɛ mu;define
kyerɛ mu;describe
kyerɛ mu;elaborate
kyerɛ mu;explain
kyerɛ mu;interpret
kyerɛ mu;specify
kyerɛ so;point
kyerɛ sɛ;i.e.
kyerɛ sɛ;imply
kyerɛ sɛ;means
kyerɛ sɛ;profess
kyerɛ sɛ ɛkɔ awiei;means to an end
kyerɛ sɛ ɛyɛ nokware;authenticate
kyerɛ sɛnea wohuruw;show jumping
kyerɛkyerɛ;educate
kyerɛkyerɛ;instruct
kyerɛkyerɛ mu;expound
kyerɛw fi hɔ;write off
kyerɛw gu so;overwrite
kyerɛw ma;prescribe
kyerɛw nsɛm;codify
kyerɛw nsɛm biara;itemize
kyerɛw nsɛm kyerɛw;transcribe
kyerɛw to hɔ;write down
kyerɛw wo din;enroll
kyerɛw wo din;sign up
kyerɛw wo din;subscribe
kyerɛwdua a edi tumi;ruling pen
kyerɛwdua a wɔde popa nneɛma;eraser pen
kyerɛwdua din;pen name
kyerɛwpon a wɔde kyerɛw nsɛm;chalkboard
kyerɛwpon fitaa;whiteboard
kyerɛwpon so;blackboard
kyerɛwsɛm;scripture
kyerɛwsɛm akyi;postscriptum
kyerɛwtohɔ;indicator
kyerɛwtohɔ a abubu;broken record
kyerɛwtohɔ a wɔde kyerɛw nsɛm;documentary
kyerɛwtohɔ adwuma;directory service
kyiisi;cheese
kyiisi akɛse;big cheese
kyinhyia a wɔde di akɔneaba;circumlocution
kyinhyia a wɔkyinkyini;rotation
kyinhyia a ɛyɛ kyinhyia;cyclical
kyiniiɛ;umbrella
kyinkyim;distort
kyinkyin;prowl
kyinkyin;roam
kyokolate;chocolate
kyoto;Kyoto
kyphosis a ɛma obi nya kyphosis;kyphosis
kyrgyz kasa mu;Kyrgyz
kyrgyzstan na ɛwɔ hɔ;Kyrgyzstan
kyushu na ɔkyerɛwee;Kyushu
kyzyl na ɔkyerɛwee;Kyzyl
kyūjitai a wɔde di dwuma;kyūjitai
kyɛ;dash
kyɛ;protract
kyɛ;share
kyɛ mu;divide
kyɛ mu;separate
kyɛ mu;split
kyɛfa a wonya;dividend
kyɛfa a wonya;participation
kyɛfa a wɔde ma;allotment
kyɛfa a wɔde yɛ nnɔbae;sharecropping
kyɛfa a wɔkyekyɛ;apportion
kyɛfa a wɔkyekyɛ;apportionment
kyɛfafo a ɔwɔ kyɛfa;shareholder
kyɛm ogya bepɔw;shield volcano
kyɛnere;candle
kyɛnere a wɔde hyɛ mu;candlestick
kyɛnere a wɔde hyɛ mu;candlewick
kyɛnere a wɔde snuffer;candle snuffer
kyɛnere a ɛwɔ mframa mu;candle in the wind
kyɛnere ahoɔden;candlepower
kyɛnsee;bowl
kyɛnsee;vase
kyɛnsee a wɔde gu mu;cauldron
kyɛnsee a wɔde yɛ aduan;frying pan
kyɛnsee adaka;matchbox
kyɛw;hat
kyɛw a wɔde kyekyere kyɛw;hatband
kyɛw a ɛyɛ den;hard hat
kyɛw adaka;hatbox
kyɛwpa;apology
kyɛwpa a wɔpa;apologetics
königsberg na ɔkyerɛwee;Königsberg
königsberger klopse na ɔkyerɛwee;Königsberger Klopse
kɔ;attend
kɔ;go
kɔ;to
kɔ a wunhia sɛ woka;go without saying
kɔ abɔnten;go out
kɔ adwuma;going concern
kɔ akraman nkyɛn;go to the dogs
kɔ akyi;retinue
kɔ akyiri dodo;go too far
kɔ akyiri yiye;go to great lengths
kɔ akyirikyiri;go a long way
kɔ anim;advanced
kɔ anim;forward
kɔ anim;further
kɔ anim;go ahead
kɔ anim;increase
kɔ anim;surge
kɔ ase;go under
kɔ asɛm no so;get to the point
kɔ atwa;get across
kɔ atwam;go past
kɔ baabiara;navigate
kɔ bankrupt;go bankrupt
kɔ dutch kasa mu;go Dutch
kɔ fa;move
kɔ fa;pick up
kɔ fuck wo ho;go fuck yourself
kɔ fã;go halves
kɔ gye;rescue
kɔ ha;hunt
kɔ hellgya mu;go to hell
kɔ mu;get in
kɔ mu;get into
kɔ mu;into
kɔ mu;inwards
kɔ mu;log in
kɔ ne;go with
kɔ ne nsuo a ɛsen no;go with the flow
kɔ ne nyinaa mu;go all out
kɔ ne so;tackle
kɔ nsam;go hand in hand
kɔ nuts;go nuts
kɔ off;go off
kɔ pɛnhyen;retire
kɔ so;carry on
kɔ so;carry-on
kɔ so;get over
kɔ so;go by
kɔ so;go on
kɔ so;keep it up
kɔ so;ongoing
kɔ so;onward
kɔ so;take place
kɔ so;thrive
kɔ so da wo ho adi;keep up appearances
kɔ so daa;continuously
kɔ so kɔ hɔ;go over
kɔ so tra hɔ;persist
kɔ so tra so;get on
kɔ so yɛ ade;continuous
kɔ so yɛ adwuma;get on with
kɔ so yɛ adwuma;keep on
kɔ so yɛ adwuma;keep up with
kɔ so yɛ adwuma;keep up
kɔ so yɛ nsakrae no;keep the change
kɔ soro;go up
kɔ soro;spike
kɔ soro;upwards
kɔ soro ante no;up the ante
kɔ soro quark;up quark
kɔ tia;go against
kɔ viral;go viral
kɔ w’anim;get ahead
kɔ w’anim;move forward
kɔ-getter;go-getter
kɔba;tire
kɔba;tyre
kɔbea;destination
kɔbere;brass
kɔbere a wɔde yɛ adwuma;bronze
kɔbere a wɔde yɛ nsateaa;brass knuckles
kɔbere a wɔfrɛ no oxide;lead oxide
kɔbere abasobɔde;bronze medal
kɔbere adwumfo;coppersmith
kɔbere ahaban;copperleaf
kɔbere krataa;lead sheet
kɔbere mmere no;Bronze Age
kɔbɔɔdo;cupboard
kɔda;go to bed
kɔda ne nkyɛn;go to bed with
kɔdeɛ;eagle
kɔfe;coffee
kɔfe a wɔde di dwuma ntɛm ara;instant coffee
kɔfe a wɔde nsukyenee ayɛ;iced coffee
kɔfe a wɔde twitwiw nneɛma;coffee grinder
kɔfe a wɔde yɛ adwuma;coffeemaker
kɔfe a wɔyɛ;coffeemaking
kɔfe aba;coffee bean
kɔfe fitaa;white coffee
kɔfe kuku;coffee pot
kɔfe kuruwa;coffee cup
kɔfe pon so nhoma;coffee table book
kɔfe tuntum;black coffee
kɔfie;coffice
kɔgye w'ani;hang out
kɔka kuw no ho;join the club
kɔkɔbɔ;warning
kɔkɔbɔ a wɔde ma;caveat
kɔkɔbɔ ho asɛm;cautionary tale
kɔkɔɔ;red
kɔkɔɔ;redden
kɔkɔɔ;reddish
kɔkɔɔ;scarlet
kɔkɔɔ a ɛyɛ kɔkɔɔ;crimson
kɔkɔɔ a ɛyɛ kɔkɔɔ;redness
kɔkɔɔ a ɛyɛ kɔkɔɔ;yellowness
kɔkɔɔ scare;red scare
kɔkɔɔkɔbɔ;engagement
kɔla a wɔde hwɛ nneɛma so;colorimetry
kɔla a wɔde yɛ nneɛma;coloring
kɔla a ɛsakra;discolor
kɔla a ɛyɛ ahabammono;collard greens
kɔla abiɛsa;tricolor
kɔla abiɛsa;tricolour
kɔla ahorow;colorful
kɔla ahorow;colourable
kɔla ahorow pii;multicolored
kɔla anifurae;color blindness
kɔla anifuraefo;color blind
kɔla titiriw;primary colour
kɔlege nketewa;junior college
kɔlera a wɔde di dwuma;cholera
kɔmpase a wɔde di dwuma;compass
kɔmpase abien a wɔde yɛ adwuma;pair of compasses
kɔmpase no sɔree;compass rose
kɔmpase nsɛntitiriw;compass point
kɔmputa;computer
kɔmputa a wɔde di dwuma wɔ pon so;desktop computer
kɔmputa a wɔde di dwuma wɔ tablɛt so;tablet computer
kɔmputa ho mfiridwuma;computer engineering
kɔmputa ho nyansahu;computer science
kɔmputa ho nyansahufo;computer scientist
kɔmputa ketewaa bi;microcomputer
kɔmputa kɛse a wɔde di dwuma;supercomputer
kɔmputa so;cyborg
kɔmputa so a wɔde wɔn ho hyɛ mu;cybersquatting
kɔmputa so adwumayɛfo;cybersquatter
kɔmputa so agodie;computer game
kɔmputa so ahunahuna;cyberterrorism
kɔmputa so ahunmu;cyberspace
kɔmputa so akodi;cyberwarfare
kɔmputa so ayayade;cyberharassment
kɔmputa so ayayade a wɔde di dwuma;cyberbullying
kɔmputa so dwumadi;computational
kɔmputa so dwumadi;computer program
kɔmputa so dwumadi;computerization
kɔmputa so nsɛm a wɔde di dwuma;cybernetics
kɔmputa so- .;cyber-
kɔn;neck
kɔn dɔ;long for
kɔn mu kyekyere;necktie
kɔn ne kɔn;neck and neck
kɔndua;yoke
kɔndɔm a wɔde di dwuma;condom
kɔnkrit a wɔahyɛ no den;reinforced concrete
kɔnmuadeɛ;necklace
kɔntraagye;contract
kɔpa;copper
kɔpem;until
kɔpem sɛ;as long as
kɔpi na fa hyɛ mu;copy and paste
kɔtɔ;crab
kɛkɛ;arbitrary
kɛkɛ;just
kɛkɛ;mere
kɛkɛ;merely
kɛkɛ;ordinary
kɛkɛ;simply
kɛmistri;chemistry
kɛntɛn;basket
kɛse;considerable
kɛse;considerably
kɛse;enormously
kɛse;extensively
kɛse;greatly
kɛse;immensely
kɛse;vastly
kɛse auk;great auk
kɛse no ara;largely
kɛse sen;greater than
kɛseyɛ;enormity
kɛseyɛ;greatness
kɛseyɛ;hugeness
kɛseyɛ;immensity
kɛseyɛ;largess
kɛseyɛ;magnitude
kɛseyɛ ho nsusuwii hunu;delusion of grandeur
kɛseyɛ mmoroso;obese
kɛseyɛ mmoroso a ɛyɛ hu;morbid obesity
kɛseɛ;big
kɛseɛ;capital
kɛseɛ;fat
kɛseɛ;great
kɛseɛ;huge
kɛseɛ;significant
kɛseɛ;size
kɛseɛ;vast
kɛseɛ-;great-
kɛten;curtain
kɛtrɛma;tongue
