b'ak'tun a woagye atom;b'ak'tun
bioaccumulative a wɔde yɛ nneɛma;bioaccumulative
bioavailability a ɛwɔ hɔ;bioavailability
bioch;bioch
biochemical a wɔde yɛ nnuru;biochemical
biochemist ho ɔbenfo;biochemist
biocide a wɔde kum mmoawa;biocide
biocoenosis a ɛma nipadua no yɛ adwuma;biocoenosis
biodiesel a wɔde yɛ nneɛma;biodiesel
biofilm a wɔde yɛ nneɛma;biofilm
biofuel a wɔde yɛ nneɛma;biofuel
biogirl a ɔyɛ ɔbaabun;biogirl
biohazard a ɛba;biohazard
bioindicator a ɛkyerɛ sɛnea nneɛma te;bioindicator
bioinformatics ho nsɛm a wɔde di dwuma;bioinformatics
bioluminescence a wɔde yɛ nneɛma;bioluminescence
biomarker a wɔde kyerɛ;biomarker
biome;biome
biomedicine a wɔde yɛ nnuru;biomedicine
biometrics a wɔde kyerɛw nsɛm;biometrics
biomolecules a ɛma nipadua no yɛ adwuma;biomolecule
bionics ho adesua;bionics
biophilia a ɛma obi nya nkwa;biophilia
biopsy a wɔde yɛ nhwehwɛmu;biopsy
bioremediation a wɔde yɛ adwuma;bioremediation
biosimilar a ɛwɔ hɔ;biosimilar
biosphere, abɔde a nkwa wom;biosphere
biosynthesis a wɔde yɛ nneɛma;biosynthesis
biotherapy a wɔde sa yare;biotherapy
biotic;biotic
biotin;biotin
biotite a wɔfrɛ no biotite;biotite
biotope a wɔde yɛ nneɛma;biotope
biphenyl a wɔde yɛ nneɛma;biphenyl
bipolarity a ɛma obi yɛ ade abien;bipolarity
birch a wɔfrɛ no birch;birch
birchbark a wɔde yɛ nnua;birchbark
bircher a ɔyɛ muesli na ɔkyerɛwee;Bircher muesli
birdie na ɔyɛ;birdie
biretta na ɔkyerɛwee;biretta
biri;dizzy
biribi;something
biribi foforo biara;anything else
biribi saa;somehow
biribiara;anything
biribiara;everything
biribiara gye sɛ;anything but
biribiara ho nimdeɛ;omniscience
biribiara nni hɔ;naught
biribiara nni hɔ;nought
birikisi a wɔde yɛ adwuma;brickyard
birikisi ne atɛkyɛ;brick and mortar
birobidzhan na ɔkyerɛwee;Birobidzhan
biryani;biryani
bisa;ask for
bisa;ask
bisa;demand
bisa;solicit
bisa fi adi;ask out
bisabisa nsɛm;consult
bisabisa nsɛm;inquire
bisabisa nsɛm;interrogate
bisadwene;wonder
biscay na ɛwɔ hɔ;Biscay
biscay po no ano;Bay of Biscay
bisector a ɛwɔ afã abien;bisector
bishkek na ɔkyerɛwee;Bishkek
bishnupriya manipuri na ɔkyerɛwee;Bishnupriya Manipuri
bishop;bishop
bisii basaa;clumsy
bisket a wɔde yɛ nneɛma;biscuit
bislama na ɔkyerɛwee;Bislama
bismuth a wɔde yɛ aduan;bismuth
bison a wɔfrɛ no bison;bison
bissau na ɔkyerɛwee;Bissau
bissextile a wɔde yɛ nneɛma;bissextile
bistro;bistro
bisulfate a wɔde yɛ aduru;bisulfate
bit a ɛyɛ skirt;bit of skirt
bitch a ɔyɛ ɔbarima;bitch
bitchy a ɔyɛ ɔbarima;bitchy
bitcoin a wɔde di dwuma;bitcoin
bite cell;bite cell
bitinia na ɔkyerɛwee;Bithynia
bitmap a wɔde yɛ nneɛma;bitmap
bitola na ɔkyerɛwee;Bitola
bitstock a wɔde yɛ nneɛma;bitstock
bitt;bitt
bittern;bittern
bitumen a wɔde yɛ nneɛma;bitumen
bivalve a ɛwɔ afã abien;bivalve
bivouac a wɔde di dwuma;bivouac
bizarre, ɛyɛ nwonwa;bizarre
biɛ;beer
bl lac ade a ɛwɔ hɔ;BL Lac object
bla bla bla bla;blah blah blah
blab;blab
blabber a ɔyɛ ɔbarima;blabber
black dwarf a ɔyɛ ɔbarima;black dwarf
blackberry a wɔfrɛ no blackberry;blackberry
blackbody;blackbody
blackcap a wɔde hyɛ mu;blackcap
blackcurrant a wɔde yɛ aduru;blackcurrant
blackjack a wɔde di dwuma;blackjack
blacklist a wɔde kyerɛw nsɛm;blacklist
blagoevgrad na ɔkyerɛwee;Blagoevgrad
blagoveshchensk na ɔkyerɛwee;Blagoveshchensk
blah;blah
blairism a wɔde di dwuma;Blairism
blaise na ɔkyerɛwee;Blaise
blanche na ɔkyerɛwee;Blanche
bland a ɛyɛ mmerɛw;bland
blandness a ɛyɛ mmerɛw;blandness
blasius na ɔkyerɛwee;Blasius
blastoderm a ɛyɛ mmerɛw;blastoderm
blastopore a ɛwɔ nipadua no mu;blastopore
blat;blat
blather a ɛyɛ hu;blather
blazar a ɛyɛ hu;blazar
blazer a wɔde yɛ adwuma;blazer
blazon;blazon
bleachers a wɔde yɛ nneɛma;bleachers
bleat a ɛyɛ hu;bleat
bleedi;blade
bleep a ɛyɛ bleep;bleep
bleep censor a wɔde kyerɛw nsɛm;bleep censor
bleh;bleh
blender a wɔde yɛ nneɛma;blender
blennorrhea a ɛyɛ mmerɛw;blennorrhea
blepharitis a ɛma obi ho yɛ hyew;blepharitis
blepharoplasty a wɔde yɛ aduru;blepharoplasty
blight a ɛyɛ mmerɛw;blight
blimey na ɛyɛ;blimey
blimp a ɛyɛ blimp;blimp
blink w n a w h;blink
blinker a wɔde hwɛ ade;blinker
blip;blip
blister pack a wɔde ahyɛ mu;blister pack
blithe a ɛyɛ anigye;blithe
blitz a ɛyɛ hu;blitz
blitzen na ɔkyerɛwee;Blitzen
blitzkrieg a ɛyɛ hu;blitzkrieg
bloat a ɛyɛ den;bloat
blob;blob
bloc;bloc
blockade a wɔde siw kwan;blockade
blockbuster a ɛyɛ nwonwa;blockbuster
blockchain a wɔde di dwuma;blockchain
blockhead;blockhead
blockhouse a wɔde nneɛma gu mu;blockhouse
bloemfontein na ɔkyerɛwee;Bloemfontein
blog so;blog
blogger a ɔkyerɛw nsɛm;blogger
blogosphere a ɛwɔ hɔ;blogosphere
bloke;bloke
blond a ɛyɛ bruu;blond
blot;blot
blotch a wɔde hyɛ mu;blotch
blouse a wɔde hyɛ;blouse
blow off;blow off
blower a ɛbɔ;blower
blowfish a wɔfrɛ no blowfish;blowfish
blowfly a ɛbɔ;blowfly
blowjob a wɔde bɔ obi;blowjob
blu-tack na ɛyɛ adwuma;Blu-Tack
blubbo;blubbo
bludgeon a wɔde di dwuma;bludgeon
blue cheese a ɛyɛ bruu;blue cheese
blue jay a ɔyɛ ɔbarima;blue jay
blue mussel a ɛyɛ bruu;blue mussel
blue screen a ɛkyerɛ owu;blue screen of death
blue straggler a ɔde ne ho ahyɛ mu;blue straggler
blue whale a wɔfrɛ no blue whale a wɔfrɛ no blue whale;blue whale
blue-pencil a ɛyɛ bruu;blue-pencil
bluebell a wɔfrɛ no bluebell;bluebell
blueberry a wɔfrɛ no blueberry;blueberry
bluebird a wɔfrɛ no bluebird;bluebird
bluefish a ɛyɛ bruu;bluefish
blueprint a wɔayɛ no yiye;blueprint
bluethroat a ɛyɛ bruu;bluethroat
bluetongue a wɔde kasa;bluetongue
bluetooth;Bluetooth
bluff a ɛyɛ bluff;bluff
blunderbuss a ɛyɛ nokware;blunderbuss
blurry;blurry
blush a ɛyɛ fɛ;blush
bo a wɔakyerɛw so;price tag
bo a ɛboro so;overpriced
bo a ɛboro so;overrate
bo a ɛhaw adwene;upset price
bo a ɛso tew;devaluation
bo a ɛsom bo;preciousness
bo a ɛsom dodo;overvalue
bo a ɛsom koraa;absolute value
bo fuiɛ;annoyed
boa;assist
boa;boa
boa;contribute
boa;favor
boa;help
boa;parcel
boa a wɔde hyɛ nipadua mu;boa constrictor
boa ano;gather
boa ano;pile
boa ma ɛnkɔ so;facilitate
boaboa ano;accumulate
boaboa ano;amass
boaboa ano;assemble
boaboa ano;compile
boaboa ano;glean
boaboa wɔn ho ano;mobilise
boaco na ɔkyerɛwee;Boaco
boadeɛ;package
boafoɔ;anchor
boafoɔ;helpful
boar;boar
board game a wɔde di agoru;board game
board ne dabere;board and lodging
boarder;boarder
boarding a wɔde hyɛn mu;boarding
boarding pass a wɔde hyɛ mu;boarding pass
boasetɔ;bear out
boasetɔ;forbearance
boasetɔ;persevering
boasetɔ;put up with
boasetɔ mu;patiently
boasetɔ yɛ su pa;patience is a virtue
boayikuw a ɛwɔ hɔ daa;standing committee
boayikuw ketewaa bi;subcommittee
boayikuw no;committee
bob;Bob
bob ti nhwi a wɔatwitwa;bob haircut
bobbin a wɔde di dwuma;bobbin
bobcat a wɔfrɛ no bobcat;bobcat
bobe;wine
bobe a wɔde ayɛ mfonini;grapeshot
bobe a wɔyɛ;viniculture
bobe a wɔyɛ;viticulture
bobe a ɛyɛ akisikuru;sour grapes
bobe aba;grape
bobe aba;grapevine
bobe aba a wɔfrɛ no grapefruit;grapefruit
bobe dua;vine
bobe nsuo a wɔde yɛ nsuo;grape juice
bobe turo;vineyard
bobesa a wɔayam;mulled wine
bobesa a ɛyɛ hyew;sparkling wine
bobesa fitaa;white wine
bobesa kuruwa;wine glass
bobesa kɔkɔɔ;red wine
bobesa ne adidi;wine and dine
bobtailed a wɔde ahyɛ mu;bobtailed
bobɔ;fold
bobɔw mu;roll up
bocce;bocce
bode;bode
bodhi;bodhi
bodhi dua;bodhi tree
bodhisattva a wɔde di dwuma;bodhisattva
bodice a wɔde yɛ nneɛma;bodice
bodua;tail
bodyboarding a wɔde di dwuma;bodyboarding
boeotia na ɛwɔ hɔ;Boeotia
boeotian kasa mu;Boeotian
boerfo;Boer
boffin a wɔfrɛ no boffin;boffin
bofuu;chubby
bog;bog
bogart a wɔfrɛ no bogart;bogart
bogatyr a ɔyɛ ɔkyerɛwfo;bogatyr
bogey a ɛyɛ fɛ;bogey
bogeyman a ɔyɛ ɔbarima;bogeyman
bogota na ɛwɔ hɔ;Bogota
bogotanfo na wɔte saa;Bogotan
bohemia kasa mu;bohemian
bohemia na ɛwɔ hɔ;Bohemia
bohrium a wɔfrɛ no bohrium;bohrium
bohwa;cave
boiler a wɔde san yɛ adwuma;recovery boiler
boiler a wɔde yɛ nsu;boiler
boiler dan mu;boiler room
bok choy;bok choy
bokeh;bokeh
bokiti;bucket
bokiti a wɔahyehyɛ;bucket list
bokmål na ɔkyerɛwee;Bokmål
bolide;bolide
bolivarian kasa;Bolivarian
bolivariansom a wɔde di dwuma;Bolivarianism
bolivia;Bolivia
bolivia kasa;Bolivian
boll;boll
boll weevil a ɛyɛ nwansena;boll weevil
bollard a wɔfrɛ no bollard;bollard
bollock;bollock
bollocks a wɔde kyerɛw nsɛm;bollocks
bollywood a wɔyɛ no;Bollywood
bolo tie;bolo tie
bologna na ɛwɔ hɔ;Bologna
bolognese kasa mu;bolognese
bolon;bolon
bolshevikfo na wɔyɛ;Bolshevik
bolshevism nniso;Bolshevism
bolt a wɔde twa ade;bolt cutter
bolt a wɔde yɛ adwuma;bolt
bolt fi bruu no mu;bolt from the blue
bolus;bolus
bolzano na ɔkyerɛwee;Bolzano
bom yɛ biako;unite
bombardier nwansena;bombardier beetle
bombastic a ɛyɛ hu;bombastic
bon a ɛyɛ nwonwa;uncanny valley
bon akwantuo;bon voyage
bon appétit a wɔde di dwuma;bon appétit
bon vivant;bon vivant
bona fide a ɛyɛ nokware;bona fide
bonapartism a wɔde di dwuma;Bonapartism
bonapartist a ɔyɛ ɔkannifo;Bonapartist
bonaventure na ɔkyerɛwee;Bonaventure
boner;boner
bong;bong
bongo;bongo
bonhomie na ɛyɛ adwuma;bonhomie
bonifatius na ɔkyerɛwee;Bonifatius
bonito;bonito
bonkers a wɔfrɛ no bonkers;bonkers
bonn na ɔkyerɛwee;Bonn
bonnet a ɛyɛ den;bonnet
bonobo;bonobo
bonsai a wɔde yɛ adwuma;bonsai
bonsam;devil
bonsam gyam;hell
bonsu;whale
bonsu a ne ho yɛ bruu a ne ho yɛ bruu;brown woolly monkey
bonsu a ɔteɛteɛm;howler monkey
bonsu a ɛyɛ akɔre;spider monkey
bonsu ahodwiriwde;monkey puzzle
bonsu akuturuku;monkey's fist
bonsu safe;monkey wrench
bonus a wɔde ma;bonus
bonze;bonze
boo;boo
boo-boo;boo-boo
boob;boob
boob adwuma;boob job
boob tube a wɔde hyɛ nipadua mu;boob tube
booby;booby
booby nkonimbo;booby prize
booger a wɔfrɛ no booger;booger
booking a wɔde bɛto hɔ;booking
bookmark a wɔde hyɛ krataa so;bookmark
boolean kasa;Boolean
boom;boom
boomerang a wɔfrɛ no boomerang;boomerang
boon;boon
boondock a wɔde di dwuma;boondock
boondoggle a wɔde kyerɛw nsɛm;boondoggle
boor;boor
boorish;boorish
boot up na ɛyɛ adwuma;boot up
bootful a wɔde ahyɛ mu;bootful
booth no mu;booth
bootjack a wɔde di dwuma;bootjack
bootlegger a wɔde di dwuma;bootlegger
bootlicker a wɔde di dwuma;bootlicker
bootstrap a wɔde hyɛ mu;bootstrap
booze a wɔnom nsa;booze
boracite a wɔde yɛ aduru;boracite
borage a ɛyɛ fɛ;borage
borax a wɔfrɛ no borax;borax
bordeaux na ɛwɔ hɔ;Bordeaux
bordering;bordering
boreal ho asɛm;boreal
boreas a ɛwɔ hɔ;Boreas
borgesian a ɔyɛ ɔkyerɛwfo;Borgesian
borgia na ɔkyerɛwee;Borgia
boric oxide a wɔde yɛ adwuma;boric oxide
boride a wɔde yɛ adwuma;boride
borne;borne
bornite a wɔde yɛ aduan;bornite
boro;beyond
boro nsuo;swim
boro so;above
boro so;exceed
boro so;extreme
boro so;extremely
boro so;outstanding
boro so;overdo
boro so;overwhelming
boro so;profound
boro so;transcend
boron a wɔfrɛ no boron;boron
borough;borough
borscht, na ɛyɛ adwuma;borscht
borzoi a wɔfrɛ no borzoi;borzoi
borɔ;venom
borɔdɔma ahaban;fig leaf
borɔdɔma kronkron;sacred fig
borɔdɔma paanoo;raisin bread
borɔfo;English
borɔno so ni;neighbour
bosea a wobetumi de abɔ bosea;creditworthiness
bosea asɛmfua;loanword
bosea nsa;lend a hand
boseabɔ a wɔfrɛ no shark;loan shark
boseabɔ ho nkyerɛkyerɛmu;credit rating
bosky;bosky
bosnia kasa;Bosnian
bosnia na ɛwɔ hɔ;Bosnia
bosom adamfo;bosom friend
bosome;month
bosome mmiɛnsa biara;quarterly
boson;boson
bosphorus a ɛwɔ hɔ;Bosphorus
boston;Boston
bot;bot
bot;screw
bota kotokuo;bota bag
botae a wɔde si biribi so;objectivity
botae a wɔkyekyem pɛpɛɛpɛ;goal average
botaeɛ;aim
botaeɛ;ambition
botaeɛ;goal
botaeɛ;intended
botaeɛ;mission
botaeɛ;objective
botaeɛ;purpose
botan;rock
botanize a wɔde yɛ nneɛma;botanize
botch;botch
botched no;botched
botfly a wɔfrɛ no;botfly
bothnia po no mu;Gulf of Bothnia
botrobodwo;warm
botswana na ɛwɔ hɔ;Botswana
botswanafo;Botswanan
bottleneck a ɛyɛ den;bottleneck
bottlenose dolphin a ɔyɛ ɔkraman;bottlenose dolphin
bottomry a ɛwɔ ase;bottomry
botulism a wɔde di dwuma;botulism
bougainvillea a wɔde yɛ aduan;bougainvillea
bouillon a wɔde yɛ nneɛma;bouillon
boule;boule
boules a wɔfrɛ no boules;boules
boulevard a ɛwɔ hɔ;boulevard
bounce fi afasu no so;bounce off the walls
bouncer a ɔyɛ ɔbarima;bouncer
bounty a wɔde ma;bounty
bounty hunter a ɔbɔ mmɔden;bounty hunter
bourbon a wɔde yɛ aduan;bourbon
bourgeoisfoɔ;bourgeois
bourgeoisie a wɔyɛ adwumaden;bourgeoisie
bourgeoisie nketewa;petty bourgeoisie
bourgeoisy a wɔde yɛ adwuma;bourgeoisify
bourguibism a wɔde di dwuma;Bourguibism
boustrophedon a wɔde hyɛ nipadua mu;boustrophedon
bout;bout
boutique a ɛwɔ hɔ;boutique
bouzouki na ɛyɛ;bouzouki
bovarysm a ɛyɛ mmerɛw;bovarysm
bovid;bovid
bow a wɔabom ayɛ;compound bow
bow wow;bow wow
bowdlerize a wɔde di dwuma;bowdlerize
bower;bower
bowleg a wɔde bɔ bɔɔl;bowleg
bowler kyɛw;bowler hat
bowline a wɔde hyɛ mu;bowline
bowling a wɔbɔ;bowling
bowling abɔnten so;bowling alley
bowser a ɔbɔ bɔɔl;bowser
bowsprit a wɔde kyerɛ;bowsprit
bowtie a wɔde kyekyere wɔn ho;bowtie
boy scoutfoɔ;Boy Scout
boyar;boyar
boycot a wɔbara;boycott
boysenberry a ɛyɛ abarimaa;boysenberry
boötes na ɔkyerɛwee;Boötes
boɔ;price
boɔ;stone
boɔ;value
boɔ yɛ fo;affordable
bra;bra
bra;come to
bra;come
bra;puberty
bra a wɔde bɛba;come up with
bra a ɛho tew;come clean
bra akyi;come after
bra at;come at
bra bio;come again
bra fa so;come by
bra kɔ;come on to
bra na kɔ;come and go
bra sian ne;come down with
bra so;come on
bra so;come-on
bra soro;come up
brabant na ɔkyerɛwee;Brabant
brace a wɔde hyɛ mu;brace
braces a wɔde hyɛ nipadua mu;braces
brachial a ɛwɔ nipadua no mu;brachial
brachiation a wɔde hyɛ nipadua mu;brachiation
brachiopod (brachiopod) a wɔfrɛ no brachiopod;brachiopod
brachioproctic a wɔde yɛ adwuma;brachioproctic
brachioradialis a ɛwɔ nipadua no mu;brachioradialis
brachiosaur a wɔfrɛ no brachiosaur;brachiosaur
brachyology a wɔde di dwuma;brachylogy
brachytherapy a wɔde sa yare;brachytherapy
brachyuran a wɔde di dwuma;brachyuran
bracken a wɔde hyɛ mu;bracken
bracket a wɔde hyɛ mu;bracket
bracket a ɛyɛ ahinanan;square bracket
bracket a ɛyɛ kurukuruwa;curly bracket
bracket kurukuruwa;round bracket
brackish a ɛyɛ nwini;brackish
braconid a ɛwɔ nipadua no mu;braconid
bract;bract
bradycardia a ɛma obi ho yɛ hyew;bradycardia
bragança na ɔkyerɛwee;Bragança
brahman na ɔkyerɛwee;Brahman
braid a wɔde ntama ayɛ;braid
braids a wɔde kyekyere nneɛma;braids
braille a wɔde kyerɛw nsɛm;braille
braise a wɔde yɛ braise;braise
bramble;bramble
brambling a wɔde di dwuma;brambling
bran;bran
branch off;branch off
brandade a wɔde yɛ nneɛma;brandade
brandenburg na ɔkyerɛwee;Brandenburg
brandish a wɔde hyɛ mu;brandish
brandy a wɔde yɛ nneɛma;brandy
brane;brane
brane;giant
brant;brant
bras d’honneur a wɔde yɛ adwuma;bras d'honneur
brash a ɛyɛ hu;brash
brasília na ɛwɔ hɔ;Brasília
brat;brat
bratislava na ɛwɔ hɔ;Bratislava
bratwa a ɛma obi gyae brayɛ;menopause
bratwurst a ɛyɛ den;bratwurst
bravado, akokoduru;bravado
bravo;bravo
brawn;brawn
bray;bray
brayɛ a ɛba;menstruation
brayɛ a ɛba brayɛ mu;menstruate
brayɛ kuruwa;menstrual cup
brayɛ mu;menstrual
brazier a wɔde yɛ adwuma;brazier
brazil;Brazil
brazil nnua a wɔde yɛ adwuma;brazilwood
brazil nut a wɔde yɛ aduan;brazil nut
brazilni a ɔyɛ ɔbarima;Brazilian
brazzaville na ɛwɔ hɔ;Brazzaville
break bad;break bad
break in mu;break in
break mframa;break wind
break ranks;break ranks
break-even asɛm a ɛyɛ den;break-even point
break-in a wɔde wɔn ho hyɛ mu;break-in
breakaway;breakaway
breakout;breakout
bream a wɔde sika kɔkɔɔ ayɛ;gilt-head bream
bream a wɔfrɛ no bream;bream
bream fitaa a wɔfrɛ no bream;white bream
breccia a ɛyɛ mmerɛw;breccia
brechtianfo na ɔkyerɛwee;Brechtian
breech awo a wɔde ma;breech birth
breeches a wɔde hyɛ;breeches
breke;brick
breki a wɔde hyɛ mu;brake lining
breki a wɔde hyɛ mu;brake pad
breki a wɔde hyɛ mu;brake
brent goose a ɔyɛ ɔkraman;brent goose
brescia na ɔkyerɛwee;Brescia
brest na ɔkyerɛwee;Brest
breton kasa mu;Breton
breviary a wɔde kyerɛw nsɛm tiawa;breviary
brevier na ɛyɛ adwuma;brevier
brew a wɔde yɛ nsa;brew
brewer a ɔyɛ;brewer
brewing a wɔde yɛ nsa;brewing
brexit a wɔde bɛma;Brexit
brezhnev na ɔkyerɛwee;Brezhnev
briar;briar
bric na ɔkyerɛwee;BRIC
bricolage a wɔde yɛ adwuma;bricolage
bridge a wɔde sɛn so;suspension bridge
bridget na ɔkyerɛwee;Bridget
bridgetown na ɛwɔ hɔ;Bridgetown
bridle a wɔde di dwuma;bridle
brie;brie
brig;brig
brigade a ɛwɔ hɔ;brigade
brigandine a ɔyɛ ɔbaabun;brigandine
brilliance a ɛyɛ nwonwa;brilliance
brillo pad a wɔde kyerɛw nsɛm;brillo pad
brim;brim
brindisi na ɔkyerɛwee;Brindisi
brindled a wɔde ahyɛ mu;brindled
brine a wɔde yɛ brine;brine
brink;brink
brioche na ɔkyerɛwee;brioche
brisbane na ɛwɔ hɔ;Brisbane
brisk;brisk
brisket a wɔde yɛ nneɛma;brisket
bristle a ɛyɛ mmerɛw;bristle
bristletail a ɛyɛ fɛ;bristletail
britain;Britain
britain ko a wɔko;Battle of Britain
britania nsupɔw so;British Isles
britaniafo;British
britaniafo;Britisher
britaniafo;Briton
britaniafo engiresi kasa;British English
british columbia na ɛwɔ hɔ;British Columbia
brittany na ɔkyerɛwee;Brittany
brittle a ɛyɛ mmerɛw;brittle
brittleness a ɛyɛ mmerɛw;brittleness
broadband a wɔde di dwuma;broadband
brocade a wɔde yɛ adwuma;brocade
broccoli a wɔde yɛ nneɛma;broccoli
broch a wɔde hyɛ mu;brooch
brochure no mu;brochure
broiler a wɔfrɛ no broiler;broiler
brokeback a wɔde wɔn ho hyɛɛ mu;brokeback
broker a ɔyɛ adwuma wɔ hɔ;broker
brokerage a wɔde di dwuma;brokerage
bromide a wɔde yɛ adwuma;bromide
bromine a wɔde yɛ adwuma;bromine
bromocriptine a wɔde di dwuma;bromocriptine
bromophenol a ɛyɛ bruu;bromophenol blue
brood;brood
brooding a wɔde susuw nneɛma ho;brooding
broody a ɛyɛ mmerɛw;broody
broomrape a wɔde hyɛ obi nsa;broomrape
bros ansa na hoes;bros before hoes
bros.;bros.
broth a wɔde yɛ aduan;broth
browbeat a ɛyɛ fɛ;browbeat
brown adesua;brown study
brown dwarf a ɛyɛ bruu;brown dwarf
brownian nnyigyei a ɛkɔ so;Brownian motion
brownie a wɔde yɛ aduan;brownie
brownnose a ɛyɛ bruu;brownnose
brownout a ɛyɛ bruu;brownout
bruges na ɔkyerɛwee;Bruges
brumaire na ɔkyerɛwee;Brumaire
brunch a wɔde yɛ aduan;brunch
brunei na ɛwɔ hɔ;Brunei
bruneianfo de;Bruneian
brunette a ɔyɛ brunette;brunette
bruno na ɔkyerɛwee;Bruno
brunost a wɔfrɛ no brunost;brunost
brunswick na ɛwɔ hɔ;Brunswick
brush kɔ soro;brush up
brushstroke a wɔde hyɛ mu;brushstroke
brushtail possum a ɛyɛ brushtail;brushtail possum
brushwood a wɔde yɛ adwuma;brushwood
brusque a ɛyɛ brusque;brusque
brusquely;brusquely
brusselifo kasa;Brusselian
brussels a ɛyɛ frɔmfrɔm;Brussels sprout
brussels na ɛwɔ hɔ;Brussels
brute a ɛyɛ hu;brute
brutus na ɔkyerɛwee;Brutus
bruu a ɛyɛ bruu;bluish
bruu supergiant a ɛyɛ kɛse;blue supergiant
bruu ɔbran;blue giant
bryansk na ɔkyerɛwee;Bryansk
bryce na ɔkyerɛwee;Bryce
bryology ho adesua;bryology
bryophyte a wɔfrɛ no bryophyte a wɔfrɛ no bryophyte;bryophyte
brythonicfo a wɔyɛ adwuma wɔ hɔ;Brythonic
brɔs a wɔde sew sẽ;toothbrush
brɔs a wɔde yɛ paint;paintbrush
brɔs a wɔde yɛ ti nhwi;hairbrush
brɛ;anxiety
brɛ;labour
brɛ;suffer
brɛ;tired
brɛ ase;alleviate
brɛ ase;decelerate
brɛ ase;minimize
brɛ ase;mitigate
brɛ ase;soften
brɛ ase;undermine
brɛ ase;wear down
brɛ wo ho ase;slow down
brɛ wɔn ho ase;condescend
brɛ wɔn ho ase;subdue
brɛboɔ;liver
brɛoo;gently
brɛoo;lightly
brɛoo;softly
brɛoo;softness
brɛoo a wɔde di dwuma;slow motion
brɛoo a wɔde yɛ adwuma;leniency
brɛoo a wɔyɛ;slowness
brɛoo brɛoo;softly softly
brɛoo mu;tenderly
bu;break
bu;guess
bu;regard
bu;respect
bu abam;give up
bu adewa;underestimate
bu akontaa;accountable
bu akontaa;calculate
bu akontaa;enumerate
bu akontaa;reckon
bu akontaa boro so;overestimate
bu animtiaa;despise
bu atɛn;adjudicate
bu bem;vindicate
bu mmara bi so;break a law
bu mmara so;violate
bu obi bem;acquit
bu obi bem;exonerate
bu so;breach
bu w’ani gu so;overlook
bubble a ɛyɛ hu;bubble
bubble butt a ɛyɛ hu;bubble butt
bubble tii a wɔde yɛ;bubble tea
bubo;bubo
bubonic a ɛyɛ den;bubonic
bubonic ɔyaredɔm;bubonic plague
bubu fi mu;break out
bubu fifiri bi;break a sweat
bubu nan bi;break a leg
bubu nsukyenee no;break the ice
bubu paanoo;break bread
bubu sikakorabea no;break the bank
bubuu mu;dismantle
bucalemu na ɔkyerɛwee;Bucalemu
bucharest na ɛwɔ hɔ;Bucharest
buck;buck
buckingham ahemfie;Buckingham Palace
buckle a wɔde hyɛ mu;buckle
buckle up, abɔ wo ho ban;buckle up
buckler a ɔbɔ ne ho ban;buckler
buckwheat a wɔde yɛ aduan;buckwheat
bucolic a ɛyɛ adwuma;bucolic
bud;bud
budapest na ɛwɔ hɔ;Budapest
buddha;Buddha
buddha nsa;Buddha's hand
buddhafo;Buddhist
buddhafo bere no;Buddhist Era
buddhafo de;Buddhistic
buddhafo kasa;Buddhic
buddhasom;Buddhahood
buddhasom;Buddhism
budge;budge
budgerigar a wɔde di dwuma;budgerigar
budyonovka na ɔkyerɛwee;budyonovka
bue;deploy
bue;open
bue ano;launch
bue ano;unlock
bue bar no;open bar
bue bɔtn no mu;unbutton
bue kwan no;pave the way
bue mu;unfurl
bue nhoma no mu;open book
buenos aires na ɛwɔ hɔ;Buenos Aires
buff;buff
buffalo a ɔyɛ ɔkraman;buffalo
buffer a wɔde siw ano;buffer
buffer ano aduru;buffer solution
bufflehead a ɛyɛ fɛ;bufflehead
buffoon a ɔyɛ ɔkwasea;buffoon
bughouse chess a wɔde di dwuma;bughouse chess
bugle a ɛyɛ hu;bugle
buin;Buin
bujumbura na ɔkyerɛwee;Bujumbura
bukata;scam
bukkake;bukkake
bulbul a ɛyɛ den;bulbul
bulgaria kasa;Bulgarian
bulgaria na ɛwɔ hɔ;Bulgaria
bulgariafo ɔkraman;Bulgarian Hound
bulge a ɛyɛ kɛse;bulge
bulimia a ɛma obi nya ɔyare;bulimia
bulimic;bulimic
bulkhead a wɔde hyɛ mu;bulkhead
bulky;bulky
bulldog a wɔfrɛ no bulldog;bulldog
bulldozer a wɔde di dwuma;bulldozer
bullectomy a wɔde yɛ adwuma;bullectomy
bullet ant;bullet ant
bullet list a wɔahyehyɛ;bullet list
bulletin a wɔde kyerɛw nsɛm;bulletin
bullion a ɛyɛ den;bullion
bullmastiff na ɔkyerɛwee;Bullmastiff
bulwark a wɔde hyɛ mu;bulwark
bum;beam
bum;bum
bumblebee;bumblebee
bumfuck na ɛyɛ;bumfuck
bumfuck wɔ baabiara;bumfuck nowhere
bummer;bummer
bumper a ɛyɛ den;bumper
bumpkin a ɛyɛ hu;bumpkin
bumpy a ɛyɛ den;bumpy
bun;bun
bun mu;abyss
bundestag na ɔkyerɛwee;Bundestag
bundt keeki a wɔde yɛ;bundt cake
bung;bung
bungee a wɔde huruw;bungee jumping
bungee a wɔde yɛ adwuma;bungee
bungee ahuruhuruw;bungee jump
bungler a ɔyɛ ɔkwasea;bungler
bunion;bunion
bunk;bunk
bunkam fa so;overcome
bunker a ɛwɔ hɔ;bunker
bunkhouse a wɔde nneɛma gu mu;bunkhouse
