H-bomb;H-ɔtopae a wɔde tow
hieromonk;hieromonk a wɔfrɛ no hieromonk
Hieronymus;Hieronymus a ɔyɛ ɔkyerɛkyerɛfo
hierophany;hierophany a wɔde di dwuma
Higgs boson;Higgs boson na ɔkyerɛwee
high definition;nkyerɛase a ɛkorɔn
high fidelity;nokwaredi a ɛkorɔn
high five;a ɛkorɔn anum
High German;German kasa a ɛkorɔn
high heels;abɔso a ɛkorɔn
High Holidays;Nnapɔnna a Ɛkorɔn
high jump;ahuruhuruw a ɛkɔ soro
high jumper;obi a ohuruw kɔ soro
high life;asetra a ɛkorɔn
high priest;ɔsɔfo panyin
high priestess;ɔsɔfo panyin
high school;ntoaso sukuu
high seas;po a ɛso yɛ den
high season;bere a ɛyɛ den
high street;abɔnten kɛse so
high tide;asorɔkye a ɛkɔ soro
high treason;ɔman anidan a ɛkorɔn
high-beam;a ɛkorɔn-beam
high-class;a ɛkorɔn
high-handed;nsa a ɛkorɔn
high-level language;kasa a ɛkorɔn
high;soro
highborn;highborn
highbrow;highbrow a ɛyɛ fɛ
highchair;akongua a ɛkorɔn
higher being;abɔde a ɛkorɔn sen biara
highfalutin;falutin a ɛdɔɔso
highlight;da no adi
highlighter;a ɛtwe adwene si so
highlights;nsɛntitiriw
highly;a ɛkorɔn sen biara
Highness;Ɔsorosoroni
hight;hight
highway;ɔkwan kɛse so
highwayman;ɔkwan kɛse so nipa
hijab;hijab a wɔde di dwuma
hijack;hijack a wɔkyere nkurɔfo
hijacker;obi a ɔkyere nkurɔfo sie
Hijazi Arabic;Hijazi Arabic kasa
Hijra;Hijra
hike;kwantentene nanteɛ
hiker;hiker a ɔnam fam
hikikomori;hikikomori a wɔde di dwuma
hiking;kwantwa
hilarious;aseresɛm
Hilda;Hilda na ɔkyerɛwee
hill;kokoɔ
hillbilly;hillbilly a ɛyɛ nkoko so
hillock;koko so
hilly;nkoko so
hilt;hilt
hilum;hilum
him;ɔno
Himalayan blackberry;Himalaya mmeae a wɔfrɛ no blackberry
Himalayan;Himalaya mmepɔw so
Himalayas;Himalaya mmepɔw so
himself;ɔno ankasa
hin;hin
Hinche;Hinche na ɔkyerɛwee
hind;hind
hindbrain;akyi amemene
hinder;siw kwan
Hindi;Hindi kasa mu
hindrance;akwanside
hindsight is 20-20;sɛ yɛhwɛ akyi a, ɛyɛ 20-20
hindsight;akyi a wosusuw
Hindu;Hindufo
Hinduism;Hindusom
hinge;hinge a wɔde yɛ adwuma
hinny;hinny
hint;ti ho
hip bone;hip bone
hip-hop;hip-hop a wɔde bɔ nnwom
hip;pa
hippie;hippie a ɔyɛ ɔbaabun
hippocampus;hippocampus a ɛwɔ nipadua no mu
Hippocrates;Hippocrates na ɔkyerɛwee
hippodrome;hippodrome a ɛwɔ hɔ
hippogriff;hippogriff a wɔfrɛ no hippogriff
hippology;hippology ho adesua
hippopotamid;hippopotamid a wɔde yɛ aduru
hippopotamus;asukɔnkɔn
hipster;hipster a ɔyɛ ɔbarima
hiragana;hiragana na ɛyɛ
Hiram;Hiram
hire;han
hirsute;nhwi a ɛyɛ fɛ
hirsutism;hirsutism a ɛma obi ho yɛ hyew
hirudin;hirudin na ɔkyerɛwee
His Imperial Majesty;N’Ahemman Kɛse
His Majesty;N’Awurade
His Royal Highness;N’Ahemfie a Ɔkorɔn
his;ne
Hispanic America;Hispanic Amerikafo a wɔyɛ adwuma wɔ hɔ
Hispanic American;Hispanic Amerikani
Hispanic;Hispanicfo a wɔka wɔn ho asɛm
Hispanicism;Hispanicfo a wɔyɛ wɔn ade
Hispanicize;Yɛ Hispanic kasa
Hispaniola;Hispaniola na ɔkyerɛwee
Hispanophone;Hispanophone kasa
hiss;hiss
histamine;histamine a wɔde yɛ nnuru
histidine;histidine a wɔde di dwuma
histogram;histogram a wɔde kyerɛw nsɛm
histological;ntini mu nkwaadɔm ho nimdeɛ
histology;ntini mu nkwaadɔm ho adesua
histone;histone a wɔfrɛ no histone
historian;abakɔsɛm kyerɛwfo
historic;abakɔsɛm mu nsɛm
historical;abakɔsɛm mu nsɛm
historically;abakɔsɛm mu no
historicism;abakɔsɛm ho nsɛm
historiographer;abakɔsɛm kyerɛwfo
history;abakɔsɛm
histrionic;histrionic a ɛyɛ histrionic
histrionics;histrionics ho nimdeɛ
hit a snag;abɔ snag bi a ɛyɛ hu
hit and run;bɔ na tu mmirika
hit it and quit it;bɔ no na gyae
hit it off;bɔ no fi hɔ
hit point;hit point
hit the gas;bɔ gas no mu
hit the jackpot;bɔ jackpot no mu
hit;bɔ
hitch;hitch a wɔde hyɛ mu
Hitchcock;Hitchcock na ɔkyerɛwee
hitchhike;hitchhike a wɔde fa nnipa
hitchhiker;obi a ɔde hitchhiker di dwuma
hither;ha
hitherto;ɛde besi saa bere yi
Hitler;Hitler na ɔkyerɛwee
Hitlerism;Hitler nniso
hitman;ɔkumfoɔ
Hittite;Hitini
HIV negative;HIV a wonni bi
HIV positive;Wɔn a wɔwɔ HIV
HIV;HIV
hmm;hmm
Hmong;Hmongfoɔ
Ho Chi Minh City;Ho Chi Minh Kuropɔn
ho, ho, ho;ho, ho, ho
ho;ho
hoard;hoard a wɔde asie
hoarfrost;awɔw a ɛyɛ hu
hoarse;hoarse
hoary;hoary a ɛyɛ fɛ
hoatzin;hoatzin a wɔde di dwuma
hoax;atoro
hobber;hobber a ɔyɛ hobber
hobbit;hobbit a ɔyɛ ɔbarima
hobble;hobble a ɛyɛ hu
hobby;apɛdeɛ
hobnail;hobnail na ɛyɛ
hock;hock
hockey;hockey a wɔbɔ
hodgepodge;hodgepodge a wɔde di dwuma
hoe;hoe
hog;hog
hogshead;hogshead a wɔde wɔn ho hyɛ mu
hogwash;hogwash a wɔde di dwuma
hoi polloi;hoi polloi a ɛyɛ polloi
hoisin sauce;hoisin a wɔde yɛ aduan
hoist;hoist
hoity-toitily;hoity-toitily a wɔde di dwuma
hokey;hokey
Hokkaido;Hokkaido na ɛwɔ hɔ
hold down;kura mu
hold off;kura mu
hold one's horses;kura obi apɔnkɔ
hold one's tongue;kura obi tɛkrɛma mu
hold up;kura mu
hold;kuram
holding company;adwumakuw a ɛkurakura nneɛma
hole punch;tokuru a wɔde bɔ ade
hole;tokuro
holey;holey
holiday home;akwamma fie
holiday;afoofida
holiness;kronkronyɛ
holism;holism a wɔde di dwuma wɔ ɔkwan a ɛkɔ akyiri so
Holland;Holland na ɛwɔ hɔ
holler;holler a ɔteɛm
hollow leg;nan a ɛyɛ tokuru
hollow out;hollow out
hollow;emu nyɛ duru
holly;holly
hollyhock;hollyhock a wɔfrɛ no hollyhock
Hollywood;Hollywood
holm oak;holm oak a wɔfrɛ no oak
holmium;holmium a wɔfrɛ no holmium
holo-;holo- .
holocaust;okunkɛse
hologram;hologram a wɔde kyerɛ
holographic;holographic a wɔde kyerɛw nsɛm
holomictic;holomictic a wɔde di dwuma
holonym;holonym
holotropic;holotropic a ɛyɛ holotropic
holotype;holotype a wɔde yɛ adwuma
holster;holster a wɔde hyɛ mu
holus-bolus;holus-bolus a wɔde di dwuma
Holy Father;Agya Kronkron
Holy Grail;Grail Kronkron
Holy Land;Asase Kronkron
Holy Prepuce;Prepuce Kronkron
Holy Roman Empire;Roma Ahemman Kronkron
Holy See;Ahemfie Kronkron
holy shit;shit kronkron
Holy Spirit;Honhom Kronkron
holy war;ɔko kronkron
holy water;nsu kronkron
Holy Week;Nnawɔtwe Kronkron
Holy Writ;Nkyerɛwee Kronkron
holy;kronkron
homage;obu a wɔde ma
home automation;ofie afiri a wɔde yɛ adwuma
home away from home;fie a ɛwɔ akyirikyiri fi fie
home cinema;ofie sini a wɔyɛ
home country;ɔman a wɔte mu
home loan;ofie bosea a wɔde ma
Home Office;Ofie Dwumadibea
home page;home page
home run;home run a wɔde tu mmirika
Home Secretary;Ofie Ɔkyerɛwfo
home stretch;fie a wɔtrɛw mu
home sweet home;home sweet home
home teaching;ofie nkyerɛkyerɛ
home;fie
homebody;homebody
homeboy;homeboy a ɔyɛ ɔbarima
homebrewed;a wɔayɛ no fie
homecoming;fie a wɔsan kɔ
homegrown;a wodua wɔ fie
homeland;kurom
homeless;a wonni afie
homelessness;afie a wonni
homely;ofie mu de
homemade;nea wɔayɛ wɔ fie
homeopathic;homeopathic aduruyɛ
homeopathy;homeopathy a wɔde sa yare
homeostasis;homeostasis a wɔde yɛ adwuma
homeostatic;homeostatic a wɔde yɛ adwuma
homeowner;ofie wura
Homer;Homer na ɔkyerɛwee
Homeric;Homeric na ɔkyerɛwee
homesickness;ofie ho akɔnnɔ
homestead;homestead
hometown;kurom hɔ
homework;fie dwumadie
homicide;awudisɛm
homie;homie na ɛyɛ
homily;asɛnka a wɔka
homing pigeon;homing mmorɔnoma
hominid;hominid honid
hominy;hominy ho asɛm
homo-;homo- .
Homocaust;Okunkɛse
homogeneity;homogeneity a ɛyɛ pɛ
homogeneous;a ɛyɛ pɛ
homogeneously;a ɛyɛ pɛ
homograph;homograph a wɔde kyerɛw nsɛm
homologous;homologous a ɛyɛ pɛ
homology;homology a ɛyɛ pɛ
homonym;asɛmfua a ɛne ne ho di nsɛ
homonymous;din a ɛne ne ho di nsɛ
homonymy;homonymy a wɔde di dwuma
homophobe;ɔbarima ne ɔbea nna ho tan
homophobia;mmarima a wɔne wɔn ho da ho tan
homophobic;ɔbarima ne ɔbea nna ho tan
homophone;homophone a wɔde di dwuma
homoscedasticity;homoscedasticity a wɔde di dwuma
homosexual;mmarima a wɔne wɔn ho da
homosexuality;mmarima a wɔne wɔn ho da
homospore;homospore a ɛma nipadua no yɛ adwuma
homotopic;homotopic a wɔde di dwuma
homozygous;homozygous a ɛyɛ biako
homunculus;homunculus (homunculus) a wɔfrɛ no homunculus
Honduran;Hondurasfoɔ na wɔte saa
Honduras;Honduras na ɛwɔ hɔ
hone;hone
honest;nokorɛ
honestly;nokorɛ nie
honesty;nokwaredi
honey badger;ɛwo a wɔfrɛ no badger
honey bee;ɛwo ntɛtea
honey dipper;ɛwo a wɔde hyɛ mu
honey drizzler;ɛwo a ɛtɔ gu fam
honey;Ɛwoɔ
honeycomb;ɛwo a wɔde yɛ nneɛma
honeymoon;honeymoon a wɔde bɛkɔ
honeysuckle;ɛwo a wɔfrɛ no honeysuckle
Hong Kong;Hong Kong
Honiara;Honiara na ɔkyerɛwee
honor;animuonyamhyɛ
honorable;a nidi wom
Honorius;Honorius a ɔyɛ ɔkyerɛkyerɛfo
honour killing;nidi mu awudi
honourably;wɔ nidi mu
Honshu;Honshu na ɔkyerɛwee
hoo-ha;hoo-ha
hood rat;hood rat a ɔyɛ ɔkraman
hood;mpɔtam
hooded;hooded a wɔde ahyɛ mu
hoodie;hoodie a wɔde hyɛ
hoodlum;hoodlum a ɔyɛ ɔkwasea
hoodoo;hoodoo a ɛyɛ hu
hoodwink;hoodwink a wɔde di dwuma
hoof;hoof
hook up;hook up ho
hook;som
hookah;hookah na ɛyɛ
Hooke's law;Hooke mmara no
hooked;hooked
hooker;hooker a ɔyɛ ɔkwasea
hooligan;hooligan a ɔyɛ ɔkwasea
hoop earring;hoop asomuade
hoop;hoop
hoopoe;hoopoe a wɔde di dwuma
hooray;hooray a ɛyɛ hu
hoot;hoot
hop;huri
hopanoid;hopanoid a ɛyɛ hopanoid
hope springs eternal;anidaso fifi daa
hope;anidasoɔ
hopeful;anidaso
hopefully;anidasoɔ mu
hopeless;anidasoɔ nnim
hopelessness;anidaso a wonni
hoplite;hoplite a wɔde di dwuma
hopscotch;hopscotch a wɔde di dwuma
Horace;Horace na ɔkyerɛwee
Horatian;Horatianfo na ɔkyerɛwee
horchata;horchata na ɛyɛ
horde;horde
horehound;horehound a wɔfrɛ no horehound
horizon;horizon a ɛyɛ fɛ
horizontal dancing;asaw a wɔsaw a ɛkɔ soro
horizontal;ne tɛtrɛtɛ mu
horizontally;wɔ ɔkwan a ɛkɔ soro so
hormonal;hormone a ɛma nipadua no yɛ adwuma
hormone therapy;hormone a wɔde sa yare
hormone;hormone a ɛma nipadua no yɛ adwuma
Horn of Africa;Afrika Abɛn
horn;abɛn
hornbeam;abɛn a wɔde bɔ abɛn
hornbill;abɛn a wɔfrɛ no hornbill
hornblende;abɛn a wɔde bɔ abɛn
Horned God;Onyankopɔn a Ɔwɔ mmɛn
horned lizard;ɔkraman a ɔwɔ mmɛn
horned melon;melon a ɔwɔ mmɛn
horned;abɛn
hornero;hornero na ɛyɛ
hornet;hornet a wɔfrɛ no hornet
horny;horny horny
horologist;dɔnhwerew ho ɔbenfo
Horologium;Nnwom a Wɔde Di Dwuma
horology;dɔnhwerew ho adesua
horopter;horopter a ɔkyerɛw no
horoscope;nsoromma mu hwɛ
horrible;ani yɛ nyane
horribly;wɔ ɔkwan a ɛyɛ hu so
horrid;horrid a ɛyɛ hu
horrific;ɛyɛ hu
horrify;a ɛyɛ hu
horripilation;ahude a ɛyɛ hu
horror story;asɛm a ɛyɛ hu
horror;ahuhudeɛ
hors d'oeuvre;hors d’oeuvre a wɔde di dwuma
horse archer;ɔpɔnkɔ a ɔtow agyan
horse chestnut;ɔpɔnkɔ a wɔfrɛ no chestnut
horse racing;apɔnkɔ mmirikatu
horse stance;ɔpɔnkɔ gyinabea
horse;pɔnkɔ
horseback;pɔnkɔ so
horsefly;ɔpɔnkɔ so nwansena
horseling;apɔnkɔ so tra
horseman;ɔpɔnkɔsotefo
horsemeat;apɔnkɔ nam
horseplay;apɔnkɔ so agodie
horsepower;apɔnkɔ ahoɔden
horseradish;horseradish a wɔde yɛ aduru
horseshoe;pɔnkɔ nan ase
horsetail;apɔnkɔ dua
horsewhip;apɔnkɔ so mpire
horsewoman;ɔpɔnkɔsotefo
horsy;apɔnkɔsotefo
horticulture;turoyɛ ho adwumayɛ
hosanna;hosanna
hose;hose a wɔde yɛ adwuma
Hosea;Hosea
hospice;hospice
hospitable;ahɔhoyɛfo
hospital gown;ayaresabea atade a wɔde hyɛ
hospital;ayaresabea
hospitality;ahɔhoyɛ
hospitalization;ayaresabea a wɔde wɔn bɛkɔ
hospitalize;wɔde wɔn kɔ ayaresabea
host;deɛ ɔgye ahɔhoɔ
hostage;hostage
hostel;ahɔhodan mu
hostess;ahɔhoyɛfo
hostile witness;ɔdansefo a ɔyɛ ɔtan
hostile;te adoa nwoma so
hostilely;wɔ ɔtan mu
hostility;nitan a wɔde di dwuma
hostname;host din
hot chocolate;chocolate a ɛyɛ hyew
hot dog;hot dog a ɛyɛ hyew
hot flush;ɔhyew a wɔde hyɛ mu
hot mess;basabasayɛ a ɛyɛ hyew
hot pot;kuku a ɛyɛ hyew
hot potato;ɛmo a ɛyɛ hyew
hot sauce;sauce a ɛyɛ hyew
hot spring;asubura a ɛyɛ hyew
hot water bottle;nsu a ɛyɛ hyew toa
hot yoga;yoga a ɛyɛ hyew
hot-air balloon;mframa a ɛyɛ hyew a wɔde bɔ balloon
hot-tempered;obi a ne ho yɛ hyew
hot;hye
hotel;ahɔhobea
hotheaded;a ne ti yɛ hyew
hotplate;hotplate a ɛyɛ hyew
Hottentot;Hottentot na ɛwɔ hɔ
hound;hound hound
houndstooth;houndstooth a wɔfrɛ no ɔkraman
hour hand;dɔnhwerew nsa
hour;dɔnhwere
hourglass figure;dɔnhwerew dɔnhwerew akontaabu
hourglass;dɔnhwerew a wɔde yɛ dɔn
house arrest;fie a wɔde obi bɛto afiase
house martin;ofie a wɔfrɛ no martin
house mouse;ofie mu mmoawa
house music;ofie nnwom
house of cards;ofie a wɔde nkrataa gu mu
House of Commons;Aban Asoɛe a Ɛhwɛ Aban So
House of Lords;Awuranom Fie
house sparrow;ofie nkasanoma
house wine;ofie bobesa
house-trained;wɔatete wɔn wɔ fie
house;fie
housefly;ofie nwansena
household appliance;ofie mfiri a wɔde yɛ adwuma
household;fidua
householder;ofiewura
househusband;ofie kunu
housekeeper;ofiehwɛfo
housewife;ofiehwɛfo
housework;ofie nnwuma
housing estate;adan a wɔde asie
housing;adan a wɔde tua ho ka
hovel;hovel
hover-fly;hover-fly a wɔde tu mmirika
hover;hover hover
hovercraft;hovercraft a wɔde tu kwan
how are you;wo ho te sɛn
how come;ɛyɛɛ dɛn na ɛbae
how do I get to;mɛyɛ dɛn akɔ
how do you do;wo ho te sɛn
how long;bere tenten ahe
how many;ahe
how much;sɛn
how old are you;woadi mfeɛ sɛn
how's it going;sɛnea ɛrekɔ so
how's the weather;wim tebea te dɛn
how;sɛn
Howard;Howard na ɔkyerɛwee
however;mmom
howitzer;howitzer a wɔde yɛ adwuma
howl;teɛm
howler monkey;bonsu a ɔteɛteɛm
howling;a wɔreteɛteɛm
hryvnia;hryvnia a wɔfrɛ no hryvnia
HTML5;HTML5
HTML;HTML
HTTP cookie;HTTP kuki no
Huang He;Huang Ɔno na ɔkyerɛwee
Huaraz;Huaraz na ɔkyerɛwee
hub;dosopuo
Hubble constant;Hubble daa
hubcap;hubcap a wɔde hyɛ mu
Hubert;Hubert na ɔkyerɛwee
hubris;ahomaso
hubristic;ahomaso
huchen;huchen
huddle;huddle
hue;hue
Huelva;Huelva na ɔkyerɛwee
hug;yɛ atuu
huge;kɛseɛ
hugeness;kɛseyɛ
huggable;a wɔyɛ wɔn atuu
Hugh;Hugh
Huguenot;Huguenotfo na wɔyɛ
huh;huh
hula hoop;hula hoop a ɛyɛ hu
hull;hull no
hullaballoo;hullaballoo a ɛyɛ hu
hum;hum
human being;onipa nipa
human condition;onipa tebea
human nature;onipa su
human race;adesamma abusua
human resources;nnipa ahoɔden
human right;hokwan a nnipa wɔ
human rights;hokwan ahorow a nnipa wɔ
human shield;onipa kyɛm
human trafficking;nnipa a wɔtɔn wɔn
human;nipa
humane;nnipa a wɔyɛ nnipa
humanism;nnipa ho adwene
humanist;nnipa ho nimdefo
humanitarian;nnipa mmoa a wɔde ma
humanitarianism;nnipa mmoa ho adwene
humanity;adesamma su
humankind;adesamma
humanly;wɔ nnipa mu
humanoid;a ɛte sɛ onipa
humanzee;humanzee
Humbert;Humbert na ɔkyerɛwee
humble;ahobrɛaseɛ
humbly;ahobrɛase mu
humbug;humbug a ɛyɛ hu
humdrum;humdrum a ɛyɛ hu
humectant;humectant a ɛma nsuo yɛ hyew
humerus;humerus a ɛyɛ hu
humid;nsuframa
humidifier;humidifier a ɛma nsu yɛ hyew
humidity;nsuframa
humidor;humidor a ɛyɛ hu
humiliate;animguase
humiliated;animguaseɛ
humiliating;animguase
humiliation;animguase
humility;ahobrɛase
hummingbird;hummingbird a ɔyɛ nnomaa
hummus;hummus a ɛyɛ hu
humongous;humongous a wɔde di dwuma
humour;aseresɛm
hump day;hump da no
hump;hump
humpback whale;humpback whale a ɔyɛ ɔkraman
humpback;humpback a ɛyɛ humpback
Hun;Hun
hunch;hunch
hundred;ɔha
hundredth;nea ɛto so ɔha
hundredweight;ɔha mu duru
hung like a horse;sɛn hɔ te sɛ ɔpɔnkɔ
hung parliament;sɛn mmarahyɛ bagua no
hung;sɛn hɔ
Hungarian hound;Hungaryfo ɔkraman
Hungarian notation;Hungary kasa mu nkyerɛwde
Hungarian;Hungary kasa
Hungary;Hungary na ɛwɔ hɔ
hunger strike;ɔkɔm a wɔde ma
hunger;ɔkɔm
hungover;ɔkɔm a ɛma obi yɛ ade
hungry;ɛkɔm
hunk;hunk
hunker down;hunker ase
hunker;hunker
hunt;kɔ ha
hunter;ɔbɔmmɔfo
hunting dog;ɔkraman a ɔbɔ abɔmmɔ
hunting ground;beae a wɔbɔ abɔmmɔ
hunting;abɔmmɔ
Huntington's disease;Huntington yare no
huntress;ɔbɔmmɔfo
hurdle;akwanside
hurdler;hurdler a ɔde ne ho hyɛ mu
hurdy-gurdy;hurdy-gurdy a ɛyɛ hu
hurl;tow gu
hurrah;hurrary
hurricane;mframa gyampanturudu
hurry up;ka wo ho
hurry;ka wo ho
hurt;ha
hurtful;ɛyɛ yaw
Hus;Hus
husband and wife;okunu ne ɔyere
husband;kunu
husbandry;kuayɛ ho adwuma
hush;hush
husk;husk
hussar;hussar na ɔkyerɛwee
Hussite;Hussite na ɔkyerɛwee
hustle;apereapereɛ
hustler;hustler a ɔyɛ hustler
hut;seseɛ
hutch;hutch
HVAC;HVAC
hyacinth;hyacinth a wɔde yɛ aduru
Hyacinthus;Hyacinthus a wɔfrɛ no Hyacinthus
hyaluronic;hyaluronic a wɔde yɛ aduru
hybrid;afrafra
hybridization;afrafra a wɔde afrafra
Hyderabad;Hyderabad na ɛwɔ hɔ
hydra;hydra a ɛyɛ nsuo
hydracid;hydracid a ɛyɛ adwuma
hydrangea;hydrangea a wɔfrɛ no hydrangea a wɔfrɛ no hydrangea
hydrargyrum;hydrargyrum a ɛyɛ nsuo a wɔfrɛ no hydrargyrum
hydrate;hydrate a wɔde hyɛ nipadua mu
hydraulic fracturing;nsu a wɔde paapae nneɛma mu
hydraulic;nsu a wɔde yɛ adwuma
hydraulicity;nsu a wɔde yɛ adwuma
hydraulics;hydraulics a wɔde yɛ adwuma
hydrazine;hydrazine a wɔde yɛ adwuma
hydride;hydride a wɔde yɛ adwuma
hydro-;nsuo- .
hydrocarbon;hydrocarbon a ɛyɛ hyew
hydrocephalus;hydrocephalus a ɛma obi ho yɛ hyew
hydrochloric acid;hydrochloric acid a wɔde yɛ aduru
hydrochloric;hydrochloric a wɔde yɛ adwuma
hydrodynamic;nsu mu ahoɔden
hydrodynamically;wɔ nsu mu ahoɔden mu
hydrodynamics;nsu mu ahoɔden ho nimdeɛ
hydroelectric dam;nsu mu anyinam ahoɔden dam
hydrofoil;hydrofoil a wɔde yɛ nneɛma
hydrogen bomb;hydrogen ɔtopae a wɔde tow
hydrogen peroxide;hydrogen peroxide a wɔde yɛ adwuma
hydrogen sulfide;hydrogen sulfide a wɔde yɛ nneɛma
hydrogen vehicle;hydrogen kar a wɔde yɛ adwuma
hydrogen;hydrogen a wɔfrɛ no hydrogen
hydrogenate;hydrogenate a wɔde yɛ adwuma
hydrogenation;hydrogen a wɔde yɛ adwuma
hydrography;nsu ho mfonini
hydrologic;nsu ho nimdeɛ
hydrologist;nsu ho ɔbenfo
hydrology;nsu ho adesua
hydrolysis;nsu mu a wɔde hyɛ mu
hydromassage;nsu a wɔde twitwiw nipadua no
hydronium;hydronium a wɔfrɛ no hydronium
hydronym;hydroonym a wɔde di dwuma
hydrophobia;nsu a wɔmpɛ
hydrophobic;nsu a ɛnyɛ den
hydroquinone;hydroquinone a wɔde yɛ adwuma
hydrosol;hydrosol a wɔfrɛ no hydrosol
hydrosphere;nsu a ɛwɔ nsu mu
hydrostatic;nsuo a ɛtumi gyina nsuo mu
hydrotherapist;nsu ho ɔyaresafo
hydrotherapy;nsu a wɔde sa yare
hydroxide;hydroxide a wɔde yɛ adwuma
Hydrus;Hydrus a wɔfrɛ no Hydrus
hyena;hyena, ɔkraman
hygiene;ahonidie
hygienic;ahotew ho
hygrometer;hygrometer a wɔde kyerɛ sɛnea nsu te
hygroscopic;hygroscopic a wɔde hwɛ nsu mu
hymen;hymen a ɛyɛ den
hymeneal;hymeneal a wɔde hyɛ nipadua mu
hymenium;hymenium a wɔde yɛ aduru
hymn;nnwom
hymnal;nnwom nhoma
hypallage;hypallage a ɛma obi ho yɛ hyew
hypanthium;hypanthium a wɔde yɛ aduru
hype;hype a wɔde hyɛ nkurɔfo nkuran
hyperbaton;hyperbaton a wɔde kyerɛw nsɛm
hyperbola;hyperbola a ɛboro so
hyperbole;nsɛm a wɔka ma ɛboro so
hyperbolic;nea ɛboro so
hypercatalectic;hypercatalectic a ɛyɛ nea ɛboro so
hypercholesterolemia;mogya mu srade a ɛboro so
hypercorrect;hypercorrect a ɛyɛ nea ɛteɛ
hypercorrection;nteɛso a ɛboro so
hypercube;hypercube a ɛyɛ kɛse
hyperesthesia;hyperesthesia a ɛma obi ho yɛ hyew
hyperfocused;a wɔde wɔn adwene si biribi so dodo
hypergiant;hypergiant a ɛyɛ kɛse
hyperglycemia;asikre a ɛboro so
hyperinflation;nneɛma bo a ɛkɔ soro dodo
Hyperion;Hyperion a ɛyɛ kɛse
hyperlink;hyperlink a ɛwɔ hɔ
hypermasculine;hypermasculine a ɛyɛ ɔbarima
hypermasculinity;mmarimayɛ a ɛboro so
hypermetric;hypermetric a ɛyɛ nea ɛboro so
hypernatremia;hypernatremia a ɛma obi ho yɛ hyew
hypernova;hypernova a ɛyɛ nwonwa
hypernym;hypernym a wɔde di dwuma
hyperon;hyperon
hyperpigmentation;hyperpigmentation a ɛma mogya tu
hyperplasia;hyperplasia a ɛma nipadua no yɛ kɛse
hypersensitivity;nkate a ɛboro so
hypersexuality;nna a ɛboro so
hyperspace;hyperspace a ɛwɔ soro
hypertension;mogya mmoroso
hypertensive;mogya mmoroso a ɛma mogya tu
hypertext;hypertext a ɛwɔ soro
hypertextual;nsɛm a wɔakyerɛw a ɛboro so
hyperthermia;ɔhyew a ɛboro so
hypertrophy;hypertrophy a ɛma nipadua no yɛ kɛse
hyperventilate;mframa a wɔde ma boro so
hyperventilation;mframa a wɔde ma boro so
hypervolemic;hypervolemic a ɛma ɛyɛ kɛse
hypha;hypha a ɛyɛ hypha
hyphen;hyphen a wɔde hyɛ mu
hyphenation;hyphenation a wɔde hyɛ mu
hypnic jerk;hypnic a wɔde hyɛ obi nsa
Hypnos;Hypnos a wɔde hyɛ nkurɔfo nkuran
hypnosis;hypnosis a wɔde di dwuma
hypnotherapist;ɔyaresafo a ɔhwɛ hypnotherapist
hypnotherapy;aduru a wɔde dadaa obi
hypnotic;aduru a ɛma obi da
hypnotism;aduru a wɔde dadaa
hypnotist;obi a ɔma nkurɔfo da
hypnotization;hypnotization a wɔde hyɛ obi nsa
hypnotize;hypnotize a wɔde hyɛ obi mu
hypnotized;a wɔde hypnotized ayɛ
hypocaust;hypocaust a wɔde di dwuma
hypochlorous;hypochlorous a ɛwɔ nipadua no mu
hypochondria;hypochondria a ɛma obi ho yɛ hyew
hypochondriac;hypochondriac a ɛyɛ mmerɛw
hypochondriasis;hypochondriasis a ɛma obi ho kyere no
hypochondrium;hypochondrium a ɛwɔ nipadua no mu
hypocorism;nyaatwomyɛ
hypocoristic;nyaatwom a wɔyɛ
hypocrisy;nyaatwomyɛ
hypocrite;nyaatwomfoɔ
hypocritical;nyaatwomfo
hypodermis;hypodermis a ɛwɔ nipadua no mu
hypoesthesia;hypoesthesia a ɛma obi ho yɛ hyew
hypomasculinity;hypomasculinity a ɛyɛ ɔbarima ne ɔbea nna
hyponatremia;hyponatremia a ɛma obi ho yɛ hyew
hyponym;hyponym a wɔde di dwuma
hypophysis;hypophysis a ɛma obi nya hypophysis
hypopituitarism;hypopituitarism a ɛma obi ho kyere no
hypospadias;hypospadias a ɛwɔ nipadua no mu
hypotension;mogya mmoroso a ɛba fam
hypotenuse;hypotenuse a ɛwɔ nipadua no mu
hypothalamic;hypothalamic a ɛwɔ nipadua no mu
hypothalamus;hypothalamus a ɛwɔ nipadua no mu
hypothermia;ɔhyew a ɛba fam
hypothermic;hypothermic a ɛba fam
hypothesis;hypothesis a wɔde susuw nneɛma ho
hypothetical;nsusuwii hunu
hypothetically;wɔ nsusuwii hunu mu
hypothyroidism;hypothyroidism a ɛyɛ mmerɛw
hypotrochoid;hypotrochoid a ɛma nipadua no yɛ adwuma
hypovolemic;hypovolemic a ɛma mogya tu
hypoxemia;hypoxemia a ɛma mogya tu
hypoxia;hypoxia a ɛma obi ho yɛ hyew
hypoxic;hypoxic a ɛwɔ nipadua no mu
hypsometer;hypsometer a wɔde kyerɛ sɛnea obi yɛ ade
hyrax;hyrax a wɔfrɛ no hyrax
Hyrcania;Hyrcania na ɛwɔ hɔ
hyssop;hyssop a wɔde yɛ ade
hysterectomy;hysterectomy a wɔde twa awotwaa no
hysteresis;hysteresis a ɛma obi ho kyere no
