b'ak'tun;b'ak'tun a woagye atom
bewilderment;adwene a ɛyɛ basaa
bewitch;akɔmfo
bewitched;akɔmfo
bewitching;akɔmfosɛm
beyond the pale;a ɛboro nea ɛyɛ mmerɛw no so
beyond;boro
bezant;bezant a ɔyɛ ɔbarima
bezoar;bezoar na ɛyɛ
bhikkhu;bhikkhu
bhikkhuni;bhikkhuni na ɛyɛ
Bhutan;Bhutan
Bhutanese;Bhutanfo kasa
bi-;bi- .
biannual;afe abien biara
bias;tɛnkyea
biased;tɛnkyea
biathlon;mmirikatu a wɔde tu mmirika abien
bib;bib
bibimbap;bibimbap na ɛyɛ
Bible basher;Bible basher
Bible Belt;Bible Belt
Bible;Bible
Biblical Hebrew;Bible mu Hebri kasa
biblical;Bible mu nsɛm
bibliographic;nhoma ahorow a wɔahyehyɛ
bibliography;nhoma ahorow a wɔahyehyɛ
bibliolatry;nhoma ahorow ho adesua
bibliomancy;bibliomancy a wɔde di dwuma
bibliophile;obi a ɔpɛ nhoma
bicameral;bicameral a wɔde di dwuma
bicarbonate;bicarbonate a wɔde yɛ nneɛma
bicephalous;bicephalous a ɛwɔ nipadua no mu
bicephaly;bicephaly a ɛma obi ho yɛ hyew
biceps brachii;biceps brachii a ɛwɔ nipadua no mu
biceps;biceps a ɛwɔ nipadua no mu
Bichon Frisé;Bichon Frisé na ɔkyerɛwee
bickie;bikie
bicycle helmet;sakre dade kyɛw
bicycle kick;sakre a wɔde bɔ akuturuku
bicycle path;sakre kwan
bicycle;sakre
bid;pere
bidder;nea ɔde ne ho to so
bidet;bidet a wɔde di dwuma
bidirectional;akwan abien so
Biella;Biella na ɔkyerɛwee
biennial;afe abien biara
bier;bier
biface;biface
bifurcate;a wɔakyekyɛ mu abien
bifurcation;afã abien a wɔkyekyɛ
Big Apple;Apɔw-mu-teɛteɛ Kɛse
Big Bang;Big Bang a Ɛyɛ Fɛ
Big Brother;Onua Kɛse
big cheese;kyiisi akɛse
Big Crunch;Crunch Kɛseɛ
big data;data akɛse
big deal;asɛm kɛse
Big Dipper;Dipper Kɛseɛ
big hairy armadillo;armadillo kɛse a ne ho yɛ nhwi
Big Mac;Big Mac
big mouth;ano kɛse
big picture;mfonini kɛse
Big Rip;Big Rip
big screen;screen kɛse bi
big toe;nansoaa kɛse
big;kɛseɛ
bigamist;bigamist
bigamy;bigamy
Bigfoot;Bigfoot na ɔyɛ
bight;bight
bigmouth;ano kɛse
bigorexia;bigorexia a ɛma obi ho kyere no
bigorexic;bigorexic a wɔde di dwuma
bigot;bigot
bigotry;ɔtan hunu
bigwig;bigwig
Bihar;Bihar na ɛwɔ hɔ
bijection;bijection a ɛma obi yɛ ade
bijective;bijective a ɛkyerɛ biribi
bike-and-ride;sakre-ne-tra so
bike;sakre
biker;sakrekafo
bikini bottom;bikini ase
bikini;bikini a ɛwɔ hɔ
bilabial;bilabial a ɛwɔ hɔ
bilateral;afã abien
Bilbao;Bilbao na ɛwɔ hɔ
Bilbaoan;Bilbaofo kasa
bilberry;bilberry a wɔde yɛ nneɛma
bildungsroman;bildungsroman a wɔka no
bile duct;bile duct a ɛkɔ nipadua no mu
bile;bile
bilge;bilge a wɔde hyɛ mu
Bilhah;Bilhah
bilingual;kasa abien a wɔka
bilingualism;kasa abien a wɔka
bilious;bilious
bill of exchange;sika a wɔde sesa nneɛma
bill of lading;krataa a wɔde fa nneɛma so
bill of rights;hokwan ahorow ho mmara
bill;ɛka
billboard;dawurubɔ krataa
billet;billet
billhook;billhook a wɔde di dwuma
billiard;billiard a wɔbɔ
billiards;billiards a wɔbɔ
billion;ɔpepepem pii
billionaire;ɔpepepemfo
billow;billow
billy goat;billy abirekyi
bilocation;bilocation a ɛwɔ hɔ
bimetallism;bimetallism a wɔde di dwuma
bin;bin
binary code;binary code a wɔde di dwuma
binary operator;binary dwumadiefoɔ
binary relation;abusuabɔ a ɛyɛ abien
binary star;nsoromma a ɛwɔ abien
binary tree;dua a ɛwɔ afã abien
binary;binary
bind;kyekyere
binder clip;binder clip a wɔde kyekyere nneɛma
binder;binder a wɔde kyekyere nneɛma
binding;kyekyere
binge;binge a ɛboro so
bingo;bingo
binnacle;binnacle a ɛyɛ den
binoculars;afiri a wɔde hwɛ akyirikyiri
binomial;binomial a wɔde di dwuma
binucleate;binucleate a wɔde yɛ nneɛma
bio-;bio- .
bioaccumulation;bioaccumulation a wɔde yɛ nneɛma
bioaccumulative;bioaccumulative a wɔde yɛ nneɛma
bioavailability;bioavailability a ɛwɔ hɔ
bioch;bioch
biochemical;biochemical a wɔde yɛ nnuru
biochemist;biochemist ho ɔbenfo
biochemistry;abɔde mu nneɛma ho adesua
biochronology;abɔde a nkwa wom ho nhyehyɛe
biocide;biocide a wɔde kum mmoawa
biocoenosis;biocoenosis a ɛma nipadua no yɛ adwuma
biodegradability;abɔde a nkwa wom a wɔsɛe no
biodegradable;nea ɛtumi sɛe nneɛma a nkwa wom
biodegradation;abɔde a nkwa wom a wɔsɛe no
biodiesel;biodiesel a wɔde yɛ nneɛma
biodiversity;abɔde a nkwa wom a egu ahorow
bioethics;abɔde mu abrabɔ pa ho adesua
biofilm;biofilm a wɔde yɛ nneɛma
biofuel;biofuel a wɔde yɛ nneɛma
biogenesis;abɔde a nkwa wom a wɔyɛ
biogirl;biogirl a ɔyɛ ɔbaabun
biographer;asetra ho nsɛm kyerɛwfo
biographette;asetra ho nsɛm a wɔakyerɛw
biographical;asetra ho nsɛm
biography;asetra ho nsɛm
biohazard;biohazard a ɛba
bioindicator;bioindicator a ɛkyerɛ sɛnea nneɛma te
bioinformatics;bioinformatics ho nsɛm a wɔde di dwuma
biological parent;ɔwofo a ɔwoo no
biological weapon;akode a wɔde abɔde a nkwa wom yɛ
biological;abɔde a nkwa wom
biologist;abɔde a nkwa wom ho ɔbenfo
biology;abɔde a nkwa wom ho adesua
bioluminescence;bioluminescence a wɔde yɛ nneɛma
biomarker;biomarker a wɔde kyerɛ
biome;biome
biomedicine;biomedicine a wɔde yɛ nnuru
biometrics;biometrics a wɔde kyerɛw nsɛm
biomolecule;biomolecules a ɛma nipadua no yɛ adwuma
bionics;bionics ho adesua
biophilia;biophilia a ɛma obi nya nkwa
biophysics;abɔde a nkwa wom ho adesua
biopsy;biopsy a wɔde yɛ nhwehwɛmu
bioremediation;bioremediation a wɔde yɛ adwuma
bioscience;abɔde a nkwa wom ho nyansahu
biosimilar;biosimilar a ɛwɔ hɔ
biosphere;biosphere, abɔde a nkwa wom
biosynthesis;biosynthesis a wɔde yɛ nneɛma
biotechnological;abɔde a nkwa wom ho mfiridwuma
biotechnology;abɔde a nkwa wom ho mfiridwuma
biotherapy;biotherapy a wɔde sa yare
biotic;biotic
biotin;biotin
biotite;biotite a wɔfrɛ no biotite
biotope;biotope a wɔde yɛ nneɛma
bipartite;afã abien
biped;anan abien
bipedal;a ne nan abien na ɛbɔ
bipedalism;anan abien a wɔde di dwuma
biphenyl;biphenyl a wɔde yɛ nneɛma
bipolar disorder;adwenemhaw a ɛma obi yɛ ade tra so
bipolar;adwenemhaw a ɛma obi yɛ ade tra so
bipolarity;bipolarity a ɛma obi yɛ ade abien
birch;birch a wɔfrɛ no birch
birchbark;birchbark a wɔde yɛ nnua
Bircher muesli;Bircher a ɔyɛ muesli na ɔkyerɛwee
bird of ill omen;anomaa a ɔyɛ asɛmmɔne
bird of paradise;paradise anomaa
bird of prey;anomaa a ɔkyere mmoa
bird's-eye view;anomaa aniwa a wɔde hwɛ ade
bird;anomaa
birdbrain;nnomaa amemene
birdcage;nnomaa a wɔde wɔn ho hyɛ mu
birdcall;nnomaa frɛ
birdcatcher;nnomaa a wɔkyere nnomaa
birdie;birdie na ɔyɛ
birdlime;nnomaa a wɔfrɛ no birdlime
birdsong;nnomaa nnwom
birdwatching;nnomaa a wɔhwɛ
biretta;biretta na ɔkyerɛwee
Birobidzhan;Birobidzhan na ɔkyerɛwee
birth certificate;awo ho adansedi krataa
birth control;awo ano aduru
birth defect;awo mu dɛmdi
birth weight;awo mu duru
birth;awo
birthday boy;awodadi abarimaa
birthday cake;awodadi keeki
birthday girl;awodadi abeawa
birthday party;awodadi apontow
birthday suit;awodadi atade
birthday;awoda
birthmark;awo agyiraehyɛde
birthplace;baabi a wɔwoo no
birthrate;awo dodow
biryani;biryani
Biscay;Biscay na ɛwɔ hɔ
biscuit;bisket a wɔde yɛ nneɛma
bisector;bisector a ɛwɔ afã abien
bisexual;ɔbarima ne ɔbea nna abien
bisexuality;ɔbarima ne ɔbea nna abien
Bishkek;Bishkek na ɔkyerɛwee
Bishnupriya Manipuri;Bishnupriya Manipuri na ɔkyerɛwee
bishop;bishop
bishopric;asɔfopɔn adwuma
Bislama;Bislama na ɔkyerɛwee
bismuth;bismuth a wɔde yɛ aduan
bison;bison a wɔfrɛ no bison
Bissau;Bissau na ɔkyerɛwee
bissextile;bissextile a wɔde yɛ nneɛma
bistro;bistro
bisulfate;bisulfate a wɔde yɛ aduru
bit of skirt;bit a ɛyɛ skirt
bit;kakra
bitch;bitch a ɔyɛ ɔbarima
bitchy;bitchy a ɔyɛ ɔbarima
bitcoin;bitcoin a wɔde di dwuma
bite cell;bite cell
bite the dust;keka mfutuma no
bite;ka
Bithynia;Bitinia na ɔkyerɛwee
bitmap;bitmap a wɔde yɛ nneɛma
Bitola;Bitola na ɔkyerɛwee
bitstock;bitstock a wɔde yɛ nneɛma
bitt;bitt
bitter melon;melon a ɛyɛ nwononwono
bitter panicgrass;panicgrass a ɛyɛ nwononwono
bitter;nwono
bitterly;a ɛyɛ yaw
bittern;bittern
bitterness;awerɛhowdi
bittersweet;a ɛyɛ nwononwono
bitumen;bitumen a wɔde yɛ nneɛma
bivalve;bivalve a ɛwɔ afã abien
bivouac;bivouac a wɔde di dwuma
biweekly;dapɛn abien biara
bizarre;bizarre, ɛyɛ nwonwa
BL Lac object;BL Lac ade a ɛwɔ hɔ
blab;blab
blabber;blabber a ɔyɛ ɔbarima
black alder;alder tuntum a wɔfrɛ no alder
black antshrike;abibifo anthrike
black bear;asono tuntum
black box;adaka tuntum
black coffee;kɔfe tuntum
Black Death;Owu Tuntum
black dwarf;black dwarf a ɔyɛ ɔbarima
black eye;aniwa tuntum
black flag;frankaa tuntum
Black Forest gâteau;Kwae Tuntum gâteau
Black Forest;Kwae Tuntum
Black Friday;Fida Tuntum
black gold;sika kɔkɔɔ tuntum
black grouse;grouse tuntum a wɔfrɛ no grouse
black guillemot;guillemot a ɛyɛ tuntum
black hole;tokuru tuntum
black horehound;horehound a ɔyɛ tuntum
black humor;abibifo aseresɛm
black ice;nsukyenee tuntum
Black Legend;Abibifo Atetesɛm
black light;hann tuntum
black liquor;nsa tuntum a wɔde yɛ nsa
black magic;nkonyaayi tuntum
black market;abibifo gua
black metal;dade tuntum
black pepper;ɛmo tuntum
black rat;ɔkraman tuntum
black redstart;tuntum redstart a ɛyɛ kɔkɔɔ
black rhinoceros;ɔkraman tuntum
black rice;aburow tuntum
black salsify;salsify a ɛyɛ tuntum
Black Sea;Po Tuntum
black sheep;nguan tuntum
black swan;swan tuntum
black tea;tii tuntum a wɔde yɛ
black tern;tern tuntum a wɔfrɛ no tern
black vulture;akɔre tuntum a wɔfrɛ no vulture
black widow;okunafo tuntum
black woodpecker;akutu tuntum a wɔfrɛ no woodpecker
black-and-white;tuntum-ne-fitaa
black-arched moth;nwansena a ne ho yɛ tuntum
black-backed jackal;ɔkraman a n’akyi yɛ tuntum
black-footed cat;ɔkraman a ne nan tuntum
black-handed gibbon;gibbon a ne nsa yɛ tuntum
black-headed gull;gull a ne ti yɛ tuntum
black-necked grebe;grebe a ne kɔn yɛ tuntum
black-tailed godwit;godwit a ne dua yɛ tuntum
black-throated diver;obi a ne menewa yɛ tuntum a ɔde ne ho hyɛ nsu mu
black;tuntum
Blackbeard;Abogyesɛ tuntum
blackberry;blackberry a wɔfrɛ no blackberry
blackbird;anomaa tuntum
blackboard;kyerɛwpon so
blackbody;blackbody
blackcap;blackcap a wɔde hyɛ mu
blackcurrant;blackcurrant a wɔde yɛ aduru
blacken;ayɛ tuntum
blackish;tuntum a ɛyɛ tuntum
blackjack;blackjack a wɔde di dwuma
blacklist;blacklist a wɔde kyerɛw nsɛm
blackmail;atirimɔdensɛm
blackmailer;ɔdebɔneyɛfo
blackness;tuntum a ɛyɛ tuntum
blackout;anyinam ahoɔden a ɛyɛ hyew
blackshirt;atade tuntum
blacksmith;ɔdansifo a ɔyɛ ɔdansifo
blackthorn;nsɔe tuntum a wɔfrɛ no blackthorn
blackwater;nsu tuntum
bladder cherry;akisikuru a wɔde yɛ cherry
bladder;akisikuru
blade;bleedi
Blagoevgrad;Blagoevgrad na ɔkyerɛwee
Blagoveshchensk;Blagoveshchensk na ɔkyerɛwee
blah blah blah;bla bla bla bla
blah;blah
Blairism;Blairism a wɔde di dwuma
Blaise;Blaise na ɔkyerɛwee
blame;fa hyɛ
blameworthy;a wɔde asodi to wɔn so
Blanche;Blanche na ɔkyerɛwee
bland;bland a ɛyɛ mmerɛw
blandness;blandness a ɛyɛ mmerɛw
blank;hunu
blanket;dabua
Blasius;Blasius na ɔkyerɛwee
blaspheme;abususɛm a wɔka
blasphemer;abusubɔfo
blasphemous;abususɛm a wɔka
blasphemy;abususɛm a wɔka
blastoderm;blastoderm a ɛyɛ mmerɛw
blastopore;blastopore a ɛwɔ nipadua no mu
blat;blat
blatant;a ɛda adi pefee
blather;blather a ɛyɛ hu
blazar;blazar a ɛyɛ hu
blaze;ogyaframa
blazer;blazer a wɔde yɛ adwuma
blazing;ogya a ɛrehyew
blazon;blazon
bleach;pɔ
bleachers;bleachers a wɔde yɛ nneɛma
bleak;a ɛyɛ sum
bleakness;sum a ɛyɛ sum
bleat;bleat a ɛyɛ hu
bleed out;mogya fi mu
bleed to death;mogya tu kɔ owu mu
bleed;mogya tu
bleeding;mogya a ɛretu
bleep censor;bleep censor a wɔde kyerɛw nsɛm
bleep;bleep a ɛyɛ bleep
bleh;bleh
blemish;nkekae
blend;yam
blender;blender a wɔde yɛ nneɛma
blennorrhea;blennorrhea a ɛyɛ mmerɛw
blepharitis;blepharitis a ɛma obi ho yɛ hyew
blepharoplasty;blepharoplasty a wɔde yɛ aduru
bless you;nhyira wo
bless;hyira
blessing;nhyira
blight;blight a ɛyɛ mmerɛw
blimey;blimey na ɛyɛ
blimp;blimp a ɛyɛ blimp
blind date;anifuraefo date
blind man's buff;anifuraefo buff
blind massage;anifuraefo a wɔde twitwiw nipadua no
blind spot;anifuraefo beae
blind;anifira
blindfold;aniwa a wɔde kata wɔn ho
blinding;anifuraefo
blindly;anifurae so
blindness;anifuraefo
blink;blink w n a w h
blinker;blinker a wɔde hwɛ ade
blip;blip
bliss;hyerɛn
blister pack;blister pack a wɔde ahyɛ mu
blister;akisikuru
blistering;akisikuru a ɛyɛ hu
blithe;blithe a ɛyɛ anigye
blitz;blitz a ɛyɛ hu
Blitzen;Blitzen na ɔkyerɛwee
blitzkrieg;blitzkrieg a ɛyɛ hu
blizzard;ahum a ano yɛ den
bloat;bloat a ɛyɛ den
bloated;a ɛho ayɛ fĩ
blob;blob
bloc;bloc
block;si kwan
blockade;blockade a wɔde siw kwan
blockage;a wɔde siw kwan
blockbuster;blockbuster a ɛyɛ nwonwa
blockchain;blockchain a wɔde di dwuma
blocked;wɔasiw ano
blockhead;blockhead
blockhouse;blockhouse a wɔde nneɛma gu mu
Bloemfontein;Bloemfontein na ɔkyerɛwee
blog;blog so
blogger;blogger a ɔkyerɛw nsɛm
blogosphere;blogosphere a ɛwɔ hɔ
bloke;bloke
blond;blond a ɛyɛ bruu
blood bank;mogya a wɔde sie
blood cell;mogya mu nkwammoaa
blood clot;mogya a ɛtwetwe
blood flow;mogya a ɛsen
blood libel;mogya mu abususɛm
blood moon;mogya ɔsram
blood orange;mogya a ɛyɛ borɔdɔma
blood pressure;mogya mmoroso
blood sausage;mogya mu soseji
blood test;mogya mu nhwehwɛmu
blood transfusion;mogya a wɔde ma
blood type;mogya mu su
blood vessel;mogya ntini
blood;mogya
bloodbath;mogyahwiegu
bloodhound;mogya mu ɔkraman
bloodily;mogyahwiegu mu
bloodless;mogya nnim
bloodlust;mogya ho akɔnnɔ
bloodroot;mogya ntini
bloodshed;mogyahwiegu
bloodshot;mogya a wɔtow gu
bloodstone;mogya mu ɔbo
bloodstream;mogya mu ntini
bloodthirsty;mogya ho sukɔm de wɔn
bloody hell;mogya hell
bloody mary;mogyahwiegu mary
bloody;mogyahwiegu
bloomers;nhwiren a ɛyɛ nhwiren
blooming;nhwiren a ɛrefifi
blossom;nhwiren a ɛyɛ fɛ
blot;blot
blotch;blotch a wɔde hyɛ mu
blouse;blouse a wɔde hyɛ
blow off;blow off
blow one's nose;obi bɔ ne hwene
blow out;bɔ afiri mu
blow the whistle;bɔ abɛn no
blow;hu gu
blower;blower a ɛbɔ
blowfish;blowfish a wɔfrɛ no blowfish
blowfly;blowfly a ɛbɔ
blowgun;afiri a wɔde bɔ tuo
blowjob;blowjob a wɔde bɔ obi
blowtorch;afiri a wɔde bɔ mframa
Blu-Tack;Blu-Tack na ɛyɛ adwuma
blubbo;blubbo
bludgeon;bludgeon a wɔde di dwuma
blue blood;mogya bruu
blue cheese;blue cheese a ɛyɛ bruu
blue corn;atoko a ɛyɛ bruu
blue giant;bruu ɔbran
blue jay;blue jay a ɔyɛ ɔbarima
blue jeans;jeans a ɛyɛ bruu
blue mussel;blue mussel a ɛyɛ bruu
blue screen of death;blue screen a ɛkyerɛ owu
blue shark;akraman a ɛyɛ bruu
blue straggler;blue straggler a ɔde ne ho ahyɛ mu
blue supergiant;bruu supergiant a ɛyɛ kɛse
blue tit;tit a ɛyɛ bruu
blue whale;blue whale a wɔfrɛ no blue whale a wɔfrɛ no blue whale
blue-pencil;blue-pencil a ɛyɛ bruu
blue;bunu
bluebell;bluebell a wɔfrɛ no bluebell
blueberry;blueberry a wɔfrɛ no blueberry
bluebird;bluebird a wɔfrɛ no bluebird
bluefish;bluefish a ɛyɛ bruu
blueprint;blueprint a wɔayɛ no yiye
bluethroat;bluethroat a ɛyɛ bruu
bluetongue;bluetongue a wɔde kasa
Bluetooth;Bluetooth
bluff;bluff a ɛyɛ bluff
bluish;bruu a ɛyɛ bruu
blunder;mfomso a wɔyɛ
blunderbuss;blunderbuss a ɛyɛ nokware
blunt instrument;adwinnade a wɔde di dwuma ɔkwammɔne so
blunt;ano akum
blurred;a ɛyɛ kusuu
blurry;blurry
blush;blush a ɛyɛ fɛ
boa constrictor;boa a wɔde hyɛ nipadua mu
boa;boa
Boaco;Boaco na ɔkyerɛwee
boar;boar
board and lodging;board ne dabere
board game;board game a wɔde di agoru
board of directors;akwankyerɛfo bagua no
board;agyinatukuo
boarder;boarder
boarding house;ahɔhodan a wɔtra mu
boarding pass;boarding pass a wɔde hyɛ mu
boarding school;sukuu a wɔde mmofra kɔtra mu
boarding;boarding a wɔde hyɛn mu
boast;hoahoa wɔn ho
boastful;ahoahoa wɔn ho
boastfulness;ahohoahoa a wɔde yɛ ade
boat people;hyɛmma mu nnipa
boat person;hyɛmma mu nipa
boat shoe;hyɛmma mpaboa
boat;subonto
boater;hyɛmma mu dwumayɛni
boatman;hyɛmma mu dwumayɛni
boatswain;hyɛmma mu adwumayɛfo
bob haircut;bob ti nhwi a wɔatwitwa
Bob;Bob
bobbin;bobbin a wɔde di dwuma
bobcat;bobcat a wɔfrɛ no bobcat
bobtailed;bobtailed a wɔde ahyɛ mu
bocce;bocce
bode;bode
bodhi tree;bodhi dua
bodhi;bodhi
bodhisattva;bodhisattva a wɔde di dwuma
bodice;bodice a wɔde yɛ nneɛma
bodily fluid;nipadua mu nsu
bodily;nipadua mu
body art;nipadua ho adwinni
body corporate;nipadua adwumakuw
body hair;nipadua mu nhwi
body image;nipadua mfonini
body language;nipadua mu kasa
body odour;nipadua hua
body of water;nsuo a ɛwɔ nipadua mu
body part;nipadua no fã bi
body piercing;nipadua mu a wɔtow
body shop;nipadua ho aguadidan
body-hugging;nipadua-atuu a wɔyɛ
body;nipadua
bodyboarding;bodyboarding a wɔde di dwuma
bodybuilder;nipadua a wɔde yɛ adwuma
bodybuilding;nipadua a wɔde yɛ adwuma
bodyguard;ɔwɛmfo a ɔhwɛ nipadua no so
bodyswap;nipadua mu nsakrae
bodywork;nipadua mu adwumayɛ
Boeotia;Boeotia na ɛwɔ hɔ
Boeotian;Boeotian kasa mu
Boer;Boerfo
boffin;boffin a wɔfrɛ no boffin
bog;bog
bogart;bogart a wɔfrɛ no bogart
bogatyr;bogatyr a ɔyɛ ɔkyerɛwfo
bogey;bogey a ɛyɛ fɛ
bogeyman;bogeyman a ɔyɛ ɔbarima
Bogota;Bogota na ɛwɔ hɔ
Bogotan;Bogotanfo na wɔte saa
bogue;atoro
bogus;atoro
Bohemia;Bohemia na ɛwɔ hɔ
bohemian;bohemia kasa mu
bohrium;bohrium a wɔfrɛ no bohrium
boil;noa
boiled egg;ɛmo a wɔanoa
boiler room;boiler dan mu
boiler;boiler a wɔde yɛ nsu
boiling point;beae a ɛbobɔ
boiling;a wɔnoa
boisterous;dede a ɛyɛ dede
bok choy;bok choy
bokeh;bokeh
Bokmål;Bokmål na ɔkyerɛwee
bold;akokoɔduro
boldly;akokoduru so
bolide;bolide
Bolivarian;Bolivarian kasa
Bolivarianism;Bolivariansom a wɔde di dwuma
Bolivia;Bolivia
Bolivian;Bolivia kasa
boll weevil;boll weevil a ɛyɛ nwansena
boll;boll
bollard;bollard a wɔfrɛ no bollard
bollock;bollock
bollocks;bollocks a wɔde kyerɛw nsɛm
Bollywood;Bollywood a wɔyɛ no
bolo tie;bolo tie
Bologna;Bologna na ɛwɔ hɔ
bolognese;bolognese kasa mu
bolon;bolon
Bolshevik;Bolshevikfo na wɔyɛ
Bolshevism;Bolshevism nniso
bolt cutter;bolt a wɔde twa ade
bolt from the blue;bolt fi bruu no mu
bolt;bolt a wɔde yɛ adwuma
bolus;bolus
Bolzano;Bolzano na ɔkyerɛwee
bomb;ɔtopae a wɔde tow
bombard;ɔtopae a wɔtow
bombardier beetle;bombardier nwansena
bombardment;atopae a wɔtow gu
bombastic;bombastic a ɛyɛ hu
bomber;ɔtopae towfo
bombing;ɔtopae a wɔtow gu
bombproof;ɔtopae a wontumi ntow
bombshell;ɔtopae a wɔde tow
bon appétit;bon appétit a wɔde di dwuma
bon vivant;bon vivant
bon voyage;bon akwantuo
bona fide;bona fide a ɛyɛ nokware
Bonapartism;Bonapartism a wɔde di dwuma
Bonapartist;Bonapartist a ɔyɛ ɔkannifo
Bonaventure;Bonaventure na ɔkyerɛwee
bond;yɛ baako
bondsman;nkoasomfoɔ
bone density;nnompe a ɛyɛ den
bone marrow;nnompe mu ntini
bone;dompe
boneless;nnompe a enni mu
boner;boner
bonfire;ogya a wɔde hyew nneɛma
bong;bong
bongo;bongo
bonhomie;bonhomie na ɛyɛ adwuma
Bonifatius;Bonifatius na ɔkyerɛwee
bonito;bonito
bonkers;bonkers a wɔfrɛ no bonkers
Bonn;Bonn na ɔkyerɛwee
bonnet;bonnet a ɛyɛ den
bonobo;bonobo
bonsai;bonsai a wɔde yɛ adwuma
bonus;bonus a wɔde ma
bony;nnompe a ɛyɛ den
bonze;bonze
boo-boo;boo-boo
boo;boo
boob job;boob adwuma
boob tube;boob tube a wɔde hyɛ nipadua mu
boob;boob
booby prize;booby nkonimbo
booby;booby
booger;booger a wɔfrɛ no booger
book fair;nhoma ho ɔyɛkyerɛ
book lung;nhoma mu ahurututu
Book of Mormon;Mormon Nwoma
book value;nhoma mu bo a ɛsom
book;nwomasua
bookbag;nhoma kotoku
bookbinding;nhoma a wɔkyekyere
bookcase;nhomakorabea
bookend;nhoma awiei
booking;booking a wɔde bɛto hɔ
bookish;nhoma a ɛyɛ nhoma
bookkeeping;nhoma sohwɛ
booklet;nhomawa no
bookmaker;nhoma kyerɛwfo
bookmark;bookmark a wɔde hyɛ krataa so
bookplate;nhoma mprɛte so
Books of Moses;Mose Nhoma ahorow
bookseller;nhomatɔnfo
bookshelf;nhomakorabea
bookshop;nhomatɔnbea
bookstand;nhomakorabea
bookworm;nhoma mu nwansena
Boolean;Boolean kasa
boom;boom
boomerang;boomerang a wɔfrɛ no boomerang
boon;boon
boondock;boondock a wɔde di dwuma
boondoggle;boondoggle a wɔde kyerɛw nsɛm
boor;boor
boorish;boorish
boost;kanyan
boot up;boot up na ɛyɛ adwuma
boot;mpaboa
bootful;bootful a wɔde ahyɛ mu
booth;booth no mu
bootjack;bootjack a wɔde di dwuma
bootlegger;bootlegger a wɔde di dwuma
bootlicker;bootlicker a wɔde di dwuma
bootstrap;bootstrap a wɔde hyɛ mu
booty;asade a wɔde di dwuma
booze;booze a wɔnom nsa
boracite;boracite a wɔde yɛ aduru
borage;borage a ɛyɛ fɛ
borax;borax a wɔfrɛ no borax
Bordeaux;Bordeaux na ɛwɔ hɔ
border guard;ɔhye so awɛmfo
border;hyeɛ so
bordering;bordering
borderland;ɔhye so asase
bordure;hye so
bore;hunu
boreal;boreal ho asɛm
Boreas;Boreas a ɛwɔ hɔ
bored;ani nka
boredom;mfonoe
Borgesian;Borgesian a ɔyɛ ɔkyerɛwfo
Borgia;Borgia na ɔkyerɛwee
boric oxide;boric oxide a wɔde yɛ adwuma
boride;boride a wɔde yɛ adwuma
boring;tebɔɔ
born-again;wɔwoo no foforo
born;awoɔ
borne;borne
bornite;bornite a wɔde yɛ aduan
boron;boron a wɔfrɛ no boron
borough;borough
borrow;bɔ besea
borrowed scenery;fɛm mmeae a ɛyɛ fɛ
borrower;ɔdefɛmfoɔ
borscht;borscht, na ɛyɛ adwuma
borzoi;borzoi a wɔfrɛ no borzoi
bosky;bosky
Bosnia;Bosnia na ɛwɔ hɔ
Bosnian;Bosnia kasa
bosom friend;bosom adamfo
bosom;kokom
boson;boson
Bosphorus;Bosphorus a ɛwɔ hɔ
boss;owura
bossy;ɔpanyin
Boston;Boston
bot;bot
bota bag;bota kotokuo
botanical garden;afifide turo a wɔde yɛ nneɛma
botanical;afifide ho nimdeɛ
botanist;afifide ho nimdefo
botanize;botanize a wɔde yɛ nneɛma
botany;afifide ho adesua
botch;botch
botched;botched no
botfly;botfly a wɔfrɛ no
both;baanu
bother;ha ho
bothersome;a ɛhaw adwene
Botswana;Botswana na ɛwɔ hɔ
Botswanan;Botswanafo
bottle cap;toa a wɔde ahyɛ mu
bottle opener;toa a wɔde bue mu
bottle shop;toa aguadidan
bottle up;toa mu kɔ soro
bottle;toa
bottled water;nsu a wɔde ahyɛ toa mu
bottleneck;bottleneck a ɛyɛ den
bottlenose dolphin;bottlenose dolphin a ɔyɛ ɔkraman
bottom line;asɛm a ɛwɔ ase hɔ no
bottom quark;quark a ɛwɔ ase
bottom sheet;krataa a ɛwɔ ase hɔ
bottom the house;ofie no ase
bottom;aseɛ
bottomless;a enni ase
bottomry;bottomry a ɛwɔ ase
bottoms up;ase kɔ soro
botulism;botulism a wɔde di dwuma
bougainvillea;bougainvillea a wɔde yɛ aduan
bough;nkorabata
bouillon;bouillon a wɔde yɛ nneɛma
boulder;ɔbotan a ɛyɛ den
bouldering;abotan a wɔde yɛ nneɛma
boule;boule
boules;boules a wɔfrɛ no boules
boulevard;boulevard a ɛwɔ hɔ
bounce off the walls;bounce fi afasu no so
bounce;huri
bouncer;bouncer a ɔyɛ ɔbarima
bouncing castle;abankɛse a ɛrehuruhuruw
bound;ahuriahuri nanteɛ
boundary;ɔhye so
boundless;a anohyeto nni mu
bounty hunter;bounty hunter a ɔbɔ mmɔden
bounty;bounty a wɔde ma
bouquet;nhwiren a wɔde ayɛ nhwiren
bourbon;bourbon a wɔde yɛ aduan
