s.e., s.e;e.g.
show-off a wɔde kyerɛ;show-off
showbusiness a wɔyɛ;showbusiness
showcase a wɔde kyerɛ;showcase
showdown a wɔde wɔn ho hyɛ mu;showdown
showoff a wɔde kyerɛ;showoff
shrapnel a wɔde yɛ nneɛma;shrapnel
shred a wɔde twitwiw nneɛma mu;shred
shredder a wɔde twitwiw nneɛma mu;shredder
shrew a wɔtaa de di dwuma;common shrew
shrew a ɛyɛ hu;shrew
shrike a ɛyɛ hu;shrike
shrimp afifide;shrimp plant
shrove tuesday na ɔyɛɛ saa;Shrove Tuesday
shrub a ɛyɛ dua;shrub
shrub celery a wɔde yɛ nnuadewa;shrub celery
shuffle a wɔde hyɛ mu;shuffle
shun;shun
shutter a wɔde hyɛ mu;shutter
shutter ahoɔhare;shutter speed
shutterbug a ɛyɛ hu;shutterbug
shuttle a wɔde fa nnipa;shuttle
shuttlecock a wɔde fa nnipa;shuttlecock
si;build
si;happen
si;si
si akan;compete
si akan;contest
si apini;groan
si fam;get off
si gyinae;deicide
si gyinaeɛ;decide
si gyinaeɛ;occur
si kwan;block
si kwan;deny
si kwan;kerb
si kwan;prevent
si kwan;refuse
si kwan;restrict
si nkete;determine
si no pi;verify
si pi;confirm
si so dua;accentuate
si so dua;affirm
si so dua;assert
si so dua;confirmation
si so dua;emphasize
si so dua;underscore
sialic acid a wɔde yɛ aduru;sialic acid
siam na ɔkyerɛwee;Siam
siamese kasa;Siamese
siamese ɔkraman;Siamese cat
siamesefo a wɔyɛ mmanoma;Siamese twin
sian kɔ fam;descend
siberia husky a wɔfrɛ no husky;Siberian Husky
siberia na ɛwɔ hɔ;Siberia
siberia ɔkraman;Siberian tiger
siberiafo;Siberian
sibilant a ɛyɛ sibilant;sibilant
sic;sic
sichuan yi na ɔkyerɛwee;Sichuan Yi
sichuanfo na wɔte saa;Sichuan
sicily asubɔnten no mu;Strait of Sicily
sicily na ɛwɔ hɔ;Sicily
sicilyfo ahobammɔ;Sicilian Defence
sicilyfo kasa;Sicilian
sickle a wɔde di dwuma;sickle
side dish a wɔde di dwuma;side dish
sidebar a ɛwɔ nkyɛnkyɛn;sidebar
sideboard a ɛwɔ nkyɛnkyɛn;sideboard
sidelock a ɛwɔ nkyɛnkyɛn;sidelock
sidereal a ɛyɛ fɛ;sidereal
sidon;Sidon
sie;bury
sie agyan no;bury the hatchet
sie wo ho;withhold
siee;buried
siegfried na ɔkyerɛwee;Siegfried
siemens na ɛyɛ;siemens
sierra leone na ɛwɔ hɔ;Sierra Leone
sierra leonefo a wɔyɛ saa;Sierra Leonean
sierra nevada na ɛwɔ hɔ;Sierra Nevada
siesie;correct
siesie;fix
siesie;mend
siesie;rectify
siesie;repair
siesie;resolve
siesie fie;decorate
siesie no foforo;refurbish
siesie obi akwan;mend one's ways
siesie wo ho;clean up
siesie wo ho;dress up
siesie wo ho;embellish
siesie wo ho;tidy up
siesie wo ho ma;settle for
siesie wɔn ho;conciliate
siesie wɔn ho;reconcile
siesie wɔn ho;rehabilitate
siesta na ɛyɛ;siesta
sieve a wɔde yiyi mu;sieve
sievert;sievert
sifon a wɔde di dwuma;siphon
sift a wɔde hyɛ mu;sift
sift fi mu;sift out
sifter a wɔde hyɛ mu;sifter
sigaret a wɔde di dwuma;cigarette
sigaret a wɔde hyɛ mu;cigarillo
sigaret a wɔde yɛ sigaret;cigar
sigaret kotoku;cigarette case
sigaretnom;smoking
sigaretnom a wɔko tia;antismoking
sigaretnom a wɔnyɛ hwee;passive smoking
sigaretnom biara nni hɔ;no smoking
sigaretnomfo;smoker
sight nkyerɛase;sight translation
sighthound a wotumi hu ade;sighthound
sightsee a wobɛkɔ akɔhwɛ;sightsee
sigil;sigil
sigma;sigma
sigyadi a wonni;celibacy
sigyadi a wonni;celibate
sii gyinaeɛ;decided
siilin;ceiling
sika;amount
sika;cash
sika;currency
sika;money
sika;revenue
sika a wobetumi atɔ;affordance
sika a wontua;nonpayment
sika a wontumi ntua;insolvency
sika a wonya;monetize
sika a wonya a wotua ho tow;taxable income
sika a wonya fi mu;lucre
sika a wonya fi mu;proceeds
sika a wonya ho amanneɛbɔ;income statement
sika a wonya ho stamp;revenue stamp
sika a wotua ansa na wɔayɛ saa;down payment
sika a wɔadi kan atua;advance payment
sika a wɔboaboa ano;fundraiser
sika a wɔbɔ no, mesrɛ wo;the bill, please
sika a wɔde ayɛ adwuma;cashed-up
sika a wɔde boa;stipend
sika a wɔde boa pɛnkoro;lump sum
sika a wɔde bɛto mu;investment
sika a wɔde di dwuma;appropriation
sika a wɔde di dwuma;liquidity
sika a wɔde di dwuma;numismatic
sika a wɔde di dwuma;pecuniary
sika a wɔde di dwuma boro so;overdraft
sika a wɔde di dwuma ɔkwammɔne so;embezzle
sika a wɔde di dwuma ɔkwammɔne so;embezzlement
sika a wɔde di dwuma ɔkwammɔne so;money laundering
sika a wɔde ka ho;surcharge
sika a wɔde kyerɛw nneɛma;cash register
sika a wɔde ma;disbursement
sika a wɔde ma;funding
sika a wɔde ma;money order
sika a wɔde ma wɔ adesua mu;scholarship
sika a wɔde mena;postage
sika a wɔde mena;remittance
sika a wɔde sesa nneɛma;bill of exchange
sika a wɔde sesa nneɛma;exchange rate
sika a wɔde sie;thrift
sika a wɔde sie;thrifty
sika a wɔde totɔ nneɛma;checkout
sika a wɔde tua ho ka;amortization
sika a wɔde tua ho ka;reimburse
sika a wɔde tua ho ka;reimbursement
sika a wɔde tua ho ka;solvency
sika a wɔde yɛ adwuma;monetary
sika a wɔde yɛ adwuma;monetization
sika a wɔde yɛ adwuma;venture capital
sika a wɔsɛe no;expenditure
sika a wɔsɛe no kɛse;spendthrift
sika a ɔde fɛm sika;moneylender
sika a ɛho hia;deficit
sika a ɛkɔ fam;deflation
sika adaka mu;cashbox
sika bag ahorow;moneybags
sika ho adesua;numismatics
sika ho gua;money market
sika ho nsɛm;money talks
sika ho ɔbenfo;numismatist
sika kɔkɔɔ;coin
sika kɔkɔɔ;gold
sika kɔkɔɔ;golden
sika kɔkɔɔ;goldeneye
sika kɔkɔɔ a wɔde abɔ so;goldcrest
sika kɔkɔɔ a wɔde di dwuma;gold rush
sika kɔkɔɔ a wɔde guare;golden shower
sika kɔkɔɔ a wɔde yɛ adwuma;goldsmithery
sika kɔkɔɔ a wɔde yɛ nneɛma;goldilocks
sika kɔkɔɔ a wɔde yɛ parachute;golden parachute
sika kɔkɔɔ a wɔfrɛ no goldfinch;goldfinch
sika kɔkɔɔ abaa;goldenrod
sika kɔkɔɔ abasobɔde;gold medal
sika kɔkɔɔ adwumfo;goldsmith
sika kɔkɔɔ ahaban;gold leaf
sika kɔkɔɔ bere;golden age
sika kɔkɔɔ dedaw;old gold
sika kɔkɔɔ fitaa;white gold
sika kɔkɔɔ gyinapɛn;gold standard
sika kɔkɔɔ mfe;golden years
sika kɔkɔɔ mmara;golden rule
sika kɔkɔɔ mole;golden mole
sika kɔkɔɔ mpataa;goldfish
sika kɔkɔɔ ratio;golden ratio
sika kɔkɔɔ staph;golden staph
sika kɔkɔɔ tuntum;black gold
sika kɔkɔɔ tutufo;gold digger
sika kɔkɔɔ ɔkraman;golden jackal
sika kɔkɔɔ ɔkɔre;golden eagle
sika mu asiane;currency risk
sika nantwi;cash cow
sika nketenkete;petty cash
sika pii a wɔde di dwuma;multicurrency
sikabɔtɔ;purse
sikabɔtɔ;wallet
sikakorabea;bank
sikakorabea;cash desk
sikakorabea;coffer
sikakorabea;fund
sikakorabea;saving
sikakorabea;treasury
sikakorabea a wɔabue ano;open-end fund
sikakorabea a wɔde di dwuma;frugality
sikakorabea a wɔde sie;savings bank
sikakorabea a wɔde sika gu mu;investment bank
sikakorabea a wɔde sika hyɛ mu;investment fund
sikakorabea a ɛwɔ china;Bank of China
sikakorabea a ɛwɔ england;Bank of England
sikakorabea ahorow a wɔtɔn nneɛma wom;stock exchange
sikakorabea akontaabu;bank account
sikakorabea akwamma;bank holiday
sikakorabea dwowtwafo;bank robber
sikakorabea dwumayɛni;banker
sikakorabea krataa;bank statement
sikakorabea krataa;banknote
sikakorabea kɛse;central bank
sikakorafo;cashier
sikakorafo;investor
sikakɔkɔɔ ahinanan;Golden Triangle
sikakɔkɔɔ nnawɔtwe;Golden Week
sikakɔkɔɔ pono adaka;Golden Gate Bridge
sikani;wealthy
sikanya;fortune
sikanya;income
sikanya;rich
sikasesafo;money changer
sikasɛm;economic
sikasɛm;economy
sikasɛm;finance
sikasɛm;financial
sikasɛm a ɛkɔ fam;recession
sikasɛm a ɛkɔ soro;economies of scale
sikasɛm ho adesua;economics
sikasɛm ho akontaabu krataa;balance sheet
sikasɛm ho amanneɛbɔ;financial statement
sikasɛm ho nhwehwɛmu;econometrics
sikasɛm ho nhyehyɛe;financial management
sikasɛm ho nhyehyɛe;fiscal policy
sikasɛm ho nimdeɛ;economism
sikasɛm ho ɔbenfo;econometrician
sikasɛm ho ɔbenfo;economist
sikasɛm ho ɔbenfo;monetarist
sikasɛm kɛse;macroeconomy
sikasɛm kɛse ho adesua;macroeconomics
sikasɛm mu;economically
sikasɛm mu;financially
sikasɛm mu;fiscal
sikasɛm mu ahokyere;bankruptcy
sikasɛm mu ahokyere;frugal
sikasɛm mu atubrafo;economic migrant
sikasɛm mu gua;financial market
sikasɛm mu nkɔso;economic growth
sikasɛm mu nneɛma akɛse;macroeconomic
sikasɛm mu nneɛma nketenkete;microeconomic
sikasɛm mu nneɛma nketenkete ho adesua;microeconomics
sikasɛm nhyehyɛe;budgetary
sikasɛm nhyehyɛe a ɛba fam;low-budget
sikatua;fee
sikatua;payment
sikhfo;Sikh
sikhsom;Sikhism
sikkim na ɛwɔ hɔ;Sikkim
silas;Silas
silesia na ɛyɛ;Silesia
silhouette a wɔde yɛ mfonini;silhouette
silica a wɔde yɛ adwuma;silica
silicate a wɔde yɛ nneɛma;silicate
silicon a wɔde yɛ nneɛma;silicon
silicon bon mu;Silicon Valley
silicon dioxide a wɔde yɛ adwuma;silicon dioxide
silicone a wɔde yɛ adwuma;silicone
silika a ɛyɛ nwansena;silkworm
silique a wɔde yɛ nneɛma;silique
silk kwan so;Silk Road
silky a wɔde yɛ adwuma;silken
silky a ɛyɛ silky;silky
sill;sill
sillimanite a wɔde di dwuma;sillimanite
silo;silo
silt;silt
silvia na ɔkyerɛwee;Silvia
silvius na ɔkyerɛwee;Silvius
sim kaad a wɔde di dwuma;SIM card
sima;minute
sima;minutes
simeon;Simeon
simferopol na ɔkyerɛwee;Simferopol
simian;simian
simma biara;minutely
simma nsa;minute hand
simmer a ɛyɛ hyew;simmer
simon;Simon
simon ka sɛ;Simon says
simonides na ɔkyerɛwee;Simonides
simony a ɔyɛ;simony
simper a ɛyɛ mmerɛw;simper
simpleton a ɛyɛ mmerɛw;simpleton
simplex a wɔfrɛ no simplex;simplex
simulacrum a wɔde yɛ nneɛma;simulacrum
simulate;simulate
simulation a wɔde yɛ nneɛma;simulation
sinabar a wɔde yɛ nneɛma;cinnabar
sinai;Sinai
sinaloa na ɛwɔ hɔ;Sinaloa
sinamic acid a wɔde yɛ aduru;cinnamic acid
sinamon a wɔabɔ no akuturuku;cinnamon roll
sinamɔn;cinnamon
sinapi;mustard
sinapi gas a wɔfrɛ no mustard gas;mustard gas
sinapi plaster a wɔde ayɛ;mustard plaster
sindonology ho nimdeɛ;sindonology
sine;sine
sine a wɔakata so;coversed sine
sine asorɔkye;sine wave
sine qua non;sine qua non
sinecure a wɔde yɛ adwuma;sinecure
sinemurian na ɔkyerɛwee;Sinemurian
singapore;Singapore
singapore dɔla;Singapore dollar
singaporeni;Singaporean
singe;singe
singlet;singlet
sinhalese kasa mu;Sinhalese
sini;film
sini;movie
sini a wɔde hwɛ nneɛma so;cinemascope
sini a wɔde yɛ sini;cinema
sini a wɔde yɛ sini;cinematographic
sini a wɔde yɛ sini;cinematography
sini a wɔde yɛ sini vérité;cinéma vérité
sini a wɔnyɛ komm;silent film
sini a wɔreyɛ;filming
sini kwankyerɛfo;film director
sini mu de;cinematic
sini mu ɔsoroni;movie star
sinicization a wɔde yɛ nneɛma;sinicization
sinicize a wɔde yɛ adwuma;sinicize
sinister, a ɛyɛ hu;sinister
sinitic na ɛyɛ;Sinitic
sink tokuru;sink hole
sinkhole a ɛkɔ fam;sinkhole
sino- .;Sino-
sino-xenic a ɛyɛ nea ɛwɔ hɔ;Sino-Xenic
sinocentrism a wɔde di dwuma;Sinocentrism
sinofobia ho tan;Sinophobia
sinologist ho ɔbenfo;sinologist
sinophone kasa;Sinophone
sinosphere a ɛwɔ hɔ;Sinosphere
sinter a wɔde yɛ adwuma;sinter
sintering a wɔde yɛ adwuma;sintering
sintɔ;defect
sintɔ;defective
sintɔ;flaw
sintɔ;imperfection
sintɔ;shortfall
sintɔ a ɛba;deficiency
sintɔ ahorow;shortcoming
sintɔ nni ho;flawless
sinuate a wɔde hyɛ nipadua mu;sinuate
sinuosity a ɛyɛ den;sinuosity
sinuous a ɛyɛ mmerɛw;sinuous
sinus;sinus
sinusitis a ɛyɛ yare;sinusitis
sinusoidal a ɛwɔ nipadua no mu;sinusoidal
sion;Zion
sionfo a wɔyɛ adwuma wɔ hɔ;Zionist
sionsom;Zionism
sip;sip
sipora;Zipporah
sippy kuruwa;sippy cup
sire;sire
siren a wɔde siren;siren
siren dwom;siren song
siria kasa;Syrian
siriometer a wɔde susuw nneɛma ho;siriometer
sirius na ɔkyerɛwee;Sirius
sirloin a wɔde yɛ adwuma;sirloin
sirocco na ɛyɛ;sirocco
sisi so;consistent
sisie;waist
sisifoɔ;cheat
sisire;bear
sisire;beast
sissy;sissy
sistrum a ɛyɛ sistrum;sistrum
sisyphus a ɔyɛ ɔyarefo;Sisyphus
sit-in a wɔtena mu;sit-in
sitar;sitar
siu mei;siu mei
siw a wɔde siw ano;prevention
siw ano;suppress
siw kwan;hinder
siw kwan;impede
siw kwan;obstruct
siw kwan;preclude
sixto-clementine na ɔkyerɛwee;Sixto-Clementine
sizzle;sizzle
skald a ɛyɛ skald;skald
skandha a wɔde di dwuma;skandha
skate a wɔde di dwuma;skate
skate a wɔde tu mmirika;skating
skateboard a wɔde di dwuma;skateboard
skateboarding a wɔde di dwuma;skateboarding
skater a ɔbɔ skate;skater
skedaddle a wɔde di dwuma;skedaddle
skein a ɛyɛ den;skein
skene ntini a ɛwɔ nipadua no mu;Skene's gland
sketch a wɔde yɛ mfonini;sketch
sketch nhoma a wɔde yɛ mfonini;sketchbook
skew a ɛyɛ skew;skew
skewer a wɔde yɛ nneɛma;skewer
skewness a ɛyɛ skewness;skewness
ski;ski
ski a wɔde tu mmirika wɔ asase so;cross-country skiing
ski akataso;ski mask
skid;skid
skid agyiraehyɛde;skid mark
skidmark a wɔde hyɛ mu;skidmark
skier;skier
skiff a wɔde di dwuma;skiff
skillet a wɔde yɛ kyɛnsee;skillet
skim;skim
skimp;skimp
skin nsɛmma nhoma;skin magazine
skinflint a wɔde yɛ honam ani hwɛbea;skinflint
skink;skink
skipjack a ɛyɛ hu;skipjack
skirmish a wɔde di dwuma;skirmish
skirmisher a ɔyɛ ɔko;skirmisher
skirting board a wɔde kyerɛw nsɛm;skirting board
skitefo;Scythian
skitter a wɔde di dwuma;skitter
skopje na ɔkyerɛwee;Skopje
skopos nsusuwii;Skopos theory
skriin;screen
skrudraiver a wɔde yɛ adwuma;screwdriver
skua;skua
skua kɛse;great skua
skulk;skulk
skunk a wɔfrɛ no skunk;skunk
skunk a ɛwɔ nsensanee;spotted skunk
skuter a wɔde di dwuma;scooter
slab;slab
slack a ɛyɛ mmerɛw;slack
slacken;slacken
slacker a ɔyɛ ɔkwasea;slacker
slag;slag
slag a wɔaboaboa ano;slag heap
slake;slake
slalom a wɔde di dwuma;slalom
slam;slam
slant a ɛyɛ mmerɛw;slant
slapper;slapper
slash a wɔde hyɛ mu;slash
slash na hyew;slash and burn
slate a wɔde yɛ adwuma;slate
slater a wɔde yɛ adwuma;slater
slattern a wɔde hyɛ obi nsa;slattern
slav kasa;Slav
slav kasa;Slavic
slav kasa a wɔtaa de di dwuma;Common Slavic
slavfo a ɔyɛ slavfo;Slavicist
slavonia a ɛwɔ hɔ;Slavonia
slavonic kasa dedaw;Old Slavonic
slavsom;Slavism
slaw;slaw
sleazebag a wɔde hyɛ obi nsa;sleazebag
sleazy a ɔyɛ ɔkwasea;sleazy
sledge a wɔde di dwuma;sledge
sledgehammer a wɔde di dwuma;sledgehammer
sleet a ɛyɛ hu;sleet
sleiveen a wɔde nsa ayɛ;sleiveen
sleuth a ɔyɛ ɔsraani;sleuth
slew;slew
slick a ɛyɛ fɛ;slick
slide mmara;slide rule
slideshow a wɔde kyerɛ;slideshow
slime a ɛyɛ pink;pink slime
slime a ɛyɛ slime;slime
slimy a ɛyɛ slimy;slimy
slinger a ɔyɛ ɔbarima;slinger
slingshot a wɔde di dwuma;slingshot
slipstream a ɛyɛ mmerɛw;slipstream
slit a wɔabɔ no mua;slit
slither a wɔde hyɛ mu;slither
sliver a ɛyɛ mmerɛw;sliver
slob;slob
slobber a ɔyɛ ɔbarima;slobber
sloe;sloe
sloop;sloop
slop a ɛyɛ mmerɛw;slop
sloppy;sloppy
sloth bear a ɔyɛ ɔkwasea;sloth bear
slough a wɔde yɛ adwuma;slough
slovak kasa;Slovak
slovakia na ɛwɔ hɔ;Slovakia
slovenia kasa mu;Slovene
slovenia na ɛwɔ hɔ;Slovenia
slovenly;slovenly
slovincian kasa;Slovincian
slovyansk na ɔkyerɛwee;Slovyansk
slow cooker a wɔde noa aduan;slow cooker
slowworm a ɛyɛ brɛoo;slowworm
slug a ɛyɛ slug;slug
sluice a wɔde yɛ adwuma;sluice
sluice pon ano;sluice gate
slum a ɛyɛ nkuraase;slum
slurp a ɛyɛ mmerɛw;slurp
slurry a wɔde yɛ aduru;slurry
slush a ɛyɛ slush;slush
slut a ɔyɛ ɔbarima;slut
slutty a ɔyɛ ɔkwasea;slutty
smarmy a ɛyɛ smarmy;smarmy
smart card a wɔde di dwuma;smart card
smartass a ɔyɛ ɔbarima;smartass
smartphone;smartphone
smartphone a wɔde modular ayɛ;modular smartphone
smash a ɛyɛ den;smash
smatter a ɛyɛ ketewaa bi;smatter
smattering a ɛyɛ mmerɛw;smattering
sme;SME
smear ɔsatu no;smear campaign
smectic a wɔde yɛ aduru;smectic
smegma a ɛyɛ hu;smegma
smetana a wɔde hyɛ nipadua mu;smetana
smirch a ɛyɛ fɛ;smirch
smirna;Smyrna
smithsonian na ɔkyerɛwee;Smithsonian
smolensk na ɔkyerɛwee;Smolensk
smooch a ɛyɛ smooch;smooch
smorgasbord a wɔde di dwuma;smorgasbord
smother a wɔde hyɛ obi mu;smother
smudge a ɛyɛ fĩ;smudge
smurf a ɛyɛ fɛ;smurf
smutty a ɛyɛ smutty;smutty
snafu na ɛyɛ;SNAFU
snag a ɛyɛ den;snag
snail mail a wɔde mena;snail mail
snapdragon a ɛyɛ ɔtweaseɛ;snapdragon
snapper kɔkɔɔ;red snapper
snarky a ɛyɛ snarky;snarky
snarl a ɛyɛ hu;snarl
snatch a wobɛfa;snatch
sneaker a wɔde di dwuma;sneaker
snicker a wɔde serew;snicker
snickers a wɔyɛ;Snickers
sniff a wɔde hyɛ mu;sniff
snip a wɔde twitwiw nneɛma;snip
snipe a wɔde tu mmirika;snipe
sniper a ɔtow tuo;sniper
snippet a wɔatwa no tiawa;snippet
snitch a wɔde hyɛ obi nsa;snitch
snivel a ɛyɛ mmerɛw;snivel
snob a ɔyɛ ɔkwasea;snob
snobbish a ɔyɛ ɔkwasea;snobbish
snobby a ɔyɛ ɔbarima;snobby
snocross a wɔde wɔn ho hyɛ mu;snocross
snood a ɛyɛ snood;snood
snooker a wɔde di dwuma;snooker
snoop a ɛyɛ snoop;snoop
snooper a ɔyɛ ɔsraani;snooper
snoopy na ɔyɛ;Snoopy
snooty a ɛyɛ snooty;snooty
snooze a wobɛda;snooze
snorkel a wɔde fa nsu mu;snorkel
snot a ɛyɛ snot;snot
snotty a ɛyɛ snotty;snotty
snowboard a wɔde tu mmirika;snowboard
snuff a wɔde hyɛ nipadua mu;snuff
snuffbox a wɔde hyɛ nipadua mu;snuffbox
snuffer a wɔde hyɛ nipadua mu;snuffer
snug a ɛyɛ fɛ;snug
snuggie a ɔyɛ ɔbarima;Snuggie
snuggle a wɔde wɔn ho hyɛ mu;snuggle
so;enough
so;on
so;over
so;satisfy
so;yield
so ahobammɔ wɔ ha;is it safe here
so metumi aba mu;can I come in
so metumi de wo fon no adi dwuma;can I use your phone
so minim wo;do I know you
so osu rebɛtɔ;is it going to rain
so tew;diminution
so tew;dwindle
so wo ho ye;are you OK
so wowɔ afieboa biara;do you have any pets
so wowɔ mma;do you have children
so wowɔ wi-fi;do you have Wi-Fi
so woyɛ nyamesomfo;are you religious
so woyɛ sigyani;are you single
so wubetumi aboa me;can you help me
so wubetumi aka akyerɛ yɛn;can you tell us
so wuhia mmoa;do you need help
so wunim;do you know
so wɔakyere me;am I under arrest
so ɔhaw bi wɔ hɔ;is there any problem
so ɛnte saa;isn't it so
so ɛyɛ me nkutoo;is it just me
so-;over-
so-ne-so;so-and-so
so-so;so-so
soa;carry
soa kɔ;convey
soafo;bearer
soap opera a wɔde di dwuma;soap opera
soar;soar
sob;sob
soba;soba
sober up;sober up
sobo a wɔbɔ;accusation
sobo a wɔde bɔ nkurɔfo sobo;accusatory
sobo a wɔde bɔ obi sobo;indictment
sobo a wɔde too gua;allegation
sobriquet a wɔde frɛ obi;sobriquet
sochi na ɛwɔ hɔ;Sochi
socinian kasa mu;Socinian
sociogram a wɔde kyerɛw nsɛm;sociogram
sociolect a wɔde di dwuma;sociolect
socket a ɛyɛ dry;dry socket
socket no;socket
socket safe a wɔde hyɛ mu;socket wrench
socrates na ɔkyerɛwee;Socrates
socratic kwan a wɔfa so yɛ adwuma;Socratic method
sod mmara;Sod's law
sod nyinaa;sod all
soda a wɔde di dwuma;soda
soda a yɛde to aduane;baking soda
soda a ɛyɛ hyew;caustic soda
soda nsuo;soda water
soda pop a wɔde di dwuma;soda pop
sodifo kuw a wodi tumi;ruling class
sodium a wɔde yɛ nneɛma;sodium
sodium benzoate a wɔde yɛ aduru;sodium benzoate
sodium bicarbonate a wɔde yɛ nneɛma;sodium bicarbonate
sodium chloride a wɔde yɛ aduru;sodium chloride
sodium hydroxide a wɔde yɛ aduru;sodium hydroxide
sodom;Sodom
sodomise ho asɛm;sodomise
sodomy a wɔde di dwuma;sodomy
sofa a wɔde di dwuma;sofa
sofa-mpa a wɔde di dwuma;sofa-bed
soffit a wɔde yɛ adwuma;soffit
sofia na ɔkyerɛwee;Sofia
soft som;soft serve
softball a wɔbɔ;softball
software;software
sogdiana na ɔkyerɛwee;Sogdiana
soggy a ɛyɛ nwini;soggy
sohyial media so nsɛm ho amanneɛbɔ;social media
sohyial network so nkitahodibea;social network
sohyial networking a wɔde di dwuma;social networking
sohyialism a wɔde di dwuma;socialism
sohyialistfo a wɔpɛ wɔn asɛm;socialist
soiree a wɔde yɛ adwuma;soiree
sol;sol
sol-fa a wɔde di dwuma;sol-fa
solder a wɔde yɛ nneɛma;solder
solenodon a ɛyɛ den;solenodon
solenoid a wɔde yɛ nneɛma;solenoid
solidify;solidify
solidity;solidity
solidly;solidly
solidus a wɔfrɛ no solidus;solidus
solipsism a ɛyɛ den;solipsism
solo;solo
solomon nsupɔw so;Solomon Islands
solomon supɔw soni;Solomon Islander
solon na ɔkyerɛwee;Solon
solute a wɔde hyɛ mu;solute
solver a ɔde di dwuma;solver
solyanka;solyanka
som;hook
som;serve
som;serving
som;venerate
som bo;worth
som bo;worthy
som obi yiye;serve someone right
soma;dispatch
soma kɔ;send off
soma-kɔ soro;send-up
somalia kasa mu;Somali
somalia na ɛwɔ hɔ;Somalia
somatic a ɛwɔ nipadua mu;somatic
sombre, a ɛyɛ awerɛhow;sombre
sombrero a wɔfrɛ no sombrero;sombrero
somersault a wɔde wɔn ho hyɛ mu;somersault
sommelier a ɔyɛ ɔdefo;sommelier
somnambulate a ɛma obi da;somnambulate
somnambulist a ɔyɛ ɔbarima;somnambulist
somnial ho asɛm;somnial
somniloquous a ɔkasa;somniloquous
sonar;sonar
sonata a wɔde di dwuma;sonata
sonata kwan a wɔfa so yɛ ade;sonata form
sonatina a ɛyɛ sonatina;sonatina
sondage a wɔde yɛ adwuma;sondage
sonic a ɛyɛ dɛ;sonic
sonic boom a ɛyɛ den;sonic boom
sonnet a wɔde yɛ adwuma;sonnet
sonny;sonny
sonobi-sonobi;diverse
sonobi-sonobi;diversity
sonobi-sonobi;variety
sonogram a wɔde yɛ adwuma;sonogram
sonography a wɔde kyerɛw nsɛm;sonography
sonoluminescence a wɔde yɛ adwuma;sonoluminescence
sonora na ɔkyerɛwee;Sonora
sony na ɔkyerɛwee;Sony
sonya;Sonya
soot a ɛyɛ nwini;soot
sooty a ɛyɛ nwini;sooty
sophia na ɔkyerɛwee;Sophia
sophism a ɛyɛ nwonwa;sophism
sophist a ɔyɛ ɔbenfo;sophist
sophocles na ɔkyerɛwee;Sophocles
sophrological a ɛyɛ nwonwa;sophrological
soporific a wɔde da;soporific
soppy a ɛyɛ soppy;soppy
sora;sora
sorbet a wɔde yɛ aduan;sorbet
sorbian kasa;Sorbian
sorbic acid a wɔde yɛ aduru;sorbic acid
sorbitol a wɔde di dwuma;sorbitol
sorbonne na ɔkyerɛwee;Sorbonne
sorbose a wɔfrɛ no sorbose;sorbose
sordid;sordid
sore loser;sore loser
sorghum a wɔde yɛ akutu;sorghum
soria na ɔkyerɛwee;Soria
soro;high
soro;top
soro;up
soro;upper
soro ne ɔpon so;up and over door
soro pa ara;peak
sorokɔ a ɛkɔ soro;elevation
soronko;different
soronko;exceptional
soronko;odd
soronko;odds
soronko;special
soronko;spectacular
soronko;super
soronko;unique
soronko koraa;exceptionally
soronko koraa;extraordinary
soronkoyɛ;exceptionality
soronkoyɛ;peculiarity
soronkoyɛ;uniqueness
sororal a ɛwɔ soro;sororal
sororal ne nua barima;sororal nephew
sorority a wɔde wɔn ho hyɛ mu;sorority
sorosilicate a wɔfrɛ no sorosilicate;sorosilicate
sorrel a ɛyɛ hu;sorrel
sorry me aka akyi;sorry I'm late
sosɔ so;tolerate
sot;sot
soteriology ho adesua;soteriology
sothofo;Sotho
sotto voce a wɔde frɛ obi;sotto voce
sotɔɔ a wɔde nneɛma ma;give-away shop
sotɔɔ a wɔtɔn nneɛma a wɔmfa nni dwuma pii;thrift shop
sotɔɔ a wɔtɔn nneɛma a ɛyɛ mmerɛw;convenience store
sotɔɔ akɛse mu;department store
sotɔɔ akɛse mu;superstore
sotɔɔ mfɛnsere mu;shop window
sotɔɔ mu;shopfloor
sotɔɔ mu korɔnbɔ;shoplifting
sotɔɔ sohwɛfo;storekeeper
sotɔɔ wura;shopkeeper
soufflé a wɔfrɛ no soufflé;soufflé
soup a ɛkɔ soro;soup up
soupspoon a wɔde yɛ aduan;soupspoon
souq;souq
sour cream a wɔde yɛ aduru;sour cream
sourdough a wɔde yɛ aduru;sourdough
soursop a ɛyɛ akisikuru;soursop
sousaphone a wɔde di dwuma;sousaphone
soutane a wɔde di dwuma;soutane
south africa;South Africa
south africani;South African
south carolina na ɛwɔ hɔ;South Carolina
south china po no;South China Sea
south dakota na ɛwɔ hɔ;South Dakota
south island;South Island
south korea;South Korea
south koreafo kasa;South Korean
south tyrol na ɛwɔ hɔ;South Tyrol
southpaw;southpaw
soviet a ɛkorɔn sen biara;Supreme Soviet
soviet akyi;post-Soviet
soviet ho adesua;Sovietology
soviet ho ɔbenfo;Sovietologist
soviet kasa mu;soviet
soviet union na ɛwɔ hɔ;Soviet Union
sovkhoz na ɔkyerɛwee;sovkhoz
