a bit much;kakra pii
affidavit;ntam a wɔde ma
affiliate;affiliate a ɛka ho
affiliation;affiliation a wɔde ka ho
affinity card;affinity krataa a ɛkyerɛ sɛnea obi te
affinity;affinity a ɛwɔ abusuabɔ
affirm;si so dua
affirmation;affirmation a wɔde si so dua
affirmative sentence;kasamu a ɛkyerɛ sɛ ɛyɛ nokware
affirmative;affirmative a ɛkyerɛ sɛ ɛyɛ nokware
affix;affix a wɔde hyɛ mu
afflatus;afflatus (afflatus) a wɔfrɛ no afflatus
afflict;amanehunu
affliction;amanehunu
afflictive;amanehunu
affluence;ahonyade a wonya
affluent;ɔdefo a wɔyɛ adefo
affordable;boɔ yɛ fo
affordance;sika a wobetumi atɔ
affreightment;affreightment a wɔde fa nnipa
affricate;afrikate kasa
affront;animtiaabu
Afghan Hound;Afghan Ɔkraman a ɔyɛ ɔkraman
Afghan;Afghanfo na wɔyɛ saa
Afghanistan;Afghanistan
afire;ogya a ɛyɛ hyew
aflame;ogyaframa a ɛrehyew
afloat;a ɛsensɛn nsu so
aflutter;aflutter a ɛyɛ hu
afoot;nantew so
aforementioned;a yɛadi kan aka ho asɛm no
aforesaid;yɛadi kan aka ho asɛm
afoul;afoul
afraid;suro
afresh;foforo
Africa;Afrika
African elephant;Afrika asono
African Union;Afrika Nkabom Kuw
African violet;Afrikafo violet a wɔfrɛ no violet
African-American;Afrikani-Amerikani
African;Afrikani
Africanism;Afrikafo ho adwene
Afrikaans;Afrikaans kasa
Afrikaner;Afrikaner kasa mu
Afro-Eurasia;Afro-Eurasia na ɛwɔ hɔ
afro;afro
Afrophobia;Afrophobia a ɛyɛ hu
aft;aft
after all;ne nyinaa akyi no
after dark;bere a ade asa akyi
after-party;apontow akyi
after;wie a
afterbirth;awo akyi
afterbrain;amemene akyi
aftereffect;akyi nsunsuanso
afterlife;owu akyi asetra
aftermath;nea efi mu ba
afternoon;awia
aftershock;akyi-wosow a ɛbae
aftertaste;akyi dɛ
afterthought;akyi adwene
afterwards;ɛno akyi
afterworld;akyi wiase
again and again;mpɛn pii ne mpɛn pii
again;bio
against all odds;a ɛne ɔhaw ahorow nyinaa bɔ abira
against the clock;a ɛne dɔn no bɔ abira
against the grain;atia aburow no
against the law;tia mmara no
against;tia
agalactia;agalactia a wɔfrɛ no agalactia
Agamemnon;Agamemnon na ɔkyerɛwee
agami;agami
agape;agape
agarwood;agarwood
agate;agate
Agatha;Agatha na ɔkyerɛwee
agave;agave
age of majority;mfe a obi adi
age;mfeɛ
ageing;onyin
ageless;a wɔn mfe akɔ anim
agency;kuo
agenda;nhyehyɛe a wɔde bɛyɛ adwuma
agent noun;agent edin
agent;ananmusini
agglomeration;agglomeration a ɛyɛ den
agglutinative;agglutinative a ɛyɛ den
aggrandizement;a wɔma ɛyɛ kɛse
aggravate;aggravate
aggravation;aggravation a ɛyɛ den
aggregate;a wɔaka abom
aggression;basabasayɛ a wɔyɛ
aggressive;patapaa
aggressively;wɔ ɔkwan a ɛyɛ basabasa so
aggressiveness;basabasayɛ a wɔyɛ
aggressor;ɔtowhyɛfo
aggrieved;a ne bo afuw
aghast;ahodwiriw
agile gibbon;gibbon a ɛyɛ ntɛmntɛm
agile;ahoɔhare
agility;ahokeka a wɔde yɛ adwuma
aging;onyin
agitate;agitate
agitation;basabasayɛ a wɔyɛ
agitator;agitator
Aglaia;Aglaia na ɔkyerɛwee
agnate;agnate a ɛyɛ den
agnathan;agnathan na ɔkyerɛwee
agnation;agnation a wɔde yɛ adwuma
Agnes;Agnes na ɔkyerɛwee
agnomen;agnomen a wɔde kyerɛw nsɛm
agnostic;agnosticfo a wonnye nni
agnosticism;agnosticism a wonnye nni
ago;atwam
agog;agog
agonize;agonize
agonizing;a ɛyɛ yaw
agony;yaw a ɛyɛ yaw
agora;agora
agoraphobia;agoraphobia a ɛyɛ hu
agoraphobic;agoraphobic a ɛyɛ hu
agorism;agorism a wɔde di dwuma
agouti;agouti
Agra;Agra
agrarian;kuayɛ ho adwuma
agrarianism;kuayɛ ho nimdeɛ
agree;pene
agreeable;a wɔpene so
agreeableness;adwene a wɔpene so
agreeably;a wɔpene so
agreed;penee so
agreement;ɔpeneeɛ
agricultural;kuayɛ ho adwuma
agriculture;kuadwuma
agriculturist;kuayɛ ho ɔbenfo
agriculturize;yɛ kuayɛ
Agrigento;Agrigento a wɔde yɛ adwuma
agrimi;agrimi a wɔde yɛ nneɛma
agrimony;agrimony ho nimdeɛ
agritourism;kuayɛ mu akwantu ho adwuma
agrochemistry;agrochemistry ho adesua
agrofuel;agrofuel a wɔde yɛ nneɛma
agroindustry;agroindustry ho adwumayɛ
agrology;kuayɛ ho adesua
agronomic;kuayɛ ho adesua
agronomist;kuayɛ ho ɔbenfo
agronomy;agronomy ho adesua
agrotechnical;kuayɛ ho mfiridwuma
aground;aground
Aguascalientes;Aguascalientes na ɛwɔ hɔ
ague;ague
aha moment;aha bere bi
aha;aha
Ahasuerus;Ahasweros
ahead;anim
ahistorical;abakɔsɛm mu de
Ahriman;Ahriman na ɔkyerɛwee
Ahura Mazda;Ahura Mazda na ɔkyerɛwee
aid;mmoa
Aida;Aida na ɔkyerɛwee
aide-de-camp;aide-de-nsraban mu
AIDS;AIDS
aiglet;aiglet a ɛyɛ fɛ
ail;ail
aileron;aileron a wɔfrɛ no aileron
ailing;ɔyarefo
ailment;yareɛ
ailuro-;ailuro- .
ailurophobia;ailurophobia a ɛyɛ hu
aim;botaeɛ
aimless;a botae biara nni ho
aimlessly;a botae biara nni ho
Ainu;Ainu
aioli;aioli
air base;wimhyɛn gyinabea
air conditioner;mframa a wɔde yɛ adwuma
air conditioning;mframa a wɔde yɛ adwuma
air cushion;mframa a wɔde hyɛ mu
air force;wim asraafo dɔm
air freshener;mframa a wɔde tew mframa ho
air hole;mframa tokuru
air pistol;mframa mu tuo a wɔde tuo
air pocket;mframa kotoku
air pollution;mframa a wɔsɛe no
air pump;mframa pɔmpɛ
air rifle;mframa mu tuo a wɔde di dwuma
air ticket;wimhyɛn tekiti a wɔde ma
air traffic control;wimhyɛn akwantu ho nhyehyɛe
air vent;mframa a wɔde fa mu
air-condition;mframa-a-wɔn a wɔde yɛ adwuma
air-raid shelter;wimhyɛn a wɔde tow hyɛ nkurɔfo so guankɔbea
air;mframa
airan;airan
airbag;mframa bag
airborne;mframa mu
airbus;airbus a wɔde fa nnipa
aircraft carrier;wimhyɛn a wɔde fa wimhyɛn
aircraft;wimhyɛn a wɔde di dwuma
airfield;wimhyɛn gyinabea
airfoil;airfoil a wɔde yɛ nneɛma
airhead;airhead
airlift;wimhyɛn a wɔde fa nnipa
airline;wimhyɛn adwumayɛkuw
airliner;wimhyɛn a wɔde tu kwan
airmail;wimhyɛn mu nkrataa a wɔde mena
airman;wimhyɛnkafo
airmass;mframa a ɛdɔɔso
airplane;wimhyɛn a wɔde di dwuma
airport lounge;wimhyɛn gyinabea dan a wɔda mu
airport;wiemhyɛn gyinabea
airscrew;mframa a wɔde hyɛ mu
airshaft;mframa a wɔde hyɛ mu
airspace;wim tebea
airstrip;wimhyɛn gyinabea
airtight;mframa a ntumi nkɔ mu
airtime;mframa bere
airwaves;mframa asorɔkye
airway;mframa kwan
airworthiness;wimhyɛn a ɛfata
airworthy;wimhyɛn a ɛfata
aisle;nkonnwa ntam kwan
aitch;aitch
ajar;ajar
Ajax;Ajax na ɔyɛ
AKA;AKA na ɛyɛ
Akan;Akan
akimbo;akimbo
akin;akin
akinete;akinete
Akkadian;Akkad kasa mu
Aksai Chin;Aksai Chin na ɔkyerɛwee
al fresco;wɔ abɔnten so
Al Jazeera;Al Jazeera na ɔkyerɛwee
Al-Andalus;Al-Andalus na ɔkyerɛwee
al-Qaeda;al-Qaedafo a wɔyɛ adwuma wɔ hɔ
Alabama;Alabama
alabaster;alabaster a wɔfrɛ no alabaster
alack;alack
alacrity;alacrity a ɛyɛ den
Aladdin;Aladdin na ɔkyerɛwee
Alamo;Alamo
alan;alan
alanine;alanini
Alaric;Alaric na ɔkyerɛwee
alarm clock;alarm dɔn a wɔde bɔ nneɛma
alarm;dede
alarming;a ɛyɛ hu
alarmism;alarmism a ɛyɛ hu
alarmist;alarmist
alas;awerɛhosɛm ne sɛ
Alaska;Alaska
Alaskan Malamute;Alaskafo Malamutefo na wɔte saa
Alaskan;Alaskafo
Albacete;Albacete a wɔfrɛ no Albacete
Alban;Alban na ɔkyerɛwee
Albania;Albania na ɛwɔ hɔ
Albanian;Albania kasa
Albany;Albany na ɔkyerɛwee
albatross;albatross a wɔfrɛ no albatross
albedo;albedo a wɔde kyerɛw nsɛm
albeit;ɛwom sɛ
Albert;Albert na ɔkyerɛwee
Alberta;Alberta na ɛwɔ hɔ
Albin;Albin na ɔkyerɛwee
albinism;albinism a wɔde di dwuma
albino;albino na ɛyɛ
Albireo;Albireo na ɔkyerɛwee
albite;albite a wɔfrɛ no albite
album;album
albumen;albumen a wɔfrɛ no albumen
albumin;albumin a wɔde yɛ nneɛma
Albuquerque;Albuquerque na ɛwɔ hɔ
Alcalá de Henares;Alcalá de Henares na ɔkyerɛwee
alcazar;alcazar na ɔkyerɛwee
alchemist;alchemist ho ɔbenfo
alchemy;alchemy ho adesua
Alcibiades;Alcibiades a wɔfrɛ no Alcibiades
Alcmene;Alcmene na ɔkyerɛwee
alcohol poisoning;nsa a wɔde awuduru ayɛ
alcohol-free;nsa a wɔmfa nni dwuma
alcohol;nsaden
alcoholaemia;nsa a wɔnom
alcoholic;ɔsadweam
Alcoholics Anonymous;Asadweamfo a Wɔmmɔ Wɔn Din
alcoholism;asanom a wɔnom
alcoholometer;nsa ho kyerɛwtohɔ
alcoholometry;nsa ho nhwehwɛmu
alcove;alcove a ɛwɔ hɔ
aldaric acid;aldaric acid a wɔde yɛ aduru
Aldebaran;Aldebaran na ɔkyerɛwee
aldehyde;aldehyde a wɔde yɛ aduru
alder;alder
alderman;alderman a ɔyɛ ɔpanyin
aldolase;aldolase a wɔde di dwuma
aldonic acid;aldonic acid a wɔde yɛ aduru
aldonic;aldonic a wɔde di dwuma
aldopentose;aldopentose a wɔde yɛ aduru
aldose;aldose a wɔde di dwuma
ale;ale
aleatory;aleatory a wɔde di dwuma
alembic;alembic na ɛyɛ
aleph;aleph
Aleppo;Aleppo na ɛwɔ hɔ
alert;nkaebɔ
alertly;de ani da hɔ
alertness;ani a wɔma ɛda hɔ
Aleutian Islands;Aleutian Nsupɔw so
Alexander the Great;Alexander Ɔkɛseɛ
Alexander;Alexander na ɔkyerɛwee
Alexandra;Alexandra na ɔkyerɛwee
Alexandria;Alexandria na ɛwɔ hɔ
Alexandrian;Alexandriafo a wɔyɛ adwuma wɔ hɔ
Alexandroupoli;Alexandroupoli na ɔkyerɛwee
Alexius;Alexius na ɔkyerɛwee
alfalfa;alfalfa a wɔfrɛ no alfalfa
Alfonso;Alfonso na ɔkyerɛwee
Alfred;Alfred na ɔkyerɛwee
Alfvén wave;Alfvén asorɔkye
alga;atɛkyɛ
algae;atɛkyɛ a wɔfrɛ no algae
algebra;algebra a wɔde kyerɛw nsɛm
algebraic equation;algebraic nsɛsoɔ
algebraic geometry;algebraic geometry a wɔde di dwuma
algebraic;algebraic a wɔde di dwuma
algebraically;wɔ algebra kwan so
Algeciras;Algeciras na ɛwɔ hɔ
Algeria;Algeria na ɛwɔ hɔ
Algerian Arabic;Algeriafo Arabic kasa
Algerian;Algeriafoɔ
Algherese;Algherese kasa
Alghero;Alghero na ɔkyerɛwee
algid;algid a ɛyɛ den
Algiers;Algiers na ɛwɔ hɔ
alginate;alginate a wɔde yɛ nneɛma
algolagnia;algolagnia a ɛwɔ nipadua no mu
algologist;algologist ho ɔbenfo
algology;algology ho adesua
algometry;algometry a wɔde di dwuma
algophilia;algophilia a wɔfrɛ no algophilia
algorithm;algorithm a wɔde yɛ adwuma
algorithmic;algorithmic a wɔde yɛ adwuma
alias;alias a wɔde frɛ no
alibi;alibi
Alicante;Alicante na ɛwɔ hɔ
Alice in Wonderland;Alice wɔ Anwonwade Asase mu
Alice;Alice na ɔkyerɛwee
alien;ɔhɔho
alienate;ahɔhoyɛ
alienation;ahɔhoyɛ
alight;alight
align;align no hyia
alignment;alignment a wɔde hyɛ mu
alike;sɛnea ɛte biara
alimentary;aduan a wɔde ma
alimony;alimony a wɔde ma
aliphatic;aliphatic a ɛwɔ hɔ
aliquot;aliquot
alive and kicking;ɔte ase na ɔbɔ ne nan
alive;te ase
aliyah;aliyah
alkali;alkali a wɔde yɛ nneɛma
alkalimeter;alkalimeter a wɔde kyerɛ sɛnea nneɛma te
alkalimetry;alkalimetry a wɔde kyerɛw nneɛma
alkaline earth metal;alkaline asase dade
alkaline;alkaline a ɛyɛ den
alkaloid;alkaloid a wɔde yɛ nneɛma
alkane;alkane a wɔde yɛ adwuma
alkene;alkene a ɛyɛ den
alkyl;alkyl a wɔfrɛ no alkyl
alkyne;alkyne a wɔfrɛ no alkyne
all along;bere nyinaa
all bark and no bite;ne nyinaa yɛ bark na ɛnyɛ nea ɛka
all but;ne nyinaa gye
all day;da mũ nyinaa
all ears;aso nyinaa
all hands on deck;nsa nyinaa wɔ deck so
all in good time;ne nyinaa wɔ bere pa mu
all kidding aside;ne nyinaa yɛ aseresɛm to nkyɛn
all of a sudden;mpofirim ara
all of;ne nyinaa
all over the place;wɔ beae hɔ nyinaa
all right;ne nyinaa yɛ
all rights reserved;hokwan ahorow nyinaa wɔ hɔ
All Saints' Day;Ahotefoɔ Nyinaa Da
All Souls' Day;Akra Nyinaa Da
all the more;nea ɛsen saa
all the tea in China;tii a ɛwɔ China nyinaa
all the time;bere nyinaa
all thumbs;nsateaa nyinaa
all-clear;ne nyinaa mu da hɔ
all;nyinaa
Allah;Allah
allantoid;allantoid a ɛwɔ nipadua no mu
allantoin;allantoin a wɔde di dwuma
allative case;allative asɛm a ɛfa asɛm no ho
allative;allative
allay;allay
allegation;sobo a wɔde too gua
allege;bɔ sobo sɛ
alleged;wɔkyerɛ sɛ
allegedly;wɔkyerɛ sɛ
allegiance;nokwaredi a wɔde di dwuma
allegorical;mfatoho a wɔde di dwuma
allegorically;wɔ mfatoho mu
allegory;mfatoho
allele;allele
alleluia;alleluia a ɛyɛ fɛ
allene;allene
allergen;allergen a ɛma obi ho yɛ no hyew
allergic rhinitis;akisikuru a ɛma obi ho yɛ no hyew
allergic;allergic a ɛma obi ho yɛ no hyew
allergology;aduruyɛ a ɛma obi ho yɛ no hyew
allergy;allergy a ɛma obi ho yɛ no hyew
alleviate;brɛ ase
alleviation;a wɔtew so
alley;alley no so
alliance;apam
allicin;allicin a wɔde yɛ aduru
allied health;allied akwahosan
alligator;akraman a wɔfrɛ wɔn alligator
alliteration;alliteration a wɔde di dwuma
allo-;allo- .
allocate;kyekyɛ
allocation;nkyekyɛmu a wɔde ma
allochthonous;allochthonous a ɛwɔ hɔ
allodium;allodium a wɔde yɛ aduru
allogamy;allogamy a wɔde di dwuma
allomorph;allomorph a ɛyɛ allomorph
allophone;allophone a wɔfrɛ no allophone
allose;allose
allot;allot
allotment;kyɛfa a wɔde ma
allotrope;allotrope a wɔde yɛ ade
allotropic;allotropic a ɛyɛ aduru
allow;ma kwan
alloy;alloy a wɔde afrafra
allspice;allspice a wɔde yɛ nneɛma
allude;twe adwene si so
allure;atwetwe adwene
alluring;a ɛtwetwe adwene
allusion;allusion
allusive;allusive a ɛkyerɛ biribi
alluvial fan;alluvial fan a ɛyɛ fɛ
alluvial plain;alluvial asasetaw
alluvium;alluvium a wɔde yɛ nneɛma
ally;ally
allyl alcohol;allyl nsa a wɔde yɛ nsa
allyl;allyl
allylic;allylic a wɔfrɛ no allylic
alma mater;alma mater na ɛwɔ hɔ
Alma;Alma
almagest;almagest na ɛyɛ
almagra;almagra na ɛwɔ hɔ
almanac;almanac a wɔde di dwuma
Almaty;Almaty na ɔkyerɛwee
Almería;Almería na ɛwɔ hɔ
almighty;ade nyinaa so tumfoɔ
almond milk;almond nufusu
almond paste;almond a wɔde yɛ aduan
almond tree;almond dua
almond;almond a wɔde yɛ nneɛma
Almoravid;Almoravidfo na wɔkyerɛwee
almost doesn't count;ɛkame ayɛ sɛ ɛnyɛ nea ɛka ho
almost everywhere;ɛkame ayɛ sɛ wɔ baabiara
almost;aka kakra bi
alms;adɔe a wɔde ma
aloe vera;aloe vera a wɔde yɛ aduru
aloe;aloe
aloin;aloin
alone;nko ara
along with;ka ho ne
along;wɔ ho
alongside;wɔ nkyɛn
aloof;aloof
aloofness;obi a ɔtwe ne ho fi afoforo ho
aloud;denden
alpaca;alpaca a wɔfrɛ no alpaca
alpenglow;alpenglow a wɔde kyerɛw nsɛm
Alpha Centauri;Alfa Centauri na ɔkyerɛwee
alpha decay;alfa a ɛporɔw
alpha helix;alfa helix a ɛwɔ hɔ
alpha male;alfa ɔbarima
alpha particle;alpha abɔde mu nneɛma nketenkete
alpha ray;alfa ray a ɛyɛ hyew
alpha wave;alfa asorɔkye
alpha;alfa
alphabet;nkyerɛwde a wɔde kyerɛw nsɛm
alphabetical order;nkyerɛwde nhyehyɛe
alphabetical;nkyerɛwde nhyehyɛe
alphabetically;sɛnea nkyerɛwde no te
alphabetism;nkyerɛwde nhyehyɛe
alphabetize;nkyerɛwde a wɔde kyerɛw nsɛm
alphanumeric;nkyerɛwde ne akontaahyɛde
Alphecca;Alphecca na ɔkyerɛwee
alphorn;alphorn a wɔde di dwuma
alpine chough;alpine chough a ɛwɔ hɔ
Alpine;Alpine so
Alps;Alps Alps so na ɛwɔ hɔ
already;dada
Alsace;Alsace na ɛwɔ hɔ
Alsatian;Alsatianfo a wɔyɛ adwuma wɔ hɔ
also;nso
Altai Republic;Altai Ɔmanpanyin
Altair;Altair na ɔkyerɛwee
altar boy;afɔremuka so abarimaa
altar;afɔremuka
alter ego;alter ego a wɔsakra no
alter;alter
alterability;nsakrae a wotumi sesa
alteration;nsakrae a ɛba
altercation;akasakasa
altered;wɔasesa no
alterity;alterity a ɛsakra
alternate;alternate
alternately;wɔsesa wɔn ho wɔn ho
alternating current;mprempren a ɛsesa
alternating;a wɔsesa wɔn ho wɔn ho
alternation;nsakrae a wɔsesa
alternative fact;nokwasɛm foforo
alternative fuel;pɛtro foforo a wɔde di dwuma
alternative medicine;nnuru a wɔde si ananmu
alternative;foforɔ
alternatively;ɔkwan foforo so no
alternator;alternator a wɔde yɛ adwuma
althorn;althorn a ɛyɛ den
although;ɛwom
altimeter;altimeter a ɛkyerɛ sɛnea ɛhɔ yɛ hyew
altitude sickness;altitude yareɛ a ɛba
altitude;beae a ɛkorɔn
alto saxophone;alto saxophone a wɔde bɔ nnwom
alto;alto
altocumulus;altocumulus a wɔfrɛ no altocumulus
altogether;ne nyinaa mu
altostratus;altostratus a wɔde kyerɛw nsɛm
altrose;altrose a wɔde yɛ adwuma
altruism;afoforo ho a wɔde di dwuma
altruist;obi a ɔmfa ne ho nhyɛ mu
altruistic;obi a ɔmfa ne ho nhyɛ mu
alum;alum
aluminium foil;aluminium a wɔde ayɛ krataa
aluminium oxide;aluminium oxide a wɔde yɛ nneɛma
aluminium;aluminium a wɔde yɛ nneɛma
aluminosilicate;aluminosilicate a wɔde yɛ ade
aluminous;aluminium a wɔde yɛ adwuma
alumna;alumna a ɔyɛ ɔkyerɛkyerɛfo
alumnus;alumnus a ɔyɛ ɔkyerɛkyerɛfo
alunite;alunite a ɛyɛ den
alveolar;alveolar a ɛwɔ nipadua no mu
alveolus;alveolus a ɛwɔ nipadua no mu
always;berɛ biara
Alzheimer's disease;Alzheimer yare a ɛma obi nya ɔyare
am I under arrest;so wɔakyere me
AM;YƐ
Amadeus;Amadeus na ɔkyerɛwee
amalgam;amalgam a wɔde afrafra
amalgamate;amalgamate a wɔde afrafra
Amalthea;Amalthea na ɔkyerɛwee
Amanda;Amanda na ɔkyerɛwee
amanita;amanita
amanuensis;amanuensis a wɔfrɛ no amanuensis
amaranth;amaranth a wɔfrɛ no amaranth
amaretto;amaretto
amaryllis;amaryllis a wɔfrɛ no amaryllis
amass;boaboa ano
Amaterasu;Amaterasu
amateur;amateur a ɔyɛ amateur
amateurish;amateurish a wɔyɛ amateurfo
amaxophobia;amaxophobia a ɛyɛ hu
amaze;ahodwiriw
amazement;ahodwiriwde
amazing;ɛyɛ nwanwa
amazingly;anwonwasɛm ne sɛ
Amazon;Amazon
Amazonas;Amazonas a ɛwɔ hɔ
Amazonian antshrike;Amazonfo ntɛtea a wɔde wɔn ho hyɛ mu
Amazonian;Amazonfo de
amazonite;amazonite a wɔde yɛ adwuma
amban;amban
ambassador;ɔnanmusifo
amber;amber a ɛyɛ fɛ
ambergris;ambergris a wɔfrɛ no ambergris
ambiance;ambiance a ɛwɔ hɔ
ambidextrous;ambidextrous a ɛwɔ afã abien
ambigram;ambigram a ɛyɛ ambigram
ambiguity;nsɛm a emu nna hɔ
ambiguous;nteasepem
ambiguously;a emu nna hɔ
ambit;ambit
ambition;botaeɛ
ambitious;pɛadeɛni
ambitiously;wɔ aniberesɛm mu
ambivalence;adwene abien a ɛwɔ hɔ
ambivalent;adwene abien
amble;amble
amblyopia;amblyopia a ɛma obi ho yɛ hyew
Ambrose;Ambrose na ɔkyerɛwee
ambrosia;ambrosia a wɔfrɛ no ambrosia
ambulance;ambulance a wɔde fa nnipa
ambulatory;ambulatory a wɔde nantew
ambulophobia;ambulophobia a ɛyɛ hu
ambush;ambush a wɔde bɛbɔ wɔn ho ban
ameban;ameban
Amelia;Amelia na ɔkyerɛwee
ameliorate;ameliorate
amelioration;amelioration a wɔde ma
ameloblast;ameloblast a wɔde hyɛ nipadua mu
amelogenin;amelogenin a wɔde yɛ aduru
amen;amen
amenable;amenable
amend;sesa mu
amendable;wotumi sesa mu
amendment;nsakrae a wɔayɛ
amends;ɔyɛ nsakrae
amenity;amenity a ɛyɛ anigye
amenorrhoea;amenorrhoea a ɛyɛ mmerɛw
American aloe;Amerikafo aloe a wɔfrɛ no aloe
American badger;Amerikafo badger a wɔfrɛ no badger
American bison;Amerikafo bison a wɔfrɛ no bison
American Bulldog;Amerika Bulldog a ɔyɛ ɔkraman
American Civil War;Amerika Ɔmanko
American English;Amerikafo Engiresi kasa
American football;Amerika bɔɔlbɔ
American Indian;Amerikani Indiani
American kestrel;Amerikafo kestrel a wɔfrɛ no kestrel
American Samoa;Amerika Samoa
American sweetgum;Amerikafo aduru a wɔde yɛ sweetgum
American;Amerikani
Americanisation;Amerikafo a wɔde wɔn ho hyɛ mu
Americanism;Amerikafo a wɔyɛ wɔn ade
Americanize;Amerikafo a wɔde wɔn ho hyɛ mu
Americas;Amerika aman
americium;americium a wɔde yɛ aduru
Amerindian;Amerindian kasa
amethyst;amethyst a wɔde kyerɛw nsɛm
Amharic;Amharic kasa mu
amiability;amiability
amiable;amiable
amiably;amiably
amianthus;amianthus a wɔfrɛ no amianthus
amicable number;dodow a ɛyɛ asomdwoe
amicable;asomdwoe mu
amid;wɔ mu
amide;amide a wɔde yɛ adwuma
amidine;amidine a wɔde di dwuma
amidst;mfinimfini
amine;amine
amino acid;amino acid a ɛwɔ nipadua no mu
amino;amino
aminoacyl;aminoacyl a wɔfrɛ no aminoacyl
aminobenzoate;aminobenzoate a wɔde yɛ aduru
aminobenzoic acid;aminobenzoic acid a wɔde yɛ aduru
aminogram;aminogram a wɔde kyerɛw nsɛm
amiodarone;amiodarone a wɔde yɛ aduru
amiss;amiss
amitotic;amitotic a ɛyɛ adwuma
amity;ayɔnkofa
Amman;Amman
ammeter;ammeter
ammonal;ammonal a wɔde di dwuma
ammonia;ammonia a wɔde yɛ nneɛma
ammoniac;ammoniac a wɔde di dwuma
ammonite;ammonite a wɔde yɛ nneɛma
ammonium;ammonium a wɔde yɛ nneɛma
ammunition;atuo a wɔde di dwuma
amnesia;amnesia a ɛma obi kae ade
amnesic;amnesic a ɛma obi kae ade
amnesty;fafiri a wɔde ma
amnion;amnion a ɛwɔ nipadua no mu
amniotic fluid;nsu a ɛwɔ awotwaa mu
amniotic;amniotic a ɛma nipadua no yɛ adwuma
amoeba;amoeba a wɔfrɛ no amoeba
amoebic;amoebic a wɔde di dwuma
amok;amok
among;ka ho
amoral;abrabɔ pa ho asɛm
amorous;amorous a wɔde di dwuma
amorously;ɔdɔ mu
amorphous;a ɛnyɛ nea ɛwɔ nipadua no mu
amortization;sika a wɔde tua ho ka
amortize;amortize a wɔde tua ka
Amos;Amos
amount;sika
ampelographic;ampelographic a wɔde kyerɛ
ampelography;ampelography a wɔde yɛ adwuma
ampere;ampere a ɛyɛ den
ampersand;ampersand a wɔde yɛ adwuma
amphetamine;amphetamine a wɔde di dwuma
amphibian;mmoa a wɔte nsu ne asase so
amphibious;nsu ne asase so
amphibole;amphibole a wɔfrɛ no amphibole
amphictyon;amphictyon, a ɛyɛ hu
amphipathic;amphipathic a wɔde di dwuma
amphiprostyle;amphiprostyle a wɔde yɛ aduru
amphitheater;agoprama a wɔde di agoru
amphitheatre;agoprama a wɔde di agoru
amphora;amphora a wɔde di dwuma
amphoteric;amphoteric a wɔde di dwuma
ample;ample
amplification;amplification a wɔde ma
amplifier;amplifier a ɛma nneɛma yɛ kɛse
amplify;amplify
amplitude modulation;amplitude a wɔsakra no
amplitude;amplitude a ɛyɛ den
amply;amply
ampoule;ampoule a wɔde hyɛ nipadua mu
amputate;twa wɔn honam ani
amputation;atwitwa a wɔatwa
Amritsar;Amritsar na ɔkyerɛwee
Amsterdam;Amsterdam
Amsterdamer;Amsterdamer na ɔkyerɛwee
Amu Darya;Amu Darya
amulet;amulet a wɔde di dwuma
Amun;Amun
Amur;Amur
amuse;anigyede
amusement park;agoprama a wɔde gye wɔn ani
amusement;anigyede a wɔde gye wɔn ani
amusing;anika
Amuzgo;Amuzgo na ɔkyerɛwee
amygdala;amygdala a ɛwɔ nipadua no mu
amyl alcohol;amyl nsa a wɔnom
amylase;amylase a wɔfrɛ no amylase
amyloid;amyloid a ɛwɔ nipadua no mu
amyloidosis;amyloidosis a ɛwɔ nipadua no mu
amylopectin;amylopectin a wɔde yɛ aduru
amyloplast;amyloplast a wɔde yɛ aduru
amylose;amylose a ɛyɛ den
amyotrophy;amyotrophy a ɛma nipadua no yɛ adwuma
an;bi
Anabaptism;Anabaptism
Anabaptist;Anabaptistni
anabasine;anabasine a wɔde di dwuma
anabasis;anabasis a wɔde di dwuma
anabolic;anabolic a wɔde yɛ ade
anabolism;anabolism a wɔde di dwuma
anachronism;anachronism a ɛnyɛ bere mu de
anachronistic;anachronistic ho asɛm
anacoluthon;anacoluthon a wɔde di dwuma
anaconda;anaconda na ɛyɛ anaconda
anacrusis;anacrusis a ɛyɛ mmerɛw
anadiplosis;anadiplosis a ɛyɛ mmerɛw
anadromous;anadromous a wɔde di dwuma
Anadyr;Anadyr na ɔkyerɛwee
anaerobic;a mframa nnim
anaesthesia;aduru a wɔde kum nipadua no
anaesthesiology;aduru a wɔde kum akisikuru
anaesthetic;aduru a wɔde kum nipadua no
anagram;anagram a wɔde di dwuma
anal beads;anal nhwiren a wɔde yɛ
anal fin;anal fin
anal sex;anal sex
anal;anal
analgesia;aduru a wɔde kum ɛyaw
analgesic;aduru a wɔde kum ɛyaw
analog;analog
analogical;analogical
analogically;wɔ nsɛso mu
analogous;analogous
analogy;nsɛdi
analysis;mpaapaemu
analyst;nhwehwɛmufo
analytic geometry;geometry a wɔde hwehwɛ nneɛma mu
analytic philosophy;nyansapɛ a wɔde hwehwɛ nneɛma mu
analytic;nhwehwɛmu a wɔyɛ
analytical engine;engine a wɔde hwehwɛ nneɛma mu
analytically;wɔ nhwehwɛmu mu
analytics;nhwehwɛmu a wɔyɛ
analyze;hwehwɛ mu
anamnesis;anamnesis a wɔde di dwuma
Anapa;Anapa
