p.;kr.
per;per
perceive;fa no sɛ
percent;ɔha biara mu nkyem 100
percentage;ɔha biara mu nkyem 100
percentile;ɔha biara mu nkyem 100
perceptible;a wotumi hu
perception;adwene
perceptive;nhumu
perch;perch a wɔde di dwuma
perchlorate;perchlorate a wɔde yɛ adwuma
perchloric acid;perchloric acid a wɔde yɛ aduru
percussion cap;percussion cap a wɔde bɔ nnwom
percutaneous;a wɔde fa honam ani
perdition;ɔsɛe
peregrinate;peregrinate a wɔde tu kwan
peregrine falcon;peregrine akɔre a wɔfrɛ no falcon
peremptory;peremptory a wɔde hyɛ obi so
perestroika;perestroika a wɔde di dwuma
perfect crime;nsɛmmɔnedi a ɛyɛ pɛ
perfect fifth;anum a edi mũ
perfect number;dodow a edi mũ
perfect;pɛpɛɛpɛ
perfection;pɛyɛ
perfectionism;pɛyɛ ho adwene
perfectionist;obi a ɔpɛ sɛ ɔyɛ pɛ
perfective aspect;afã a ɛyɛ pɛ
perfectly;pɛpɛɛpɛ
perfidious;atorofo
perfidy;atoro a wɔyɛ
perforation gauge;afiri a wɔde susuw ntokuru ho
perforator;perforator a wɔde hyɛ mu
perforce;ɔhyɛ da
perform;yɛ ma yɛnhwɛ
performance anxiety;adwumayɛ ho dadwen
performance art;adwinni a wɔde yɛ agoru
performance bond;adwumayɛ ho abusuabɔ
performance;mmɔdemmɔ
performer;ɔyɛkyerɛfo
performing arts;adwinni a wɔde di agoru
perfume;nnuhuam a wɔde yɛ nnuhuam
perfumer;nnuhuamyɛfo
perfunctory;a wɔyɛ no kwa
perfusion;perfusion a wɔde ma
pergola;pergola a wɔfrɛ no pergola
perhaps;gyama
peri;peri
perianth;perianth a ɛwɔ nipadua no mu
pericardium;pericardium a ɛwɔ koma no mu
pericarp;pericarp a ɛwɔ akyi
Pericles;Pericles a wɔfrɛ no Pericles
pericyte;pericyte a ɛwɔ nipadua no mu
peridot;peridot a wɔfrɛ no peridot
peridotite;peridotite a ɛwɔ nipadua no mu
perigee;perigee (perigee) a ɛwɔ hɔ
periglacial;periglacial a ɛwɔ nsukyenee ho
perihelion;perihelion a ɛwɔ nipadua no mu
peril;asiane
perilous;asiane wom
perimeter;atwa ho ahyia
perineal;perineal a ɛwɔ nipadua no mu
perineum;perineum a ɛwɔ nipadua no mu
period;berɛ
periodic table;periodic table
periodic;bere ne bere mu
periodically;bere ne bere mu
periodontal;ntini a ɛwɔ ntini mu
Perioikoi;Perioikoi na ɛyɛe
perioperative;bere a wɔyɛ oprehyɛn no
peripheral brain;amemene a ɛwɔ akyirikyiri
peripheral device;afiri a wɔde yɛ adwuma wɔ akyirikyiri
peripheral;peripheral a ɛwɔ akyi
periphery;periphery a ɛwɔ akyirikyiri
periphrasis;periphrasis a wɔde di dwuma wɔ ɔkwan a ɛkɔ akyiri so
periphrastic;periphrastic a wɔde di dwuma wɔ ɔkwan a ɛkɔ akyiri so
periphyton;periphyton a ɛwɔ nipadua no mu
peripubescent;peripubescent a ɛwɔ akyi
periscope;periscope a wɔde di dwuma
perish;sɛe
perishable;nea ɛsɛe ade
peristalsis;peristalsis a ɛwɔ nipadua no mu
peritoneal;a ɛwɔ akyi berɛmo mu
peritoneum;peritoneum a ɛwɔ akyi
peritonitis;peritonitis a ɛma obi ho yɛ hyew
perivascular;perivascular
periwinkle;periwinkle a ɛwɔ hɔ
perjure;atoro ka ntam
perjury;atoro adansedi
perky;perky a ɛyɛ anigye
perlocution;perlocution a wɔde di dwuma
perlèche;perlèche a wɔde yɛ adwuma
Perm;Perm
permaban;permaban a ɛwɔ hɔ
permafrost;awɔw a ɛtra hɔ daa
permalink;permalink a ɛwɔ hɔ daa
permanence;nea ɛtra hɔ daa
permanent marker;agyiraehyɛde a ɛtra hɔ daa
permanent;daa
permanently;daa
permeable;a ɛtumi fa nsuo mu
permeate;permeate a ɛhyɛ mu
permille;permille na ɛyɛ adwuma
permission;kwan ma
permissive;a wɔma ho kwan
permit;ma kwan
permittivity;permittivity a wɔde ma
permutation;nsakrae a ɛba
Pernambucan;Pernambucan na ɔkyerɛwee
pernicious;nea ɛsɛe ade
pernickety;pernickety a ɛyɛ den
pernoctation;pernoctation a ɛyɛ den
Peronism;Peronism a wɔde di dwuma
Peronist;Peronist ho ɔbenfo
peroxidation;peroxidation a ɛma nipadua no yɛ adwuma
peroxide;peroxide a wɔde yɛ adwuma
perpendicular;a ɛyɛ tẽẽ
perpendicularly;a ɛyɛ tẽẽ
perpent stone;perpent ɔboɔ
perpetrate;yɛ bɔne
perpetrator;ɔdebɔneyɛfo
perpetual;daa
perpetually;daa
perpetuate;de kɔ so daa
perpetuity;daa nkwa
Perpignan;Perpignan a wɔde yɛ aduru
perplex;adwenem naayɛ
perplexed;n’adwene atu afra
perquisite;perquisite a ɛyɛ den
perry;perry
persecute;ɔtaa wɔn
persecution;ɔtaa a wɔde ba
Persephone;Persephone na ɔkyerɛwee
Persepolis;Persepolis, na ɛwɔ hɔ
Perseus;Perseus na ɔkyerɛwee
perseverance;nketesie
persevere;gyina mu
persevering;boasetɔ
Persia;Persia
Persian Gulf;Persia Po no mu
Persian;Persia kasa
persimmon;persimmon a wɔde yɛ nneɛma
persist;kɔ so tra hɔ
persistence;nsiyɛ
persistent;gyina mu
person of color;onipa a ne kɔla yɛ kɔkɔɔ
person;onii
persona non grata;persona a ɛnyɛ grata
persona;persona
personable;onipa a ɔyɛ onipa
personage;nipasu a ɔyɛ
personal hygiene;ankorankoro ahotew
personal injury;ankorankoro opira
personal pronoun;ankorankoro edinnsiananmu
personal property;ankorankoro agyapade
personal space;ankorankoro atenae
personal trainer;ankorankoro nteteefo
personal;ankorɛankorɛ
personality clash;nipasu mu ntawntawdi
personality disorder;nipasu mu ɔhaw
personality;nipaban
personalization;ankorankoro a wɔyɛ wɔn ade
personalize;yɛ nea ɛfa wo ho
personification;nipasu a wɔde yɛ nnipa
personify;yɛ onipa
personnel;adwumayɛfo
persons;nnipa
perspective;deɛ wohwɛ firi
perspicacious;perspicacious
perspicaciously;wɔ nhumu mu
perspicacity;perspicacity a ɛma wotumi hu ade yiye
perspicuous;a ɛda adi pefee
perspiration;fifiri a ɛba
persuade;korɔkorɔ
persuasion;nsɛm a wɔde gye nkurɔfo adwene
persuasive;a ɛkanyan adwene
persuasively;wɔ ɔkwan a ɛkanyan adwene so
pertain;ɛfa ho
Perth;Perth na ɛwɔ hɔ
pertinacious;pertinacious a ɛyɛ den
pertinent;a ɛfa ho
perturb;perturb
perturbation;basabasayɛ a ɛhaw adwene
Peru;Peru
Perugia;Perugia na ɛwɔ hɔ
peruke;peruke na ɛyɛ
peruse;peruse kenkan
Peruvian;Perufo kasa
pervade;pervade
pervasive;a ɛtrɛw
pervasiveness;a ɛtrɛw
pervy;pervy
pescetarian;pescetarian a ɔyɛ ɔyare mmoawa
peseta;peseta
peso;peso
pessary;pessary a wɔde di dwuma
pessimism;adwemmɔne a wonni
pessimist;obi a onni anidaso
pessimistic;adwenem naayɛ
pest;mmoawa a wɔsɛe nnɔbae
pester;pester a ɔhaw nkurɔfo
pesticide;aduru a wɔde kum mmoawa
pestiferous;ɔyare mmoawa a wɔsɛe nnɔbae
pestilence;ɔyaredɔm
pestle;pestle a wɔde yɛ nneɛma
pesto;pesto
pet shop;afieboa sotɔɔ
pet;ayɛmmoa
peta-;peta- .
petal;petal
petasus;petasus a wɔfrɛ no petasus
Peter Pan syndrome;Peter Pan ɔyare mmoawa
Peter;Petro
Peterson;Peterson na ɔkyerɛwee
petiole;petiole a ɛyɛ den
petit jury;petit asɛnni baguafo
petition;adesrɛ krataa
petitioner;ɔdebisafoɔ
Petrarch;Petrorarch na ɔkyerɛwee
Petrarchan sonnet;Petrarchan sonnet a wɔde kyerɛw nsɛm
Petrarchan;Petrarchan na ɔkyerɛwee
Petrarchism;Petrarchism a wɔde di dwuma
petrel;petrel a wɔfrɛ no petrel
Petri dish;Petri aduan a wɔde yɛ aduan
petrichor;petrichor
petrification;aboɔden abo a wɔde yɛ ade
petrify;petrify
petrochemistry;petrochemistry ho adesua
petrodollar;petrodollar a wɔde yɛ adwuma
petroglyph;abo a wɔakyerɛw so
petroleum jelly;petroleum jelly a wɔde yɛ nneɛma
petticoat;petticoat a wɔde hyɛ
petty bourgeoisie;bourgeoisie nketewa
petty cash;sika nketenkete
petty crime;nsɛmmɔnedi nketenkete
petty theft;korɔnbɔ nketenkete
petty;nketenkete
petunia;petunia a ɛyɛ petunia
pew;pew
pewter;pewter a wɔde yɛ nneɛma
pewterer;pewterer a ɔyɛ adwuma
peyote;peyote a wɔfrɛ no peyote
phablet;phablet a wɔde di dwuma
phagocytosis;phagocytosis a wɔde di dwuma
Phaistos;Phaistos na ɔkyerɛwee
phalanx;phalanx a wɔfrɛ no phalanx
phalarope;phalarope a wɔfrɛ no phalarope
phallic;phallic a wɔfrɛ no phallic
phallicism;ɔbarima ne ɔbea nna ho akɔnnɔ
phallus;phallus a wɔfrɛ no phallus
phanerogam;phanerogam a wɔde di dwuma
phantasmagoria;phantasmagoria a ɛwɔ nipadua no mu
phantom;phantom a ɛyɛ nwonwa
pharaoh;farao
pharaonic;farao deɛ
Pharisee;Farisini
pharmaceutical;nnuru a wɔde yɛ nnuru
pharmaceutically;wɔ nnuruyɛ mu
pharmacist;nnuruyɛfo
pharmacological;nnuru a wɔde yɛ nnuru
pharmacologist;nnuruyɛ ho ɔbenfo
pharmacology;nnuruyɛ ho adesua
pharmacopoeia;nnuru a wɔde yɛ nnuru
pharmacy;nnurutɔnbea
pharyngeal;anom ntini mu
pharyngitis;ahurututu mu yare
pharynx;anom ntini
phase modulation;phase modulation a wɔde yɛ nneɛma
phase;ɔfa
phasmid;phasmid a ɛyɛ den
phasor;phasor
phatic;phatic
Phaëthon;Phaëthon na ɛyɛ adwuma
pheasant;pheasant a wɔfrɛ no pheasant
pheasantry;pheasantry a wɔde di dwuma
phenol;phenol a wɔfrɛ no phenol
phenolic;phenolic a wɔde yɛ nneɛma
phenolphthalein;phenolphthalein a wɔde yɛ nnuru
phenomenal;phenomenal a ɛyɛ nwonwa
phenomenological;phenomenological a ɛfa nneɛma a ɛyɛ nwonwa ho
phenomenology;phenomenology ho adesua
phenomenon;deɛ ɛrekɔ so
phenotype;phenotype a ɛwɔ nipadua no mu
phenotypic;phenotypic a ɛkyerɛ sɛnea nneɛma te
phenyl;phenyl a wɔfrɛ no phenyl
phenylalanine;phenylalanine a wɔde yɛ adwuma
pheromone;pheromone a wɔfrɛ no pheromone
phew;phew
phi;phi
Philadelphia;Philadelphia
philanderer;philanderer a ɔyɛ ɔkwasea
philanthropic;adɔeyɛ
philanthropist;adɔeyɛfo
philanthropy;adɔeyɛ
philatelic;philatelic a wɔde di dwuma
philatelist;philatelist ho ɔbenfo
philately;philately a wɔde di dwuma
Philemon;Filemon
philharmonic;philharmonic a wɔde di dwuma
philia;philia
Philip;Filipo
Philippi;Filipi
Philippians;Filipifo
Philippine eagle;Philippines ɔkɔre
Philippines;Philippines
Philistine;Filistifo
philological;kasa ho nimdeɛ
philologically;kasa ho nimdeɛ mu
philologist;kasa ho ɔbenfo
philology;kasa ho adesua
Philomena;Philomena na ɔkyerɛwee
philosophaster;nyansapɛfo
philosopher's stone;nyansapɛfo ɔbo
philosopher;nyansapɛfo
philosophical;nyansapɛ mu
philosophically;nyansapɛ mu
philosophy;felɔsɔfi
philter;philter
philtrum;philtrum (philtrum) a wɔfrɛ no philtrum
phishing;phishing a wɔde di dwuma
phlebitis;phlebitis a ɛma mogya tu
Phlegethon;Phlegethon a wɔde yɛ adwuma
phlegm;phlegm a ɛyɛ fĩ
phlegmatic;phlegmatic a ɛyɛ fĩ
phloem;phloem a wɔfrɛ no phloem
phlogiston;phlogiston a wɔfrɛ no phlogiston
phlogosis;phlogosis a ɛma mogya tu
Phnom Penh;Phnom Penh na ɔkyerɛwee
phobia;ehu a ɛma obi ho suro
phobophobia;ehu a ɛyɛ hu
Phobos;Phobos a wɔyɛ
phocine;phocine a wɔfrɛ no phocine
phocomelia;phocomelia a wɔfrɛ no phocomelia
Phoenicia;Foinike
Phoenician;Foinikeni
phoenix;phoenix a wɔfrɛ no phoenix
phonation;ɛnne nnyigyei
phone sex;telefon so nna
phone;fon
phoneme;ɛnne nnyigyei
phonetic;ɛnne nnyigyei
phonetically;wɔ ɛnne nnyigyei mu
phonetician;ɛnne nnyigyei ho nimdefo
phonetics;ɛnne nnyigyei ho nimdeɛ
phonic;ɛnne nnyigyei
phonological;ɛnne nnyigyei ho nimdeɛ
phonologist;ɛnne nnyigyei ho ɔbenfo
phonology;ɛnne nnyigyei ho nimdeɛ
phonometer;fonometer a wɔde kyerɛw nsɛm
phonotactics;nnyigyei ho nimdeɛ
phony;atoro
phorbol;phorbol a wɔfrɛ no phorbol
phosphatase;phosphatase a wɔde yɛ aduru
phosphate;phosphate a wɔde yɛ adwuma
phosphatidylinositol;phosphatidylinositol a wɔde yɛ nnuru a wɔfrɛ no phosphatidylinositol
phosphide;phosphide a wɔde yɛ adwuma
phosphofructokinase;phosphofructokinase a wɔde yɛ aduru
phospholipase;phospholipase a wɔde yɛ adwuma
phospholipid;phospholipid a wɔde yɛ nneɛma
phosphoresce;phosphoresce a wɔde yɛ nneɛma
phosphorescence;phosphorescence a wɔde yɛ nneɛma
phosphorescent;phosphorescent a ɛyɛ phosphorescent
phosphoric acid;phosphoric acid a wɔde yɛ aduru a wɔfrɛ no phosphoric acid
phosphorus;phosphorus a wɔfrɛ no phosphorus a wɔfrɛ no phosphorus
phosphorylation;phosphorylation a wɔde yɛ adwuma
photic;photic
photo shoot;mfoninitwa
photo;mfoni
photochemical;photochemical a wɔde yɛ nneɛma
photochemistry;photochemistry ho nimdeɛ
photocopier;mfoninitwa afiri
photocopy;mfonini a wɔde yɛ mfonini
photodiode;photodiode a wɔde di dwuma
photodisintegration;mfonini a ɛpaapae
photoelectric cell;photoelectric cell a ɛma anyinam ahoɔden
photoelectric effect;photoelectric nkɛntɛnso a ɛwɔ hɔ
photoelectric;photoelectric a ɛma anyinam ahoɔden
photoemission;photoemission a ɛma mframa bɔ kɛse
photoemitter;mfoninitwa afiri a ɛma hann
photofluorography;mfonini a wɔde fluorografi yɛ
photogenic;mfonini a wɔde yɛ mfonini
photograph;mfonini no
photographer;mfoninitwafo
photographic;mfoninitwa
photographically;mfoninitwa kwan so
photography;mfoninitwa
photoisomerization;photoisomerization a wɔde yɛ nneɛma
photojournalism;mfoninitwa ho nsɛm ho amanneɛbɔfo
photojournalist;mfonini ho nsɛm ho amanneɛbɔfo
photoluminescence;photoluminescence a ɛma hann yɛ hyew
photolysis;photolysis a wɔde hyɛ nipadua mu
photomask;mfonini akataso
photometer;mfoninitwa afiri
photomultiplier;mfonini a ɛdɔɔso
photon;photon a wɔfrɛ no photon
photonics;photonics ho nimdeɛ
photophobia;mfonini ho suro
photophosphorylation;photophosphorylation a wɔde yɛ adwuma
photoreceptor;mfoninitwa afiri a wɔde gye mfonini
photosensitive;a ɛma hann te nka
photoshop;mfoninitwa afiri
photosphere;mfoninitwa afiri
photosynthesis;photosynthesis a wɔde yɛ nneɛma
photosynthetic;photosynthetic a ɛma hann yɛ adwuma
phototoxicity;phototoxicity a ɛma obi nya awuduru
phototube;mfoninitwa afiri
photovoltaic;photovoltaic a wɔde yɛ adwuma
phrasal verb;kasasin mu adeyɛ asɛm
phrase book;kasasin nhoma
phrase;ɔkasasini
phraseology;nsɛmfua a wɔde di dwuma
phreatic;phreatic a wɔde di dwuma
phrenology;phrenology ho adesua
Phrygia;Frigia na ɛwɔ hɔ
Phrygian cap;Frigiafo kyɛw
Phrygian;Frigiafo
phthalate;phthalate a wɔde yɛ aduru
phthalic;phthalic a ɛyɛ phthalic
phycology;abɔde mu nneɛma ho adesua
phylactery;phylactery a wɔde yɛ nneɛma
phylloquinone;phylloquinone a wɔde yɛ aduru
phyllosilicate;phyllosilicate a wɔde yɛ aduru
phylogenetics;abusua mu awosu ho adesua
phylogeny;phylogeny a ɛfa abusua ho
phylum;phylum a ɛyɛ abusua
physalis;physalis a ɛma nipadua no yɛ adwuma
physic nut;honam fam nut
physical chemistry;honam fam nnuruyɛ
physical education;apɔw-mu-teɛteɛ
physical examination;nipadua mu nhwehwɛmu
physical law;honam fam mmara
physical;anisoɔ
physically;honam fam
physician;oduruyɛfo
physicist;abɔde mu nneɛma ho nimdefo
physicochemical;abɔde mu nnuruyɛ
physics;abɔde mu nneɛma ho adesua
physiography;nipadua mu nkwaadɔm ho adesua
physiological;nipadua mu nneɛma ho nimdeɛ
physiologically;wɔ nipadua mu
physiologist;nipadua mu nneɛma ho ɔbenfo
physiology;nipadua mu nkwaadɔm ho adesua
physiotherapist;nipadua mu ayaresa ho ɔbenfo
physiotherapy;nipadua mu ayaresa
phyto-;phyto- .
phytochemical;phytochemical a wɔde yɛ nnuru
phytoclimatic;phytoclimatic a ɛwɔ hɔ
phytomining;phytomining a wɔde yɛ adwuma
phytopathogen;phytopathogen a ɛyɛ ɔyare mmoawa
phytophagous;phytophagous a wɔde di dwuma
phytoplankton;afifide a wɔfrɛ no phytoplankton a wɔfrɛ no phytoplankton
phytosanitary;afifide mu ahotew ho
phytosociology;afifide mu asetra ho adesua
phytosterol;phytosterol a wɔde yɛ aduru
phytotomy;phytotomy a wɔde yɛ nneɛma
pi;pi
pia mater;pia mater
Piacenza;Piacenza na ɔkyerɛwee
Piacenzian;Piacenzian na ɔkyerɛwee
pianissimo;pianissimo a wɔde di dwuma
pianist;piano sankubɔfo
piano bench;piano benkyi so
piano roll;piano roll a wɔde bɔ nnwom
piano;piano a wɔde bɔ nnwom
pica;pica
picador;picador na ɛyɛ
picaresque;picaresque a wɔde kyerɛw nsɛm
picaroon;picaroon a wɔfrɛ no picaroon
Picassoesque;Picassofo a wɔyɛ adwuma wɔ hɔ
piccolo;piccolo a wɔfrɛ no piccolo
Pichilemu;Pichilemu na ɔkyerɛwee
pick on;pick on
pick one's nose;paw obi hwene
pick up the phone;fa telefon no kɔ
pick up;kɔ fa
pick-up line;afiri a wɔde fa nneɛma
pick;fa
pickaxe;pickaxe a wɔde yɛ nneɛma
picket;picket a wɔde yɛ adwuma
pickle;pickle a wɔde yɛ nneɛma
pickpocket;kotoku mu ɔfowfo
pickup artist;pickup mfoniniyɛfo
pickup truck;lɔre a wɔde fa nneɛma
picnic site;piknik beae
picnic;piknik a wɔyɛ
pico de gallo;pico de gallo na ɛyɛ
picometre;picometre a wɔde kyerɛw nsɛm
picric acid;picric acid a wɔde yɛ aduru
pictogram;mfonini a wɔde yɛ mfonini
Pictor;Mfoniniyɛfo
picture book;mfonini nhoma
picture;mfoni
picturesque;mfonini a ɛyɛ fɛ
pidgin;pidgin a wɔde di dwuma
pie chart;pie chart a wɔde kyerɛw nsɛm
pie iron;pie dade a wɔde yɛ nneɛma
pie;pie
piebald;piebald na ɛyɛ
piece of cake;keeki asinasin
piece of furniture;afã bi a wɔde yɛ dan mu nneɛma
piece of paper;krataa asinasin bi
piece of shit;asinasin a ɛyɛ shit
piece together;asinasin a wɔaka abom
piece work;asinasin adwuma
piece;fa
piecemeal;asinasin a wɔayɛ no asinasin
Piedmont;Piedmont na ɔkyerɛwee
Piedmontese;Piedmontfo kasa mu
piem;piem
piemontite;piemontite a wɔde yɛ adwuma
pier;hyɛn gyinabea
pierce;akuturuku
piercing;a wɔde hyɛ obi mu
Pieria;Pieria na ɔkyerɛwee
piety;nyamesom pa
piezoelectric;piezoelectric a wɔde yɛ adwuma
piezoelectricity;piezoelectricity a ɛma anyinam ahoɔden
piezomagnetism;piezomagnetism a ɛma nipadua no yɛ adwuma
piezometer;piezometer a wɔde kyerɛ sɛnea nneɛma te
piffle;piffle a wɔde yɛ adwuma
pig iron;mprako dade
pig Latin;mprako Latin kasa
pig;prako
pigeon loft;mmorɔnoma dan a ɛwɔ soro
pigeon;aburuburo
pigeonhole;mmorɔnoma tokuru
piggy bank;mprako sikakorabea
piggyback;mprako a wɔde wɔn ho hyɛ mu
piglet;mprako ba
pigment;aduru a wɔde yɛ aduru
pigsty;mprako dan
pigtail;mprako dua
Pikachu;Pikachu na ɔkyerɛwee
pike;pike a wɔfrɛ no pike
pilaster;pilaster a wɔde ayɛ adum
Pilate;Pilato
pilcrow;pilcrow a wɔde di dwuma
pile up;pile up
pile-up;pile-up a wɔaboaboa ano
pile;boa ano
pileated gibbon;gibbon a wɔde pileated ayɛ
pilfer;korɔnbɔfo
pilgrim;ɔkwantufo
pilgrimage;akwantuo ho akwantuo
pill bug;pill bug a ɛyɛ ɔyare mmoawa
pill to swallow;pill a wɔde mene
pill;pill
pillage;pillage a wɔfow nneɛma
pillager;ɔfowfo a ɔfow nneɛma
pillar;odum
Pillars of Hercules;Hercules Adum a Wɔde Yɛ Adwuma
pillbox;pillbox
pillory;adum a wɔde yɛ adum
pillow case;pillow case
pillow fight;pillow ntɔkwaw
pillow;sumiiɛ
pilot fish;pilot fish
pilot light;pilot kanea
pilot whale;pilot whale a wɔfrɛ no pilot whale
pilot;wienhyɛnkani
pimiento;pimiento na ɛyɛ adwuma
pimp;pimp a ɔyɛ pimp
pimping;pimping a wɔde wɔn ho hyɛ mu
pimple;akisikuru
pin;paneɛ
pinata;pinata
pince-nez;pince-nez na ɔkyerɛwee
pincers;pincers a wɔde yɛ nneɛma
pinch;pinch
pinchbeck;pinchbeck a ɛyɛ pintinn
pincushion;pincushion a wɔde hyɛ mu
Pindar;Pindar na ɔkyerɛwee
pine needle;pine aduru a wɔde yɛ ade
pine nut;pine nut a wɔde yɛ aduan
pine;pine a wɔfrɛ no pine
pineal gland;pineal ntini a ɛyɛ den
pineapple cake;ananse keeki a wɔde yɛ
pineapple;abrɔbɛ
pinecone;pinecone a wɔde yɛ nneɛma
pinenut;pinenut a ɛyɛ fɛ
pinewood;pine nnua a wɔde yɛ
pink jersey;atade a ɛyɛ pink
pink slime;slime a ɛyɛ pink
pink;penke
pinkish;pinkish a ɛyɛ pink
pinna;pinna
pinnacle;pinnacle a ɛwɔ soro
Pinocchian;Pinocchian na ɔkyerɛwee
Pinocchio;Pinocchio na ɔkyerɛwee
Pinot Noir;Pinot Noir na ɔkyerɛwee
pinout;pinout a wɔde kyerɛ
pinprick;pinprick a wɔde hyɛ mu
pins and needles;pin ne nnade a wɔde yɛ nneɛma
pint;pint
pinwheel;pinwheel a ɛyɛ pinwheel
pinworm;pinworm a wɔfrɛ no pinworm
Pinyin;Pinyin a wɔfrɛ no Pinyin
pioneer;ɔkwampaefo
pious;nyamesomfo
piously;nyamesom pa mu
pip;pip
pipe dream;pipe daeɛ
pipe;paipu
pipefish;pipefish a wɔfrɛ no pipefish
pipeline;nsuo afiri a wɔde fa nsuo mu
pipette;pipette a wɔde yɛ adwuma
pipit;pipit
pipérade;pipérade a wɔde di dwuma
piquant;piquant
pique;pique a ɛyɛ hu
piracy;adwowtwafo a wɔyɛ adwuma
Piraeus;Piraeus na ɔkyerɛwee
Pirandellian;Pirandellian na ɔkyerɛwee
piranha;piranha a wɔfrɛ no piranha
pirate ship;adwowtwafo hyɛn
pirate;adwowtwafo
Pisa;Pisa na ɔkyerɛwee
Pisces;Pisces a ɛwɔ hɔ
Piscis Austrinus;Piscis Austrinus a ɔyɛ ɔkraman
piss oneself;piss obi ho
piss;piss
pissass;pissass a ɛyɛ den
pissed as a newt;pissed sɛ newt
pissed off;pissed off
pissed;pissed
pistachio;pistachio a wɔde yɛ aduan
pistil;pistil
Pistoia;Pistoia na ɔkyerɛwee
pistol;tuo a wɔde tuo
piston;piston
pit lane;pit lane a ɛwɔ hɔ
pit stop;pit stop
pit viper;pit viper a ɔyɛ ɔkraman
pit;amena donkodonko
Pitcairn Islands;Pitcairn Nsupɔw so
pitch accent;ɛnne nnyigyei a wɔde kasa
pitch-black;pitch-black a ɛyɛ tuntum
pitch;prama
pitcher;pitcher a wɔde ahyɛ mu
pitchfork;pitchfork a wɔde hyɛ mu
piteous;mmɔborohunu
pitfall;afiri a wɔde fa nnipa
pith;pith
pithy;asɛm a ɛyɛ tiawa
pitiful;mmɔborohunu
pitiless;a mmɔborohunu nnim
pitot tube;pitot afiri a wɔde fa nsu mu
Pittacus;Pittacus na ɔkyerɛwee
pittance;pittance a ɛyɛ ketewaa bi
pitter;pitter, a ɛyɛ akuturuku
pituitary gland;pituitary gland a ɛwɔ nipadua no mu
pituitary;pituitary a ɛwɔ nipadua no mu
pity;mmɔbɔ
pivotal;pivotal
pixel;piksel
pixelate;pixelate a wɔde yɛ adwuma
pixelated;pixelated a wɔde ahyɛ mu
pizza;pizza a wɔde yɛ pizza
pizzeria;pizzeria a wɔtɔn nneɛma wɔ hɔ
pièce de résistance;pièce de ɔsɔretia a wɔde gyina hɔ ma
placard;krataa a wɔde kyerɛw krataa
placate;placate a ɛma obi ho dwo
place mat;place mat
place of worship;beae a wɔsom
place setting;beae a wɔde besisi hɔ
place;beaeɛ
placebo effect;placebo nkɛntɛnso
placebo;placebo a wɔde ma
placeholder;beae a wɔde hyɛ mu
placenta;placenta a ɛwɔ awotwaa mu
placental;awotwaa mu
placid;a ɛyɛ komm
placidity;a ɛyɛ komm
plagiarism;nsɛm a wɔwia
plagiarist;obi a ɔwia nneɛma
plagioclase;plagioclase a wɔde hyɛ nipadua mu
plague;yareɛ
plaice;plaice a ɛyɛ fɛ
plaid;plaid a wɔde di dwuma
Plain of Jars;Nkukuo a ɛwɔ asasetaw so
plain;pradada
plainclothes;ntade a ɛnyɛ den
plainsong;nnwom a ɛnyɛ den
plaintiff;ɔdebɔneyɛfo
plaintive;anwiinwii
plait;plait
plan;nhyehyɛeɛ
planar;planar a ɛyɛ planar
planarian;planarian a wɔde di dwuma
planche;planche a wɔde yɛ adwuma
Planck's constant;Planck de no yɛ nea ɛkɔ so daa
plane geometry;wimhyɛn geometry ho adesua
plane;pradada
Planet X;Okyinnsoromma X
planet;okyinnsoromma yi
planetarium;okyinnsoromma ho adesua
planetary nebula;okyinnsoromma so nebula
planetary;okyinnsoromma so
planetology;okyinnsoromma ho adesua
plangent;plantgent a wɔde yɛ nneɛma
planimeter;planimeter a wɔde di dwuma
plank;plank a wɔde yɛ adwuma
planking;planking a wɔde yɛ nneɛma
planktology;planktology ho adesua
plankton;plankton a wɔfrɛ no plankton
planned obsolescence;nhyehyɛe a wɔayɛ sɛ ne bere atwam
planned;ayɛ ho nhyehyɛe
plant;dua
plantain;plantain a wɔfrɛ no plantain
plantar fascia;nan ase ntini a ɛyɛ den
plantar fasciitis;nan ase ntini mu yare
plantation;mfuw a wɔde yɛ adwuma
plantigrade;plantigrade a ɛyɛ afifide
plaque;plaque a wɔde ahyɛ mu
plasma;plasma
plasmatic;plasmatic a wɔde yɛ adwuma
plasmid;plasmid a wɔde yɛ nneɛma
plaster cast;plaster a wɔde ayɛ
plaster of Paris;plaster a wɔde ayɛ Paris
plaster;plaster a wɔde yɛ nneɛma
plasterwork;plaster adwuma a wɔde yɛ adwuma
plastic art;plastic adwinni
plastic bag;plastic bag a wɔde yɛ nneɛma
plastic surgery;plastic oprehyɛn a wɔyɛ
plastic;plastic a wɔde yɛ nneɛma
plasticine;plasticine a wɔde yɛ nneɛma
plasticity;plasticity a wɔde yɛ nneɛma
plasticizer;plasticizer a wɔde yɛ nneɛma
plastid;plastid a wɔde yɛ nneɛma
plate tectonics;mprɛte so tectonics
plate;prɛte
plateau;asasetaw so
platelet;mogya nkwammoaa a ɛma mogya tu
platform game;asɛnka agua so agodie
platform;prama
Platine;Platine na ɔkyerɛwee
platiniferous;platiniferous a wɔde yɛ ade
platinous;platinous a ɛyɛ platinous
platinum;platinum a wɔde yɛ adwuma
platitude;platitude a ɛyɛ nokware
