a;that
adekoradan mu adwumayɛfo;warehouseman
adekyerɛ;tuition
adela na ɔkyerɛwee;Adela
adelaide na ɛwɔ hɔ;Adelaide
adelie penguin a ɔyɛ ɔkraman;Adelie penguin
ademude a wɔhwehwɛ;treasure hunt
ademude adaka;treasure chest
ademude ho mfonini;treasure map
aden;Aden
adenectomy a wɔde yɛ ade;adenectomy
adenim;brilliant
adenine a wɔde yɛ adwuma;adenine
adenitis a ɛma obi nya yare;adenitis
adenoid a ɛyɛ den;adenoid
adenoidectomy a wɔde yɛ ade;adenoidectomy
adenoma a ɛma obi nya adenoma;adenoma
adenosine a wɔde yɛ adwuma;adenosine
adepa berɛ;vintage
adept a ɔyɛ ade;adept
adesa;shortage
adesamma;humankind
adesamma;mankind
adesamma abusua;human race
adesamma su;humanity
adesie;construction
adesoa;burden
adesoa;load
adesoa a wɔde ahyɛ mu;laden
adesoa a wɔma so;weightlifting
adesoa a ɛboro so;overload
adesoa a ɛyɛ den;burdensome
adesoa a ɛyɛ den;onerous
adesrɛ;plea
adesrɛ a wɔde bisabisa nsɛm;interplea
adesrɛ krataa;petition
adesrɛfo nhyehyɛe;mendicant order
adessive asɛm no;adessive case
adesua a edi kan;undergraduate
adesua a wɔde sua adwuma;apprenticeship
adesua a ɛba fam;understudy
adesua akyi adesua;extracurricular
adesua asoɛe;academic institution
adesua awiei;graduation
adesua curve;learning curve
adesua dan mu;study hall
adesua mu;academic
adesua mu dɛmdi;learning disability
adesua nhoma;textbook
adesua nhyehyɛe;curricular
adesua nhyehyɛe;curriculum
adesua nhyehyɛe;lesson plan
adesua nhyehyɛe;syllabus
adesua nhyehyɛe a ɛfa nkwa ho;curriculum vitae
adesuadan mu;academy
adesuadan mu;classroom
adesuadeɛ;course
adesuadeɛ;lesson
adesuadeɛ;subject
adesuakuw a ɛba fam;lower class
adesuakuw mu ahoɔyaw;class envy
adesuakuw mu akodi;class warfare
adesuakuw mu apereperedi;class struggle
adesuakuw mu aseresɛm;class clown
adesuakuw mu mfonini;class diagram
adesuakuw mu nkyekyem;classism
adesuakuw mu ɔbenfo;classist
adesuawie ho agyiraehyɛde;graduation mark
adesunu;sight
adetɔ a wɔde di dwuma;consumer good
adetɔ a ɛyɛ nhyɛ;compulsory purchase
adetɔ bag;shopping bag
adetɔ ho adwene;consumerism
adetɔ teaseɛnam;shopping cart
adetɔ-mu;buy-in
adetɔfo;buyer
adetɔfo;consumer
adetɔfo;shopper
adetɔfo bo a wɔde kyerɛ;consumer price index
adetɔfo mmoa;customer support
adetɔfo som adwuma;customer service
adetɔn;sale
adetɔn a ɛyɛ pɛpɛɛpɛ;net sales
adetɔn ho asɛm;sales pitch
adetɔn ho asɛm;selling point
adetɔn kɛse;wholesale
adetɔn tẽẽ;direct selling
adetɔnbea;mall
adetɔnfo;salesman
adetɔnfo;seller
adetɔnfo a ɔtu kwan;travelling salesman
adetɔnfo a ɔtɔn nneɛma akɛse;wholesaler
adetɔnfo a ɔyɛ adetɔnfo;salesperson
adetɔni;customer
adetɔnni;vendor
adewura;owner
adeyɛ;art
adeyɛ;occasion
adeyɛ;production
adeyɛ a onyankopɔn yɛ;act of God
adeyɛ a wɔde ko tia;countermeasure
adeyɛ a wɔnyɛ;inaction
adeyɛ a ɛnyɛ hwee;passivity
adeyɛ a ɛte ase;live action
adeyɛ a ɛyɛ adwuma;pragmatic
adeyɛ asɛm;adverbial
adeyɛ asɛm;participle
adeyɛ asɛm;verb
adeyɛ asɛm a atwam;past participle
adeyɛ asɛm a wɔde di dwuma daa;regular verb
adeyɛ asɛm a ɛboa;auxiliary verb
adeyɛ asɛm a ɛkyerɛ biribi;reflexive verb
adeyɛ asɛm a ɛkyerɛ biribi;transitive verb
adeyɛ asɛm a ɛkyerɛ edinnsiananmu;pronominal verb
adeyɛ asɛm a ɛnkɔ so daa;irregular verb
adeyɛ asɛm a ɛnyɛ nea wɔde di dwuma;intransitive verb
adeyɛ asɛm a ɛtɔ sin;defective verb
adeyɛ asɛm kasasin;verb phrase
adeyɛ mfonini;action figure
adeyɛ mmɔho abien;double act
adeyɛ nhyehyɛe;action plan
adeyɛ sini;action movie
adeɛ;commodity
adeɛ;element
adeɛ;item
adeɛ;object
adeɛ;stuff
adeɛ;thing
adhan;adhan
adhesion a ɛbata ho;adhesion
adhocracy a wɔde di dwuma;adhocracy
adi nkunim;accomplished
adiabatic a wɔde di dwuma;adiabatic
adida;exhibition
adida;identify
adida;identity
adidi;communion
adidi akyi;postprandial
adidi krado;eucharistic
adidi kronkron;Eucharist
adidi mu adidi;gluttony
adidi mu haw;eating disorder
adidibea;barn
adidibea;cafeteria
adidibea;dining room
adidibea;eatery
adidibea;graze
adidibea;pasture
adidibea;refectory
adidibea;restaurant
adidibea nkongua;dining chair
adididan mu kabinet;kitchen cabinet
adidie;diet
adidie;dinner
adidifo;eater
adidifo;glutton
adidifo;gluttonous
adidifo a wodi nhabannuru;herbivore
adidifo a wɔwea;ruminant
adieu;adieu
adifudepɛ;avarice
adifudepɛ;corruption
adifudepɛ;covetousness
adifudepɛfo;avaricious
adifudepɛfo;greedyguts
adige na ɔkyerɛwee;Adige
adimensional a wɔde di dwuma;adimensional
adipate a ɛyɛ den;adipate
adipic;adipic
adipic acid a ɛwɔ nipadua no mu;adipic acid
adipocere a ɛwɔ nipadua no mu;adipocere
adiponectin a wɔde yɛ aduru;adiponectin
adipose a ɛyɛ srade;adipose
adipose fin a ɛyɛ srade;adipose fin
adiwo;compound
adiwo hɔ;courtyard
adiyisɛm;apparition
adiyisɛm;revelation
adiyisɛm ho asɛm;apocalypse
adiyisɛm mu nsɛm;apocalyptic
adjoint a ɛka ho;adjoint
adjourn a wɔde bɛto nkyɛn;adjourn
adjournment a wɔde bɛto nkyɛn;adjournment
adjunct a wɔde ka ho;adjunct
adjuvant (ɔboafoɔ).;adjuvant
admiral a ɔhwɛ po so ahyɛn no so;admiral of the fleet
admiral a ɔyɛ ɔsraani panyin;admiral
admiralty a ɔyɛ adwuma;admiralty
admiralty mmara;admiralty law
admission a wɔde gye obi;admission
admittance a wɔde ma;admittance
adnate a ɛyɛ den;adnate
adobe a wɔfrɛ no adobe;adobe
adoe;monkey
adolph na ɔkyerɛwee;Adolph
adom;grace
adom a ɛyɛ fɛ;graceful
adom a ɛyɛ fɛ;gracefulness
adom nkyerɛwde;grace note
adonis na ɔkyerɛwee;Adonis
adore;adore
adorn;adorn
adrenal a ɛwɔ nipadua no mu;adrenal
adrenalectomy a wɔde twa adrenalectomy;adrenalectomy
adrenaline a wɔde yɛ adwuma;adrenaline
adrenergic a ɛma obi nya adrenergic;adrenergic
adrenocorticotropic a ɛma nipadua no yɛ adwuma;adrenocorticotropic
adrian na ɔkyerɛwee;Adrian
adriatic asase so;Adriatic
adriatic po no mu;Adriatic Sea
adrift a wɔde wɔn ho ahyɛ mu;adrift
adrɛse;address
adsl;ADSL
adstratum a ɛyɛ adwuma;adstratum
aduaba;fruit
aduaba;plum
aduaba a wɔabara;forbidden fruit
aduaba kɔn;stalk
aduan a wɔde di ntwahonan so;meals on wheels
aduan a wɔde ka ho;supplement
aduan a wɔde kɔla yɛ;food colouring
aduan a wɔde ma;alimentary
aduan a wɔde ma;catering
aduan a wɔde ma;fodder
aduan a wɔde ma boro so;overfeed
aduan a wɔde yɛ aduan;cuisine
aduan a wɔde yɛ aduan;food processor
aduan a wɔmfa nni dwuma yiye;indigestion
aduan a wɔyam;digestion
aduan a ɛboro so;superfood
aduan a ɛyɛ dɛ;satiety
aduan asɛnnibea;food court
aduan ho nimdeɛ;dietetic
aduan ho nimdeɛ;food literacy
aduan ho wɛbsaet;food web
aduan ho ɔbenfo;dietitian
aduan kuruwa;food bowl
aduan mu ahoɔdennuru;dietary fibre
aduan mu nhyehyɛe;digestive system
aduan mu ntini a ɛma aduan mu yɛ den;digestive tract
aduan nkɔnsɔnkɔnsɔn;food chain
aduan pa a wonnya nni;malnourished
aduan pa a wonnya nni;malnutrition
aduan pa a wonnya nni;undernourished
aduan tekiti a wɔde ma;meal ticket
aduan titiriw;main course
aduan titiriw;main dish
aduanan;forty
aduanan abiɛsa;forty-three
aduanan anan;forty-four
aduanan anum;forty-five
aduanan ason;forty-seven
aduanan awotwe;forty-eight
aduanan biako;forty-one
aduanan biako a edi kan;forty-first
aduanan mmienu;forty-two
aduanan nkron;forty-nine
aduanan nsia;forty-six
aduane;dish
aduane;food
aduane;meal
aduanenoa;cooking
aduanenoa akadeɛ;recipe
aduannoa a wɔde noa aduan;cookery
aduannoa ho adesua;gastronomic
aduannoa ho adesua;gastronomy
aduannoa ho nimdeɛ;culinary
aduannoa nhoma;cookbook
aduannoafo;chef
aduannuru a wɔde ma;nutritional
aduannuru a ɛma ahoɔden;nutrient
aduannuru a ɛma ahoɔden;nutritious
aduantɔnfo;grocer
aduasa;thirty
aduasa abiɛsa;thirty-three
aduasa anan;thirty-four
aduasa anum;thirty-five
aduasa ason;thirty-seven
aduasa awotwe;thirty-eight
aduasa biako;thirty-one
aduasa mmienu;thirty-two
aduasa nkron;thirty-nine
aduasa nsia;thirty-six
aduhuam;frankincense
aduhuam;incense
aduhuam aduru;censer
adularia a ɛwɔ hɔ;adularia
adulator;adulator
adum;off
adum a wɔde yɛ adum;pillory
adunc;adunc
aduokron;ninety
aduonu;twenty
aduonu abiɛsa;twenty-three
aduonu anan;twenty-four
aduonu anum;twenty-five
aduonu anum to;twenty-five to
aduonu awotwe;twenty-eight
aduonu baako;twenty-one
aduonu mmienu;twenty two
aduonu mmienu;twenty-two
aduonu ne biribi;twentysomething
aduonu nkron;twenty-nine
aduonu nnum awotwe;twenty-five-eight
aduonu nsia;twenty-six
aduonu nson;twenty-seven
aduonu to;twenty to
aduonum;fifty
aduonum abien;fifty-two
aduonum abien a ɛto so abien;fifty-second
aduonum abiɛsa;fifty-three
aduonum abiɛsa mu;fifty-third
aduonum akron;fifty-nine
aduonum anan;fifty-four
aduonum anum;fifty-five
aduonum awotwe;fifty-eight
aduonum baako a ɛtɔ so aduonum baako;fifty-first
aduonum biako;fifty-one
aduonum nsia;fifty-six
aduonum nson;fifty-seven
aduosia;sixty
aduosia abien;sixty-second
aduosia abien;sixty-two
aduosia abiɛsa;sixty-three
aduosia anan;sixty-four
aduosia anum;sixty-five
aduosia awotwe;sixty-eight
aduosia biako;sixty-first
aduosia biako;sixty-one
aduosia nkron;sixty-nine
aduosia nsia;sixty-six
aduosia nson;sixty-seven
aduro;medicine
aduroka;painting
aduru a ekum adwenemhaw;antidepressant
aduru a ekum akisikuru;antiemetic
aduru a ekum awuduru;antitoxic
aduru a ekum awuduru;antitoxin
aduru a ekum dopaminergic;antidopaminergic
aduru a ekum fifiri;antiperspirant
aduru a ekum histamini;antihistaminic
aduru a ekum mmoawa;bactericide
aduru a ekum mogya a ɛtwetwe mogya;anticoagulant
aduru a ekum nsu mu nsu;antidiuretic
aduru a ekum nwini;antifreeze
aduru a ekum ɔhyew;antipyretic
aduru a ekum ɔyare mmoawa;antibacterial
aduru a ekum ɔyare mmoawa;antibiotic
aduru a ekum ɔyare mmoawa;antiproliferative
aduru a ekum ɔyare mmoawa;antiseptic
aduru a wɔde da;sleeping pill
aduru a wɔde dadaa;hypnotism
aduru a wɔde dadaa obi;hypnotherapy
aduru a wɔde di kan yɛ;premedication
aduru a wɔde gye wɔn ani;recreational drug
aduru a wɔde hohoro ano;mouthwash
aduru a wɔde hohoro nneɛma ho;detergent
aduru a wɔde hwɛ urethroscope;urethroscope
aduru a wɔde hyɛ ano;lipstick
aduru a wɔde hyɛ nipadua mu;embalm
aduru a wɔde hyɛ nipadua mu;embalmer
aduru a wɔde hyɛ nsu mu;diuretic
aduru a wɔde kum akisikuru;anaesthesiology
aduru a wɔde kum akisikuru;anesthetization
aduru a wɔde kum akisikuru;anesthetize
aduru a wɔde kum anthelmintic;anthelmintic
aduru a wɔde kum mmadwoa;spermicide
aduru a wɔde kum mmoawa;disinfectant
aduru a wɔde kum mmoawa;pesticide
aduru a wɔde kum mmoawa a wɔsɛe nnɔbae;parasiticide
aduru a wɔde kum nipadua no;anaesthesia
aduru a wɔde kum nipadua no;anaesthetic
aduru a wɔde kum nipadua no;anesthesia
aduru a wɔde kum nipadua no;anesthetic
aduru a wɔde kum nipadua no nyinaa;general anesthetic
aduru a wɔde kum nipadua no wɔ mpɔtam hɔ;local anesthetic
aduru a wɔde kum nkoekoemmoa;insecticide
aduru a wɔde kum wura;herbicide
aduru a wɔde kum ɔyare mmoawa;antidote
aduru a wɔde kum ɛyaw;analgesia
aduru a wɔde kum ɛyaw;analgesic
aduru a wɔde kum ɛyaw;painkiller
aduru a wɔde kyekyere nipadua no ho;bandage
aduru a wɔde nkata ade so;adhesive capsulitis
aduru a wɔde pam nnipa;repellent
aduru a wɔde petepete mmoawa so;bug spray
aduru a wɔde petepete so;smear
aduru a wɔde petepete so;spray
aduru a wɔde petepete ti nhwi so;hair spray
aduru a wɔde petepete ɛmo so;pepper spray
aduru a wɔde sa yare;curative
aduru a wɔde sa yare;panacea
aduru a wɔde sa yare;potion
aduru a wɔde sa yare;salve
aduru a wɔde sesa sẽ;orthodontic
aduru a wɔde sew sẽ;toothpaste
aduru a wɔde siw akisikuru ano;laxative
aduru a wɔde siw owia ano;sunscreen
aduru a wɔde siw yare ano;prophylactic
aduru a wɔde siw yare ano;prophylaxis
aduru a wɔde tew hua ho;deodorant
aduru a wɔde tew nneɛma ho;purgative
aduru a wɔde twitwiw nipadua no;massage therapy
aduru a wɔde twitwiw nipadua no;massage
aduru a wɔde twitwiw sẽ;dentifrice
aduru a wɔde twitwiw sẽ;toothpick
aduru a wɔde yi nkekae fi hɔ;stain remover
aduru a wɔde yi nnadewa a wɔde yɛ nnadewa;nail polish remover
aduru a wɔde yiyi nipadua no mu;exfoliant
aduru a wɔde yiyi wɔn ho;striptease
aduru a wɔde yɛ ade kɔkɔɔ murex;purple dye murex
aduru a wɔde yɛ aduan;seasoning
aduru a wɔde yɛ aduru;fermentation
aduru a wɔde yɛ aduru;pigment
aduru a wɔde yɛ aduru;solvent
aduru a wɔde yɛ aduru;tenderloin
aduru a wɔde yɛ aduru a ɛyɛ huam;aromatherapy
aduru a wɔde yɛ ahosiesie;cosmetic
aduru a wɔde yɛ apɔw-mu-teɛteɛ;chiropractic
aduru a wɔde yɛ sẽ a wɔde yɛ sẽ;denture cream
aduru a wɔde yɛ ti nhwi;hair conditioner
aduru a wɔfrɛ no antheridium;antheridium
aduru a wɔkyerɛw ma obi;prescription drug
aduru a ɛbɔ ho abien;double agent
aduru a ɛko tia aduru;anticaking agent
aduru a ɛko tia akisikuru;anticatabolic
aduru a ɛko tia awo;antinatalist
aduru a ɛko tia mmoawa a wɔsɛe nnɔbae;antiparasitic
aduru a ɛko tia taurine;antitaurine
aduru a ɛko tia utopia;antiutopian
aduru a ɛko tia ɔyare mmoawa;antioxidant
aduru a ɛma dadwen brɛ ase;anxiolytic
aduru a ɛma kokoram ba;carcinogen
aduru a ɛma nipadua no tumi ko tia nyarewa;immunosuppressant
aduru a ɛma nipadua no yɛ adwuma;adermatoglyphia
aduru a ɛma nneɛma yɛ adwuma wɔ soro;surfactant
aduru a ɛma nneɛma yɛ mmerɛw;emollient
aduru a ɛma nsu mu yɛ den;decongestant
aduru a ɛma nsu yɛ hyew;moisturising cream
aduru a ɛma nsu yɛ hyew;moisturizer
aduru a ɛma nyinsɛn gu;abortifacient
aduru a ɛma obi da;hypnotic
aduru a ɛma obi dwo;sedative
aduru a ɛma obi ho dwo no;palliative
aduru a ɛma obi ntumi nhyɛ ne ho so;incontinence pad
aduru a ɛma obi nya nna ho akɔnnɔ;aphrodisiac
aduru a ɛma obi nya ɔyare mmoawa;coprophilia
aduru a ɛma onwini;coolant
aduru a ɛma ɛyɛ dɛ;sweetener
aduru a ɛyɛ dɛ;sweet gum
aduru a ɛyɛ hu;malignant
aduru-ne nyinaa;cure-all
aduruyɛ a wɔde yɛ akyide;aversion therapy
aduruyɛ a ɛma obi ho yɛ no hyew;allergology
aduruyɛ bɔɔl;medicine ball
aduruyɛ ho abakɔsɛm;medical history
aduruyɛ ho adansedi krataa;medical certificate
aduruyɛ ho amanneɛbɔ;medical report
aduruyɛ mu;medicinal
aduruyɛ mu nsrahwɛ;medical tourism
aduruyɛ mu sɔhwɛ;clinical trial
aduruyɛ sukuu;medical school
aduruyɛdan mu;laboratory
aduruyɛfo a ɔhwɛ aduru a wɔde twitwiw nipadua no;massage therapist
aduɔkron abiɛsa;ninety-three
aduɔkron anan;ninety-four
aduɔkron anum;ninety-five
aduɔkron ason;ninety-seven
aduɔkron awotwe;ninety-eight
aduɔkron baako;ninety-one
aduɔkron mmienu;ninety-two
aduɔkron nkron;ninety-nine
aduɔkron nsia;ninety-six
aduɔson;seventy
aduɔson abiɛsa;seventy-three
aduɔson anan;seventy-four
aduɔson awotwe;seventy-eight
aduɔson baako;seventy-one
aduɔson baako a ɛtɔ so aduɔson baako;seventy-first
aduɔson mmienu;seventy-two
aduɔson nkron;seventy-nine
aduɔson nnum;seventy-five
aduɔson nsia;seventy-six
aduɔson nson;seventy-seven
aduɔwɔtwe;eighty
aduɔwɔtwe abiɛsa;eighty-three
aduɔwɔtwe anan;eighty-four
aduɔwɔtwe anum;eighty-five
aduɔwɔtwe awotwe;eighty-eight
aduɔwɔtwe biako;eighty-one
aduɔwɔtwe mmienu;eighty-two
aduɔwɔtwe nkron;eighty-nine
aduɔwɔtwe nsia;eighty-six
aduɔwɔtwe nson;eighty-seven
advection a wɔde di dwuma;advection
advent a ɛbae;advent
adventitious a ɛbae;adventitious
adverbialize a wɔde di dwuma;adverbialize
adverse;adverse
adwadeɛ;product
adwadie;commercial
adwama;lamb
adwareɛ;bathroom
adwemmɔne;malevolent
adwemmɔne;malice
adwemmɔne;malicious
adwemmɔne;negativity
adwemmɔne;prejudiced
adwemmɔne a wonni;pessimism
adwemmɔne a wɔde di dwuma;malevolence
adwemmɔne a wɔde di dwuma;prejudicial
adwemmɔne nancy;negative Nancy
adwempa a ɔwɔ;well-meaning
adwempa a ɛwɔ hɔ;positivity
adwene;brain
adwene;clue
adwene;impression
adwene;mind
adwene;perception
adwene a enni hɔ;absent-minded
adwene a wɔde afotu ma;advisory opinion
adwene a wɔde asie;intent
adwene a wɔde hwɛ ade;outlook
adwene a wɔde ma;opine
adwene a wɔde ma;opinionated
adwene a wɔde si biribi so;attentiveness
adwene a wɔde si biribi so;concentration
adwene a wɔde susuw nneɛma ho;think tank
adwene a wɔde yɛ ade;intinction
adwene a wɔde yɛ adwuma;ideology
adwene a wɔde yɛ adwuma;intellect
adwene a wɔde yɛ nneɛma a ɛyɛ papa;idealization
adwene a wɔmfa nsie;inattention
adwene a wɔpene so;agreeableness
adwene a ɛho hia;imperative mood
adwene a ɛkanyan obi;motive
adwene a ɛma obi nya adwene;impressionism
adwene a ɛnteɛ;imprudence
adwene a ɛnteɛ;imprudent
adwene a ɛsakrasakra;mood swing
adwene a ɛtwetwe adwene;distraint
adwene a ɛwɔ akyi;lateral thinking
adwene a ɛwɔ hɔ;notion
adwene a ɛwɔ hɔ;point of view
adwene a ɛwɔ mu;consensus
adwene a ɛyɛ basaa;bewilderment
adwene a ɛyɛ basaa;confound
adwene a ɛyɛ nwonwa;mindboggling
adwene a ɛyɛ papa;idealism
adwene a ɛyɛ papa;positivism
adwene a ɛyɛ teateaa;narrow-minded
adwene a ɛyɛ teateaa;narrow-mindedness
adwene abien;ambivalent
adwene abien a ɛwɔ hɔ;ambivalence
adwene atu afra;confuse
adwene balloon;thought balloon
adwene biako mu;of one mind
adwene biara nni hɔ;no idea
adwene bubble;thought bubble
adwene cap;thinking cap
adwene ho mfonini;ideogram
adwene ho ɔbenfo;ideologue
adwene koro;like-minded
adwene mu;mentally
adwene mu;minded
adwene mu;psychologically
adwene mu adeyɛ;brainchild
adwene mu adeyɛ;psychoactive
adwene mu adwene ho nimdeɛ;cognitive psychology
adwene mu ahotew;mental hygiene
adwene mu akasakasa;cognitive dissonance
adwene mu amammuisɛm;psychopolitics
adwene mu asomdwoe;peace of mind
adwene mu ayaresa;psychotherapy
adwene mu nhumu;cognition
adwene mu nhwehwɛmu;opinion poll
adwene mu nhwehwɛmu;psychoanalysis
adwene mu nhwehwɛmu;psychoanalytic
adwene mu nhwehwɛmu;psychoanalyze
adwene mu nhwehwɛmu;psychometry
adwene mu nhwehwɛmufo;psychoanalyst
adwene mu nimdeɛ;psychological
adwene mu nkwaadɔm ho oduruyɛfo;psychogeriatrician
adwene mu nneɛma a wɔde yɛ adwuma;psychosynthesis
adwene mu nneɛma a ɛma obi nya adwene;psychedelic
adwene mu nneɛma a ɛma obi nya adwene;psychogenic
adwene mu nsusuwii;conceptual
adwene mu nsusuwii;ideological
adwene mu nsusuwii;imagination
adwene mu nsusuwii;mentality
adwene mu nsɛm a wɔde di dwuma;brainstorming
adwene mu ntini a ɛyɛ den;renal corpuscle
adwene mu sɔhwɛ;thought experiment
adwene mu tumidi;mind control
adwene mu yare;mental disorder
adwene mu yare;psyche
adwene mu yare;psychopathy
adwene mu yare;psychosis
adwene mu yare;psychotic
adwene mu yare a ɛma obi yɛ ade;psychokinesis
adwene mu yare ho adesua;psychopathology
adwene mu yarefo;psychopath
adwene mu ɔyaresafo;psychonaut
adwene mu- .;psycho-
adwene ne asetram nsɛm;psychosocial
adwene ne nipadua mu nneɛma;psychosomatic
adwene ne nneyɛe ho nimdeɛ;psychology
adwene ne nneyɛe ho nimdeɛ a wɔde di dwuma wɔ ayaresabea;clinical psychology
adwene ne nneyɛe ho ɔbenfo;psychologist
adwene nhyia;disagree
adwene nsisoɔ;attention
adwene tebea;state of mind
adwenem;cognitive
adwenem;mental
adwenem naayɛ;deranged
adwenem naayɛ;diffident
adwenem naayɛ;disconcert
adwenem naayɛ;disquietness
adwenem naayɛ;dubitation
adwenem naayɛ;equivocal
adwenem naayɛ;equivocation
adwenem naayɛ;illusion
adwenem naayɛ;illusory
adwenem naayɛ;inquietude
adwenem naayɛ;perplex
adwenem naayɛ;pessimistic
adwenem naayɛ;qualm
adwenem naayɛ;scruple
adwenem naayɛ;skepticism
adwenem naayɛ;suspicion
adwenem naayɛ;uncertainty
adwenem naayɛ;unconsciousness
adwenem naayɛ;unease
adwenem naayɛ;uneasiness
adwenem naayɛ a ntease wom;reasonable doubt
adwenem naayɛ bi sunsuma;shadow of a doubt
adwenem naayɛ so;pensively
adwenem naayɛ so;suspiciously
adwenem naayɛ wom;dubious
adwenemhaw;delirious
adwenemhaw;depressing
adwenemhaw;depressive
adwenemhaw;disquietude
adwenemhaw a wɔfrɛ no schizocarp;schizocarp
adwenemhaw a ɛma obi adwene tu fra;dementia
adwenemhaw a ɛma obi adwene tu fra pugilistica;dementia pugilistica
adwenemhaw a ɛma obi ho kyere no;dizziness
adwenemhaw a ɛma obi yɛ ade tra so;bipolar disorder
adwenemhaw a ɛma obi yɛ ade tra so;bipolar
adwenemhaw a ɛma obi yɛ ade tra so;obsessive
adwenemhaw a ɛma obi yɛ ade tra so;schizophrenia
adwenemhaw a ɛma obi yɛ ade tra so;schizophrenic
adwenemhaw ho adesua;traumatology
adwenemhaw kɛse;Great Depression
adwenemyare;mental health
adwenemyare;mental illness
adwenemyare ayaresabea;mental hospital
adwenemyare ho aduruyɛ;psychiatric
adwenemyare ho aduruyɛ;psychiatry
adwenemyare ho oduruyɛfo;psychiatrist
adwenkyerɛ;comment
adwenkyerɛ;feedback
adwenkyerɛfo;thinker
adwenmpɔ;idea
adwennini;ramsons
adwennwen a ɛyɛ den;stressful
adwennwen bɔɔl;stress ball
adwennwene a wonni;carefreeness
adwenpɔ;mindset
adwensakra;conversion
adwensakra;repentance
adwini a wɔadi adwini;carving
adwinnade a wɔde di dwuma ɔkwammɔne so;blunt instrument
adwinnade a wɔde nnua bɔ;woodwind instrument
adwinnade a wɔde yɛ adwuma;toolbar
adwinnade adaka;toolbox
adwinnade asɛm;instrumental case
adwinnade dade;tool steel
adwinnade ho nyansahyɛ;tooltip
adwinni a wonni;artless
adwinni a wonni;artlessness
adwinni a wɔayɛ;artwork
adwinni a wɔde aniwa hu;visual arts
adwinni a wɔde di agoru;performing arts
adwinni a wɔde yɛ adwuma;artful
adwinni a wɔde yɛ adwuma;work of art
adwinni a wɔde yɛ agoru;performance art
adwinni a ɛyɛ fɛ;fine arts
adwinni a ɛyɛ nwonwa;masterpiece
adwinni dan a wɔde kyerɛ;art gallery
adwinni esiane adwinni nti;art for art's sake
adwinni ho abakɔsɛm kyerɛwfo;art historian
adwinni ho aguadifo;art dealer
adwinni ho nimdeɛ;artistic
adwinni ho tumi krataa;artistic licence
adwinni ne nsaanodwuma;arts and crafts
adwowtwa;rob
adwowtwa;robbery
adwowtwafo;bandit
adwowtwafo;pirate
adwowtwafo;robber
adwowtwafo a wɔyɛ adwuma;piracy
adwowtwafo a ɔwɔ nsa biako;one-armed bandit
adwowtwafo hyɛn;pirate ship
adwuma;career
adwuma;job
adwuma;occupation
adwuma;profession
adwuma;task
adwuma;work
adwuma a adagyew nnim;busy work
adwuma a wobetumi de ayɛ adwuma;employability
adwuma a wonnya nyɛ;underemployed
adwuma a wonnya nyɛ;underemployment
adwuma a wonnya nyɛ;unemployment
adwuma a wɔabue ano;openwork
adwuma a wɔayi wɔn afi adwumam;layoff
adwuma a wɔbom yɛ;joint venture
adwuma a wɔde ma afoforo;outsourcing
adwuma a wɔde yɛ adwuma;chore
adwuma a wɔde yɛ adwuma;employ
adwuma a wɔde yɛ adwuma;workaround
adwuma a wɔde yɛ adwuma;workpiece
adwuma a wɔhyɛ nkurɔfo ma wɔyɛ;forced labor
adwuma a wɔyɛ wɔ akyirikyiri;telecommuting
adwuma a ɛboro so;overwrought
adwuma a ɛfata;job fair
adwuma a ɛnkɔ yiye;malfunction
adwuma a ɛrekɔ so;work in progress
adwuma akwantu;business trip
adwuma asɛmti;working title
adwuma biako a wɔyɛ;single-tasking
adwuma da;working day
adwuma dapɛn dapɛn;workweek
adwuma de di tumi;work to rule
adwuma dwumadi;work function
adwuma ho apam;employment contract
adwuma ho nkyerɛkyerɛmu;job description
adwuma ho nsɛmbisa;job interview
adwuma ho tumi krataa;work permit
adwuma krataa;business card
adwuma mu abotɔyam;job satisfaction
adwuma mu ade a wɔyɛ;work product
adwuma mu asiane;occupational hazard
adwuma mu nsakrae;career change
adwuma mu nsakraefo;career changer
adwuma mu osuahu;work experience
adwuma mu yare;occupational disease
adwuma no sohwɛ;project management
adwuma no sohwɛfo;project manager
adwuma no sohwɛfo panyin;managing director
adwuma obi akyi;work one's butt off
adwuma panin;manager
adwuma sohwɛfo;foreman
adwuma-hopping;job-hopping
adwuma-kɔ-di tumi;work-to-rule
adwumaden;toil
adwumaden a ɛyɛ den;laborious
adwumafa;employment
adwumakuo;company
adwumakuo;organization
adwumakuw a anohyeto wom;limited company
adwumakuw a wɔyɛ adwuma bom;joint-stock company
adwumakuw a ɛkurakura nneɛma;holding company
adwumakuw a ɛyɛ awofo;parent company
adwumakuw bi;corporation
adwumakuw ketewaa bi;subsidiary
adwumakuw no kar;company car
adwumasua;internship
adwumawura;employer
adwumayɛ a ɛne wɔn ho wɔn ho di nkitaho;interoperability
adwumayɛ ho abusuabɔ;performance bond
adwumayɛ ho adwene;functionalism
adwumayɛ ho adwumayɛbea;employment agency
adwumayɛ ho dadwen;performance anxiety
adwumayɛ ho nhyehyɛe;administration
adwumayɛ ho nhyehyɛe;administrative
adwumayɛ ho nimdeɛ;workmanship
adwumayɛ mu;operational
adwumayɛ sukuu;vocational school
adwumayɛ sɛnea wɔtaa yɛ no;business as usual
adwumayɛban mu adwumayɛfo a wɔyɛ adwumaden;general strike
