h-ɔtopae a wɔde tow;H-bomb
hungaryfo ɔkraman;Hungarian hound
hunk;hunk
hunker;hunker
hunker ase;hunker down
huntington yare no;Huntington's disease
hunu;blank
hunu;bore
hunu;detect
hunu;empty
hunu;realize
hunu;recognise
hunu;recognize
hunu;span
hunu;vague
hunu;void
hunu no;engage
hunuu;found
hunuu;saw
huraeɛ;fever
hurdler a ɔde ne ho hyɛ mu;hurdler
hurdy-gurdy a ɛyɛ hu;hurdy-gurdy
huri;bounce
huri;hop
huri;jump
huri;leap
huro;mock
hurrary;hurrah
huruw a ɛto so abien;leap second
huruw kɔ ntonto no mu;jump the queue
huruw tuo no;jump the gun
hus;Hus
hush;hush
husk;husk
hussar na ɔkyerɛwee;hussar
hussite na ɔkyerɛwee;Hussite
hustler a ɔyɛ hustler;hustler
hutch;hutch
hvac;HVAC
hwan;who
hwan;whom
hwane;peel
hwanyann;messy
hwe;beat
hwe ase;fall apart
hwe ase;fall off
hwe ase;fall
hwe ase fi mu;fall out
hwe ase ma;fall for
hwe ase wɔ akyi;fall behind
hwe ase wɔ asotifo aso so;fall on deaf ears
hwe ase wɔ baabi a ɛwɔ;fall into place
hwe ase wɔ ɔdɔ mu;fall in love
hweaa;thin
hweaa;tiny
hweahwea;skinny
hwee;nothing
hwehwɛ;find
hwehwɛ;look for
hwehwɛ;search
hwehwɛ;seek
hwehwɛ a wɔhwehwɛ;quest
hwehwɛ baabi a ɛwɔ;locate
hwehwɛ mu;analyze
hwehwɛ mu;explore
hwehwɛ mu;find out
hwehwɛ mu;inspect
hwehwɛ mu;investigate
hwehwɛ mu;research
hwehwɛ mu kɔ akyiri;delve
hwehwɛ mu yiye;scrutinize
hwehwɛ ne ho;find oneself
hwehwɛ nneɛma mu;browse
hwehwɛ sɛ yare no;diagnose
hwehwɛfo;searcher
hwehwɛfo;seeker
hwene;nose
hwene a wɔde hyɛ mu;nosedive
hwene a wɔde kyekyere;noseclip
hwene a wɔde yiyi;nose-picking
hwene a ɛyɛ bruu;brown noser
hwene mu;snout
hwene mu aduru a wɔfrɛ no polyp;nasal polyp
hwene mu mogya a ɛba;nosebleed
hwene mu nhama;noseband
hwene mu ntini;nasal cavity
hwene mu tokuru;nostril
hwere;lose
hwere;lost
hwere akontaabu;lose count
hwere anim;lose face
hwere biribi na te aseɛ;compromise
hwere koma;lose heart
hweree nea ɛwɔ hɔ;miss out
hwerɛma;whistle
hwerɛma a ɛyɛ hwerɛma;slipperiness
hwie gu;pour
hwie gu;spill
hwiiti;wheat
hwɛ;behold
hwɛ;care
hwɛ;check out
hwɛ;check
hwɛ;cheque
hwɛ;consider
hwɛ;gaze
hwɛ;look after
hwɛ;look at
hwɛ;look
hwɛ;nurture
hwɛ;observe
hwɛ;see
hwɛ;take a look
hwɛ;view
hwɛ;watch
hwɛ a wɔhwɛ;care of
hwɛ a wɔhwɛ so yiye;upkeep
hwɛ ade denneennen;stare
hwɛ animtiaabu so;look down on
hwɛ ansa na woahuruw;look before you leap
hwɛ asono;Care Bears
hwɛ awia hann;see the light of day
hwɛ hu;ascertain
hwɛ hu sɛ;make sure
hwɛ kwan;expect
hwɛ kwan;foresee
hwɛ kwan sɛ;look forward to
hwɛ mmɔho abien;see double
hwɛ mu;check up
hwɛ mu;glance
hwɛ mu;review
hwɛ mu bio;revise
hwɛ mu yiye;see through
hwɛ na hwɛ;lo and behold
hwɛ naples na wu;see Naples and die
hwɛ nnwom no anim;face the music
hwɛ nsoromma;see stars
hwɛ obi ano;watch one's mouth
hwɛ obi hwene ase;look down one's nose
hwɛ so;oversee
hwɛ so;supervise
hwɛ so yiye;keep track
hwɛ so yiye;take care of
hwɛ soro;look over
hwɛ soro;look up
hwɛ soro ma;look up to
hwɛ sɛ;ensure
hwɛ sɛ;insist
hwɛ sɛnea;look like
hwɛ sɛnea wobɛkɔ mu;check in
hwɛ wo;see you
hwɛ w’akyi;look back
hwɛ yie;be careful
hwɛ yie;careful
hwɛ yie;carefully
hwɛ yie;take care
hwɛ yiye;watch out
hwɛ yiye;watch over
hwɛ ɔfasu no so denneennen;stare at the wall
hwɛ ɔfã no;look the part
hwɛ-;re-
hyacinth a wɔde yɛ aduru;hyacinth
hyacinthus a wɔfrɛ no hyacinthus;Hyacinthus
hyaluronic a wɔde yɛ aduru;hyaluronic
hyderabad na ɛwɔ hɔ;Hyderabad
hydra a ɛyɛ nsuo;hydra
hydracid a ɛyɛ adwuma;hydracid
hydrangea a wɔfrɛ no hydrangea a wɔfrɛ no hydrangea;hydrangea
hydrargyrum a ɛyɛ nsuo a wɔfrɛ no hydrargyrum;hydrargyrum
hydrate a wɔde hyɛ nipadua mu;hydrate
hydraulics a wɔde yɛ adwuma;hydraulics
hydrazine a wɔde yɛ adwuma;hydrazine
hydride a wɔde yɛ adwuma;hydride
hydrocarbon a ɛyɛ hyew;hydrocarbon
hydrocephalus a ɛma obi ho yɛ hyew;hydrocephalus
hydrochloric a wɔde yɛ adwuma;hydrochloric
hydrochloric acid a wɔde yɛ aduru;hydrochloric acid
hydrofoil a wɔde yɛ nneɛma;hydrofoil
hydrogen a wɔde yɛ adwuma;hydrogenation
hydrogen a wɔfrɛ no hydrogen;hydrogen
hydrogen kar a wɔde yɛ adwuma;hydrogen vehicle
hydrogen peroxide a wɔde yɛ adwuma;hydrogen peroxide
hydrogen sulfide a wɔde yɛ nneɛma;hydrogen sulfide
hydrogen ɔtopae a wɔde tow;hydrogen bomb
hydrogenate a wɔde yɛ adwuma;hydrogenate
hydronium a wɔfrɛ no hydronium;hydronium
hydroonym a wɔde di dwuma;hydronym
hydroquinone a wɔde yɛ adwuma;hydroquinone
hydrosol a wɔfrɛ no hydrosol;hydrosol
hydroxide a wɔde yɛ adwuma;hydroxide
hydrus a wɔfrɛ no hydrus;Hydrus
hye;burn
hye;hot
hye a wɔde hyehyɛ;demarcation
hye so;bordure
hyehyɛ;arrange
hyehyɛ;design
hyehyɛ;develop
hyehyɛ;mold
hyehyɛ;pack
hyehyɛ;rate
hyehyɛ;set up
hyehyɛ;set
hyehyɛ;setup
hyehyɛ;tidy
hyehyɛ mu;sort out
hyehyɛ nnwom;compose
hyehyɛ no;configure
hyehyɛ no ma;fill out
hyehyɛ ntonto;line up
hyehyɛ pon no;set the table
hyehyɛberɛ;schedule
hyena, ɔkraman;hyena
hyerɛn;bliss
hyerɛn;glow
hyerɛn;illuminate
hyeta;popular
hyew;burn down
hyew;incinerate
hyew;sudden
hyew obi bridges;burn one's bridges
hyewee;burned
hyeɛ so;border
hygrometer a wɔde kyerɛ sɛnea nsu te;hygrometer
hygroscopic a wɔde hwɛ nsu mu;hygroscopic
hyia;coincide
hyia;meet
hyia wɔn ho wɔn ho;meet up
hyiadan mu;synagogue
hyiaeɛ akyɛ;long time no see
hyiam;convene
hyie;damn
hyira;bless
hyira wɔn ho so;consecrate
hymen a ɛyɛ den;hymen
hymeneal a wɔde hyɛ nipadua mu;hymeneal
hymenium a wɔde yɛ aduru;hymenium
hypallage a ɛma obi ho yɛ hyew;hypallage
hypanthium a wɔde yɛ aduru;hypanthium
hype a wɔde hyɛ nkurɔfo nkuran;hype
hyperbaton a wɔde kyerɛw nsɛm;hyperbaton
hyperbola a ɛboro so;hyperbola
hypercatalectic a ɛyɛ nea ɛboro so;hypercatalectic
hypercorrect a ɛyɛ nea ɛteɛ;hypercorrect
hypercube a ɛyɛ kɛse;hypercube
hyperesthesia a ɛma obi ho yɛ hyew;hyperesthesia
hypergiant a ɛyɛ kɛse;hypergiant
hyperion a ɛyɛ kɛse;Hyperion
hyperlink a ɛwɔ hɔ;hyperlink
hypermasculine a ɛyɛ ɔbarima;hypermasculine
hypermetric a ɛyɛ nea ɛboro so;hypermetric
hypernatremia a ɛma obi ho yɛ hyew;hypernatremia
hypernova a ɛyɛ nwonwa;hypernova
hypernym a wɔde di dwuma;hypernym
hyperon;hyperon
hyperpigmentation a ɛma mogya tu;hyperpigmentation
hyperplasia a ɛma nipadua no yɛ kɛse;hyperplasia
hyperspace a ɛwɔ soro;hyperspace
hypertext a ɛwɔ soro;hypertext
hypertrophy a ɛma nipadua no yɛ kɛse;hypertrophy
hypervolemic a ɛma ɛyɛ kɛse;hypervolemic
hypha a ɛyɛ hypha;hypha
hyphen a wɔde hyɛ mu;hyphen
hyphenation a wɔde hyɛ mu;hyphenation
hypnic a wɔde hyɛ obi nsa;hypnic jerk
hypnos a wɔde hyɛ nkurɔfo nkuran;Hypnos
hypnosis a wɔde di dwuma;hypnosis
hypnotization a wɔde hyɛ obi nsa;hypnotization
hypnotize a wɔde hyɛ obi mu;hypnotize
hypocaust a wɔde di dwuma;hypocaust
hypochlorous a ɛwɔ nipadua no mu;hypochlorous
hypochondria a ɛma obi ho yɛ hyew;hypochondria
hypochondriac a ɛyɛ mmerɛw;hypochondriac
hypochondriasis a ɛma obi ho kyere no;hypochondriasis
hypochondrium a ɛwɔ nipadua no mu;hypochondrium
hypodermis a ɛwɔ nipadua no mu;hypodermis
hypoesthesia a ɛma obi ho yɛ hyew;hypoesthesia
hypomasculinity a ɛyɛ ɔbarima ne ɔbea nna;hypomasculinity
hyponatremia a ɛma obi ho yɛ hyew;hyponatremia
hyponym a wɔde di dwuma;hyponym
hypophysis a ɛma obi nya hypophysis;hypophysis
hypopituitarism a ɛma obi ho kyere no;hypopituitarism
hypospadias a ɛwɔ nipadua no mu;hypospadias
hypotenuse a ɛwɔ nipadua no mu;hypotenuse
hypothalamic a ɛwɔ nipadua no mu;hypothalamic
hypothalamus a ɛwɔ nipadua no mu;hypothalamus
hypothermic a ɛba fam;hypothermic
hypothesis a wɔde susuw nneɛma ho;hypothesis
hypothyroidism a ɛyɛ mmerɛw;hypothyroidism
hypotrochoid a ɛma nipadua no yɛ adwuma;hypotrochoid
hypovolemic a ɛma mogya tu;hypovolemic
hypoxemia a ɛma mogya tu;hypoxemia
hypoxia a ɛma obi ho yɛ hyew;hypoxia
hypoxic a ɛwɔ nipadua no mu;hypoxic
hypsometer a wɔde kyerɛ sɛnea obi yɛ ade;hypsometer
hyrax a wɔfrɛ no hyrax;hyrax
hyrcania na ɛwɔ hɔ;Hyrcania
hyssop a wɔde yɛ ade;hyssop
hysterectomy a wɔde twa awotwaa no;hysterectomy
hysteresis a ɛma obi ho kyere no;hysteresis
hysteria a ɛyɛ hu;hysteria
hysterics a ɛyɛ hu;hysterics
hyɛ;command
hyɛ;compel
hyɛ;enjoin
hyɛ;force
hyɛ;wear
hyɛ abufuo;annoy
hyɛ anan mu;replace
hyɛ anuonyam;glorify
hyɛ aseɛ;begin
hyɛ aseɛ;commission
hyɛ aseɛ;resume
hyɛ aseɛ;start
hyɛ bo a ɛsom no nsow;note value
hyɛ bɔ;promise
hyɛ da;pretend
hyɛ den;fortify
hyɛ me nsɛm agyirae;mark my words
hyɛ mmara;legislate
hyɛ mmara;regulate
hyɛ mu den;consolidate
hyɛ mu den;reinforce
hyɛ mu den;strengthen
hyɛ mu ma;fill in
hyɛ mu ma;fill up
hyɛ nkuran;encourage
hyɛ nkɔm;foretell
hyɛ nkɔm;prophesy
hyɛ no nsow;take notice
hyɛ no sɛ;stipulate
hyɛ nso;note
hyɛ obi nsa;force someone's hand
hyɛ teateaa;wear thin
hyɛ trako no;wear the trousers
hyɛ wo ho so;restrain
hyɛ wɔn ase;subjugate
hyɛ wɔn so;crack down
hyɛbrɛ;destiny
hyɛeɛ;worn
hyɛmma a wɔde fa hyɛn mu;ferryboat
hyɛmma a wɔde fa nnipa;canoe
hyɛmma a wɔde fa nnipa;ferry
hyɛmma a wɔde fa nsu mu;rowboat
hyɛmma a wɔde gye nkwa;lifeboat
hyɛmma a wɔde hwɛ nneɛma so;patrol boat
hyɛmma a wɔde nsu gu mu;steamboat
hyɛmma a wɔde po so hyɛn tu kwan;sailboat
hyɛmma a wɔde yi mpataa;fishing boat
hyɛmma a wɔtwe;towboat
hyɛmma a wɔtwe nneɛma;tugboat
hyɛmma mpaboa;boat shoe
hyɛmma mu adwumayɛfo;boatswain
hyɛmma mu adwumayɛfo;ferryman
hyɛmma mu dwumayɛni;boater
hyɛmma mu dwumayɛni;boatman
hyɛmma mu nipa;boat person
hyɛmma mu nnipa;boat people
hyɛn;transport
hyɛn a abubu;shipwrecked
hyɛn a asɛe;shipwreck
hyɛn a wɔde fa nneɛma;cargo ship
hyɛn a wɔde fa nnipa;passenger ship
hyɛn a wɔde tu kwan;cruise ship
hyɛn a ɛde po so hyɛn tu kwan;sailing ship
hyɛn gyinabea;dock
hyɛn gyinabea;dockyard
hyɛn gyinabea;harbor
hyɛn gyinabea;pier
hyɛn gyinabea;quay
hyɛn gyinabea;wharf
hyɛn gyinabea a wontua hwee;free port
hyɛn gyinabea bobesa;port wine
hyɛn gyinabea kurow;port city
hyɛn mu;enter into
hyɛn mu;infiltrate
hyɛn mu;penetrate
hyɛn mu adwumayɛfo;sailor
hyɛn no mfinimfini adwumayɛfo;midshipman
hyɛn no mu;embark
hyɛn tenten;longship
hyɛɛte;shirt
háček na ɛyɛ;háček
hɔ;there
hɔ a;there are
hɔ ara;immediate
hɔhoɔ;foreign
hɔnom;over there
hɛlo;hello
hɛɛmɛte;helmet
