g clef;G clef
gyae wo ho mu;give in
gyae wo ho mu;succumb
gyaemu;ditch
gyakɛte;jacket
gyama;perhaps
gyata;lion
gyata amena;lion's den
gyata ba;lion cub
gyata kyɛfa;lion's share
gyatabea;lioness
gyaw a wogyaw wɔn hɔ;abandonment
gye;collect
gye;occupy
gye;receive
gye a wogye di;conviction
gye a wogye di;convivence
gye a wogye di;credence
gye a wogye tom;acceptability
gye a wogye tom;acceptance
gye a wogye tom;accredit
gye a wogye tom;accreditation
gye a wogye tom;acknowledgment
gye akagyinam;guarantee
gye bere;take time
gye da no;seize the day
gye di;believe
gye di;sure
gye dibea no;take over
gye din;famous
gye kyin;argue
gye kyin;debate
gye ne ka;take its toll
gye nneɛma fi wɔn nsam;confiscate
gye nneɛma fi wɔn nsam;expropriate
gye no ɔhyɛ so;seizure
gye ntini;take root
gye sɛ;except
gye sɛ;unless
gye to mu;accept
gye to mu;acknowledge
gye to mu;admit
gye to mu;embrace
gye tom;accede
gye tom;adopt
gye tom;concede
gye tom;ratify
gye toom;acknowledged
gye w'ani;chill
gye w'ani;have fun
gye w’ahome;repose
gye w’ahome;unwind
gye w’ani;entertain
gye w’ani;take pleasure
gye ɔhyɛ so;seize
gye ɔsom tom;accept service
gyeene;onion
gyegyeegye;bustle
gyidi a wontumi nnye nni;incredulity
gyidi a wotumi gye di;believability
gyidi mu ahurututu;leap of faith
gyidi pa;good faith
gyidie;belief
gyidie;confidence
gyidie;faith
gyidihunu;superstition
gyidihunu;superstitious
gyidihunu mu;superstitiously
gyidikasɛm;creed
gyidini;believer
gyimie;dumb
gyimie;silly
gyimifoɔ;fool
gyimifoɔ;idiot
gyina;depend
gyina;halt
gyina;stand
gyina akyi;stand back
gyina akyi;uphold
gyina ano;withstand
gyina biribiara so;stop at nothing
gyina guasodeyɛ so;stand on ceremony
gyina hɔ;stand by
gyina hɔ;standing
gyina hɔ;standstill
gyina hɔ ma;represent
gyina hɔ ma;stand for
gyina hɔ ma;stand in for
gyina hɔ ma ne ho;stand-alone
gyina hɔ tẽẽ;upright
gyina mu;cope
gyina mu;endure
gyina mu;persevere
gyina mu;persistent
gyina mu;stand in
gyina obi fam;stand one's ground
gyina pintinn;stabilize
gyinabea;bay
gyinabea;position
gyinabea;stance
gyinabea;standpoint
gyinabea;status
gyinabea a wɔde gyina;stoppage
gyinabea a wɔde gyina hɔ;postural
gyinabea a wɔde gyina hɔ;stopover
gyinabea a wɔde gyina hɔ ma;representation
gyinabea a ɛyɛ den;stagnation
gyinabea a ɛyɛ den;standoffishness
gyinabea sɛnkyerɛnne;stop sign
gyinabea-in;stand-in
gyinaesi a wontumi nsi gyinae;indecision
gyinaesi a wɔde si gyinae;decisional
gyinaesi mu;decidedly
gyinapɛn a wɔde gyina so;criterion
gyinapɛn abien;double standard
gyinapɛn ahorow a wɔde hyɛ mu;standardization
gym rat a wɔde yɛ apɔw-mu-teɛteɛ;gym rat
gymnosperm a wɔde yɛ apɔw-mu-teɛteɛ;gymnosperm
gymnospermous a ɛyɛ fɛ;gymnospermous
gynoecium a ɛwɔ nipadua no mu;gynoecium
gynophore a wɔfrɛ no gynophore;gynophore
gypsum a wɔfrɛ no gypsum;gypsum
gypsyfo a ɔyɛ ɔsraani;gypsy
gyre;gyre
gyrfalcon a wɔfrɛ no gyrfalcon;gyrfalcon
gyrocompass a wɔde hyɛ nipadua mu;gyrocompass
gyron a wɔfrɛ no gyron;gyron
gyroscope a wɔde hwɛ ade;gyroscope
gzhelian na ɔkyerɛwee;Gzhelian
gülenist ho ɔbenfo;Gülenist
