w-w;ww
worker bee;adwumayɛfo ntɛtea
worker;odwumayɛni
working class;adwumayɛfo kuw
working day;adwuma da
working dog;ɔkraman a ɔyɛ adwuma
working title;adwuma asɛmti
workmanship;adwumayɛ ho nimdeɛ
workout;yɛ adwuma
workpiece;adwuma a wɔde yɛ adwuma
workplace;adwumayɛbea
workshop;adwumayɛbea
workstation;adwumayɛbea
workweek;adwuma dapɛn dapɛn
World Bank;Wiase Nyinaa Sikakorabea
world cup;wiase kuruwa
World Exposition;Wiase Nyinaa Nkyerɛkyerɛmu
world order;wiase nhyehyɛe
World War I;Wiase Ko I
World War II;Wiase Ko II
world war;wiase nyinaa ko
world-class;wiase nyinaa de
world;wiase
worldly;wiasefo de
worldview;wiase adwene
worldwide;wiase nyinaa
worm-eaten;nwansena a wodi
worm;aboawa
wormhole;nwansena tokuru
Wormian bone;Wormian dompe
Worms;Nwansena
wormwood;wormwood a wɔfrɛ no wormwood
worn;hyɛeɛ
worried;ayɛ basaa
worry wart;dadwen wart
worry;ahoha
worrying;a ɛhaw adwene
worse;ɛnyɛ
worsen;sɛe kɛse
worsening;a ɛresɛe kɛse
worship;sɔre
worst case scenario;tebea a enye koraa
worst comes to worst;nea enye koraa no ba nea enye koraa so
worst;nyɛ koraa
worsted;worsted a ɛyɛ hu
worth;som bo
worthless;mfaso nni so
worthwhile;mfaso wɔ so
worthy;som bo
would like;bɛpɛ sɛ
would;bɛ
wound;opira kɛseɛ
wounded;wɔapirapira wɔn
wove;nwene
woven;wɔanwene
wow;wow
wrack;wrack a ɛyɛ den
wraith;abufuw a ɛyɛ hu
wrap up;kyekyere
wrap-up;wrap-up a wɔde kyekyere nneɛma ho
wrap;kyekyere ho
wrapper;wrapper a wɔde kyekyere nneɛma ho
wrapping paper;krataa a wɔde kyekyere nneɛma ho
wrapping;a wɔde kyekyere nneɛma ho
wrath;abufuhyeɛ
wrathful;abufuw mu
wreak havoc;ɛsɛe ade kɛse
wreak;wreak a ɛyɛ hu
wreath;wreath a wɔde ayɛ nhwiren
wreck;wreck a asɛe
wrecked;asɛe no
wrecker;wrecker a ɔsɛe nneɛma
wren;wren
wrench;wrench a wɔde hyɛ mu
wrest;wrest
wrestle;akuturukubɔ
wrestler;akuturukubɔfo
wrestling;akuturukubɔ
wretch;mmɔbɔmmɔbɔ
wriggle;wriggle a wɔde twitwiw nneɛma
wring;wring a wɔde hyɛ mu
wrinkle-free;a nwi nnim
wrinkle;nwi a ɛyɛ nwininwini
wrinkled;a ɛyɛ nwininwini
wrinkly;wrinkly a ɛyɛ nwininwini
wrist rest;nsateaa mu ahomegye
wrist;abakɔn
wristwatch;nsateaa dɔn a wɔde yɛ adwuma
writ;writ
write down;kyerɛw to hɔ
write off;kyerɛw fi hɔ
write-only;akyerɛw-nko
write;twerɛ
writer's block;ɔkyerɛwfo no block
writer;ɔkyerɛwfo
writhe;writhe a ɛyɛ den
writing desk;akyerɛw pon so
writing on the wall;akyerɛw wɔ ɔfasu no so
writing pad;akyerɛw krataa
writing;retwerɛ
written;atwerɛ
writtenness;nkyerɛwee
Wroclaw;Wroclaw na ɛwɔ hɔ
wrong crowd;nnipadɔm a ɛnteɛ
wrong;ti
wrongdoer;ɔdebɔneyɛfo
wrongful;nea ɛnteɛ
wroth;abufuw
wrought iron;dade a wɔayɛ
wrought;a wɔayɛ
wryneck;wryneck a ɛyɛ den
WTF;WTF
WTO;WTO
Wuchiapingian;Wuchiapingianfo a wɔte saa
wudu;wudu
Wuhan;Wuhan
wushu;wushu
wuther;wuther
WVO;WVO
WWI;WWI
WWTP;WWTP a wɔde yɛ adwuma
wye;wye
Wymysorys;Wymysorys na ɔkyerɛwee
Wyoming;Wyoming na ɛwɔ hɔ
wyvern;wyvern a ɛwɔ hɔ
