o'clock;dɔnhwerew
outburst;a ɛpaepae
outcast;wɔapow wɔn
outclass;outclass
outcome;nsunsuansoɔ
outcrop;a ɛda adi
outcry;nteɛm a wɔteɛm
outdated;a ne bere atwam
outdo;a ɛboro so
outdoors;abɔnten so
outer planet;okyinnsoromma a ɛwɔ akyi
outer space;ahunmu a ɛwɔ akyi
outer;akyi
outerwear;ntade a wɔde hyɛ akyi
outfield;abɔnten so
outfielder;outfielder a ɔbɔ bɔɔl
outfit;ataadeɛ
outfitter;ɔhyɛfo a ɔhyɛ ntade
outgoing;refiri mu
outlast;ɛtra hɔ kyɛ sen saa
outlaw;mmaratofo
outlet;baabi a epue firi
outline;nhyehyɛeɛ
outlive;nkwa kyɛ sen saa
outlook;adwene a wɔde hwɛ ade
outmoded;nea ne bere atwam
outpatient;ayarefo a wɔda ayaresabea akyi
outplacement;outplacement a wɔde kɔ baabi foforo
outpost;outpost a ɛwɔ abɔnten so
output;nea efi mu ba
outrage;abufuw a wɔde hyɛ nkurɔfo mu
outrageous;abufuw a ɛyɛ hu
outreach;asɛnka a wɔde kɔ nkurɔfo nkyɛn
outrigger;outrigger a ɛyɛ hu
outright;pefee
outré;outré na ɛyɛ adwuma
outsell;outsell
outset;mfiase
outside the box;wɔ adaka no akyi
outside;abɔnten
outsider;abɔnten so nipa
outskirt;abɔnten so
outskirts;abɔnten so
outsmart;outsmart
outsource;de kɔma afoforo
outsourcing;adwuma a wɔde ma afoforo
outspoken;a wɔka nsɛm penpen
outstanding;boro so
outstrip;a ɛboro so
outward;abɔnten so
oval;oval a ɛyɛ oval
ovarian follicle;ovarian follicle a ɛwɔ nipadua no mu
ovarian;ovarian
ovary;ovary
ovation;nsa a wɔde bɔ wɔn nsa so
oven glove;fononoo mu nsateaa
oven;fononoo
ovenbird;fononoo anomaa
over and out;mpɛn pii na ɛkɔ so
over and over;mpɛn pii
over here;wɔ ha yi
over my dead body;me funu a awu no so
over the top;wɔ soro no so
over there;hɔnom
over-;so-
over;so
overall;ne nyinaa
overalls;overalls a wɔde hyɛ
overbearing;a wɔhyɛ obi so
overcareful;ahwɛyiye a ɛboro so
overcoat;overcoat a wɔde hyɛ
overcome;bunkam fa so
overcook;noa boro so
overcrowded;nnipa ahyɛ hɔ ma dodo
overdo;boro so
overdose;nnuru a wɔde di dwuma boro so
overdraft;sika a wɔde di dwuma boro so
overdraw;twetwe sika boro so
overdue;bere a atwam
overestimate;bu akontaa boro so
overfall;overfall
overfeed;aduan a wɔde ma boro so
overfill;ahyɛ mu ma dodo
overflight;wimhyɛn a ɛboro so
overflow hole;tokuru a ɛboro so
overflow pool;overflow pool no mu
overflow;nsu a ɛboro so
overhang;overhang
overhaul;a wɔayɛ no foforo koraa
overhead projector;afiri a wɔde kyerɛ nneɛma a ɛwɔ soro
overhead;wɔ soro
overhear;tie
overheat;ɔhyew a ɛboro so
overlap;a ɛka bom
overlapping;a ɛka bom
overlay;a wɔde kata so
overload;adesoa a ɛboro so
overlook;bu w’ani gu so
overlooked;wobu ani gu so
overlord;overlord (wurade) so
overly;dodo
overlying;a wɔde kata so
overnight;anadwo biako
overpass;ɔkwan a wɔfa so twa kwan so
overplay;agodie a ɛboro so
overpopulation;nnipa dodow a ɛboro so
overpower;tumidi so nkonim
overpressure;nhyɛso a ɛboro so
overpriced;bo a ɛboro so
overrate;bo a ɛboro so
overrated;wɔabu no boro so
overseas Chinese;Chinafo a wɔwɔ amannɔne
overseas;amannɔne
oversee;hwɛ so
overseer;ɔhwɛfo
overshadow;sunsuma a ɛkata so
oversight;ɔhwɛ so
oversleep;nna a ɛboro so
overstate;ka ho asɛm boro so
oversteer;karka a ɛboro so
overt;a ɛda adi pefee
overtake;overtake a ɛboro so
overthrow;tutu gui
overtime;bere a wɔde yɛ adwuma boro so
overtly;pefee
overture;overture a wɔde hyɛ obi nsa
overturn;dannan ne ho
overuse;a wɔde di dwuma boro so
overvalue;bo a ɛsom dodo
overview;nsɛm a wɔaka abom
overweight;mu duru a ɛboro so
overwhelm;a ɛboro so
overwhelming;boro so
overwinter;awɔw bere mu
overwrite;kyerɛw gu so
overwrought;adwuma a ɛboro so
Ovid;Ovid
oviduct;oviduct a ɛyɛ oviduct
Oviedan;Oviedanfo na wɔte saa
Oviedo;Oviedo
oviparous;oviparous a wɔde yɛ oviparous
ovipositor;ovipositor a wɔde hyɛ nipadua mu
ovoid;ovoid a ɛyɛ ovoid
ovoviviparous;ovoviviparous a wɔde yɛ ovoviviparous
ovulate;ovulate a wɔde yɛ ovulate
ovule;ovule a wɔde yɛ ovule
ovum;ovum a ɛwɔ nipadua no mu
owe;de ka
owie;owie
owl;patuo
own goal;ankasa botae
own up;own up
own;deɛ
owner;adewura
ownership;owurayɛ
ox;ox
oxadiazole;oxadiazole a wɔde di dwuma
oxalate;oxalate a wɔde yɛ adwuma
oxalic acid;oxalic acid a wɔde yɛ aduru
oxbow lake;oxbow ɔtare no mu
Oxford;Oxford na ɔkyerɛwee
oxidation;oxidation a wɔde yɛ nneɛma
oxidative;oxidative a ɛma nipadua no yɛ adwuma
oxide;oxide a wɔde yɛ adwuma
oxidizable;a ɛyɛ oxidizable
oxidize;oxidize na ɛyɛ adwuma
oxonium;oxonium a wɔde yɛ nneɛma
oxtail;nantwi dua
oxygen;oxygen a ɛwɔ nipadua no mu
oxygenation;oxygen a wɔde ma
oxyhydrogen;oxyhydrogen a ɛma nipadua no yɛ adwuma
oxymoron;oxymoron a wɔfrɛ no oxymoron
oxyntic;oxyntic a wɔde di dwuma
oxytone;oxytone a wɔde yɛ adwuma
oyer and terminer;oyer ne nea wɔde wie
oyster bed;oyster mpa so
oyster farm;oyster afuw mu
oyster mushroom;oyster nsenia a wɔde yɛ nsenia
oyster;oyster a wɔfrɛ no oyster
oystercatcher;oystercatcher a wɔkyere no
ozone hole;ozone tokuru
ozone layer;ozone a ɛwɔ nipadua no mu
ozone;ozone a wɔde yɛ adwuma
