I am a doctor;Meyɛ oduruyɛfo
inert;inert a ɛnyɛ adwuma
inertia;inertia a ɛnyɛ adwuma
inertness;inertness a ɛnyɛ adwuma
inescapable;nea wontumi nkwati
inescapably;a wontumi nkwati
inessive;a ɛnyɛ hwee
inevitability;nea wontumi nkwati
inevitable;wontumi nsi kwan
inevitably;a wontumi nkwati
inexact;a ɛnyɛ pɛpɛɛpɛ
inexcusable;a wontumi mfa mfiri
inexcusably;a wontumi nyi mfi hɔ
inexhaustible;nea entumi nsɛe
inexorable;nea wontumi nsiw ano
inexorably;a wontumi nsiw ano
inexpensive;ne bo nyɛ den
inexperienced;a wonni osuahu
inexplicable;a wontumi nkyerɛkyerɛ mu
inexplicably;wɔ ɔkwan a wontumi nkyerɛkyerɛ mu so
inexpressible;a wontumi nkyerɛkyerɛ mu
inexpugnable;nea wontumi ntetew mu
inextinguishable;a wontumi dum
infallibility;mfomso a enni hɔ
infallible;a mfomso biara nni ho
infallibly;a mfomso biara nni ho
infamous;agye dimmɔne
infamously;a agye dimmɔne
infamy;din bɔne a wɔde di dwuma
infant formula;nkokoaa aduan a wɔde ma
infant;abɔdoma
infanta;nkokoaa
infante;nkokoaa
infanticide;nkokoaa a wokum wɔn
infantry;asraafo a wɔnam fam
infantryman;ɔsraani a ɔnam fam
infarct;infarct a ɛma obi ho kyere no
infatuate;akɔnnɔ
infatuation;akɔnnɔ a wɔde wɔn ho hyɛ mu
infeasible;nea entumi nyɛ yiye
infect;ɔyare mmoawa
infected;wɔanya ɔyare mmoawa
infection;nsaneɛ
infectious;ɔyare mmoawa
infectiousness;ɔyare mmoawa a wɔde ba
infelicitous;infelicitous
infer;infer
inferior oblique;a ɛba fam a ɛyɛ oblique
inferior rectus;rectus a ɛba fam
inferior;obi a ɔba fam
inferiority complex;obi a ɔba fam a ɔba fam
inferiority;obi a ɔba fam
inferno;inferno a ɛyɛ hu
infertile;a wontumi nwo
infestation;mmoawa a wɔsɛe nnɔbae
infidel;ɔnyɛ obi a onnye nni
infidelity;nokware a wonni
infield fly rule;infield fly mmara
infield fly;infield nwansena
infiltrate;hyɛn mu
infiltration;a wɔde hyɛn mu
infimum;infimum a ɛyɛ den
infinite;nea enni ano
infinitely;a enni ano
infinitive;asɛmfua a enni awiei
infinity;ɛnni awieeɛ
infirm;infirm
infirmary;infirmary
infirmity;mmerɛwyɛ
inflammable;a ɛyɛ hyew
inflammation;ahonhono
inflammatory;a ɛma obi ho hyehye no
inflate;inflate
inflated;a wɔde ahyɛ mu ma
inflation;nneɛma boɔ sorokɔ
inflect;inflect
inflection;inflection a wɔde di dwuma
inflectional;inflectional a wɔde di dwuma
inflexibility;a wontumi nsakrasakra
inflexible;a ɛnyɛ nea ɛyɛ mmerɛw
inflexibly;wɔ ɔkwan a ɛnyɛ nea ɛyɛ mmerɛw so
inflict;de ba
infliction;infliction a wɔde hyɛ obi so
inflorescence;nhwiren a ɛyɛ nhwiren
influence peddling;nkɛntɛnso peddling
influence;nkɛntɛnsoɔ
influencer;influencer
influential;a ɛwɔ nkɛntɛnso
influenza;atiridiinini
influx;nnipa a wɔba hɔ
informal;a ɛnyɛ ɔkwan biara so
informality;a ɛnyɛ ɔkwan biara so
informally;wɔ ɔkwan a ɛnyɛ ɔkwan pa so
informatic;nsɛm a wɔde ma
informatics;nsɛm ho amanneɛbɔ ho adesua
Information Age;Amanneɛbɔ Mmere
information science;nsɛm ho nyansahu
information security;nsɛm ho banbɔ
information society;nsɛm ho amanneɛbɔ fekuw
information theory;nsɛm ho nsusuwii
information warfare;nsɛm ho akodi
information;asɛm
informative;nsɛm a ɛma nsɛm pii
informed;bɔɔ amanneɛ
infrared;infrared a ɛyɛ fɛ
infrasound;infrasound a wɔde yɛ nneɛma
infrastructure;infrastructure a wɔde yɛ adwuma
infrequent;ɛntaa mma
infringe;mmara so bu
infuriate;abufuw mu
infuriating;a ɛyɛ abufuw
infusion;infusion a wɔde hyɛ nipadua mu
ingeniosity;nyansa a wɔde yɛ adwuma
ingenious;nyansapɛfo
ingenuity;nyansa a wɔde yɛ adwuma
ingenuous;nyansapɛfo
ingest;ingest a wobɛnom
ingestion;a wɔnom
ingot;ingot a wɔfrɛ no ingot
Ingram;Ingram na ɔkyerɛwee
ingrate;anisɔ a wonni
ingratiate;a ɛnyɛ anigye
ingredient;ade a wɔde yɛ aduan
ingress;ingress a wɔde hyɛ mu
inguinal;inguinal a ɛwɔ nipadua no mu
inguinodynia;inguinodynia a ɛma obi ho yɛ hyew
Ingushetia;Ingushetia na ɔkyerɛwee
inhabitant;ɔtefo a ɔte hɔ
inhabited;nnipa a wɔte mu
inhalation;a wɔhome
inhale;home
inharmonicity;a ɛne ne ho nhyia
inhere;inhere
inherent;awosu mu
inherently;fi awosu mu
inherit;agyapade
inheritable;agyapade a wonya fi awo mu
inheritance tax;agyapade ho tow
inhibit;inhibit
inhibition;inhibition a wɔde siw ano
inhibitive;a esiw ano
inhibitor;inhibitor a wɔde siw ano
inhospitable;a wɔnyɛ ahɔhoyɛ
inhospitality;ahɔhoyɛ a wonni
inhuman;a ɛnyɛ nnipa de
inhumane;a ɛnyɛ nnipa de
inhumanity;nnipa a wonni nnipa
inhumation;inhumation
inimical;atamfo
iniquitous;amumɔyɛfo
iniquity;amumɔyɛ
initial;ahyɛaseɛ
initialism;initialism a wɔde di dwuma
initialize;initialize
initially;mfiase no
initiation;ahyɛase a wɔde hyɛ ase
initiative;deɛ obi de aba
initiatory;initiatory a wɔde hyɛ ase
inject;inject a wɔde twitwiw nipadua no mu
injectable;a wɔde twitwiw nipadua mu
injection;injection a wɔde twitwiw nipadua no mu
injective;injective a wɔde twitwiw nipadua mu
injector;injector a wɔde hyɛ nipadua mu
injure;opira
injury;opira
injustice;ntɛnkyea
ink-pad;ink-pad a wɔde di dwuma
ink;ink
inkbrush;inkbrush a wɔde hyɛ mu
inkhorn;inkhorn a wɔde hyɛ mu
inkjet printer;inkjet afiri a wɔde tintim nhoma
inkwell;inkwell a wɔde hyɛ mu
Inland Sea;Po a Ɛwɔ Asase Mu
inlay;inlay a wɔde hyɛ mu
inlet;inlet
inmate;ɔdeduani
inn;ahɔhodan
innate;awosu mu
inner child;abofra a ɔwɔ mu
inner core;emu ntini
inner ear;aso a ɛwɔ mu
Inner Mongolia;Mongolia a ɛwɔ Mfinimfini Fam
inner planet;okyinnsoromma a ɛwɔ mu
inner tube;mu afiri a ɛwɔ mu
innkeeper;ahɔhodan wura
innocence;asɛm a ɛho nni asɛm
innocent;nnim ho hwee
innocently;a asɛm biara nni ho
innocuous;a asiane biara nni ho
innominate;innominate
innovate;yɛ nneɛma foforo
innovation;nsakramu
innovative;nneɛma foforo a wɔyɛ
innovator;ɔyɛfo a ɔyɛ nneɛma foforo
innuendo;innuendo a wɔde kyerɛkyerɛ mu
inoculate;inoculate a wɔde hyɛ mu
inoffensive;a ɛnyɛ bɔne
inorganic chemistry;nnuru a ɛnyɛ abɔde mu nneɛma
inorganic;a ɛnyɛ abɔde mu nneɛma
inosilicate;inosilicate a wɔde yɛ adwuma
inoxidizable;a ɛnyɛ nea ɛyɛ hyew
inpatient;ɔyarefo a wɔda ayaresabea
input method;ɔkwan a wɔfa so de nsɛm hyɛ mu
input;input
inquietude;adwenem naayɛ
inquiline;inquiline a wɔde kyerɛw nsɛm
inquinate;inquinate a wɔde wɔn ho hyɛ mu
inquire;bisabisa nsɛm
inquiry;nhwehwɛmu
Inquisition;Atirimɔden Asenni
inquisitive;obi a ɔpɛ sɛ ohu nneɛma pii
insalubrious;a ɛnyɛ nea ahoɔden wom
insane;dam
insanity;agyimisɛm
insatiable;a wontumi nnyae
inscribe;nkyerɛwee
inscription;nkyerɛwee
inscrutable;a wontumi nhu mu
insect;aboawa
insectarium;nkoekoemmoa atrae
insecticide;aduru a wɔde kum nkoekoemmoa
insectivore;nkoekoemmoa a wodi nkoekoemmoa
insecure;nni bammɔ
insemination;insemination a wɔde hyɛ nipadua mu
insensate;insensate
insensible;a wonni ntease
insensitive;a wonni nkate
insensitively;a wonni nkate biara
insensitivity;nkate a wonni
inseparable;a wontumi ntetew mu
inseparably;a wontumi ntetew mu
insert;fa hyɛ mu
insertion;a wɔde hyɛ mu
inset;inset a wɔde ahyɛ mu
inshallah;inshallah
inshore;mpoano
inside baseball;baseball mu
inside joke;aseresɛm a ɛwɔ mu
inside out;mu kɔ akyi
inside;emu
insider;obi a ɔwɔ mu
insidious;anifere kwan so
insight;nhunumu
insightful;nhumu a ɛma wonya nhumu
insignia;agyiraehyɛde ahorow
insignificance;nea ɛho nhia
insignificant;a ɛho nhia
insincere;a wonni komapa
insinuate;insinuate a wɔde hyɛ mu
insinuation;insinuation a wɔde hyɛ nkurɔfo nkuran
insipid;a ɛnyɛ dɛ
insipidity;inspidity a ɛnyɛ dɛ
insipidly;wɔ ɔkwan a ɛnyɛ dɛ so
insipidness;insipidness a ɛnyɛ dɛ
insist;hwɛ sɛ
insistence;a wɔhyɛ no denneennen
insistently;a wɔhyɛ no denneennen
insofar as;kosi sɛ
insole;insole a wɔde hyɛ mu
insolency;animtiaabu
insoluble;a ɛnyɛ nea ɛtumi nwura mu
insolvable;a wontumi nsiesie
insolvency;sika a wontumi ntua
insolvent;a wontumi ntua sika
insomnia;asoroben
insomniac;obi a ontumi nna
inspect;hwehwɛ mu
inspection;nhwehwɛmu a wɔyɛ
inspiration;nkuranhyɛ
instability;nea entumi nnyina pintinn
install;fa sto so
installation;instɔlehyɛn
installer;instɔler a wɔde hyɛ mu
installment;installment a wɔde ma
instance;nhwɛsoɔ
instant coffee;kɔfe a wɔde di dwuma ntɛm ara
instant message;nkrasɛm a ɛba ntɛm ara
instant messaging;nkrasɛm a wɔde mena ntɛm ara
instant messenger;ɔbɔfo a ɔde ne ho hyɛ mu ntɛm ara
instant noodle;noodle a wɔyɛ no ntɛm ara
instant;prɛko pɛ
instantaneous;a ɛba ntɛm ara
instantaneously;amonom hɔ ara
instantly;amonom hɔ ara
instanton;ntɛm ara
instar;instar
instead of;sɛ anka
instead;sɛ anka
instigation;nhyɛso a wɔde hyɛ nkurɔfo nkuran
instigator;ɔkanyanfo
instill;de hyɛ obi mu
instinct;awosu mu nneɛma
instinctive;awosu mu adeyɛ
instinctively;wɔ awosu mu
institute;asoɛe no
institution;asoɛe
institutional;ahyehyɛde ahorow
instruct;kyerɛkyerɛ
instruction;nkyerɛkyerɛ
instructive case;asɛm a ɛkyerɛkyerɛ
instructive;a ɛkyerɛkyerɛ
instructor;ɔkyerɛkyerɛfo
instrument;akadeɛ
instrumental case;adwinnade asɛm
instrumental;nnwinnade a wɔde di dwuma
instrumentalist;sankubɔfo a ɔbɔ nnwom
insubstantial;a ɛnyɛ nea ɛho hia
insubstantiality;a ɛnyɛ nea ɛho hia
insufficient;ɛnnɔɔso
insular;nsupɔw so
insularism;nsupɔw so atrae
insulation;insulation a wɔde hyɛ mu
insulator;insulator a wɔde siw mframa ano
insulin;insulin a wɔde yɛ aduru
insult;atɛnnie
insulting;animtiaabu
insurance company;insurance adwumakuw bi
insurance policy;insurance krataa
insurance;nsiakyibaa
insure;insurance
insurgent;atuatewfo
insurmountable;a wontumi nni so nkonim
insurrection;atuatewfo a wɔsɔree
intact;pɛpɛɛpɛ
intake manifold;intake manifold a wɔde di dwuma
intake;intake a wɔde di dwuma
intangible asset;agyapade a wontumi mfa wɔn nsa nka
intangible;a wontumi mfa wɔn nsa nka
integer;integer a ɛyɛ pɛpɛɛpɛ
integrable;nea wotumi de bom
integral calculus;integral calculus a ɛyɛ adwuma
integral;ade titiriw a ɛho hia
integrand;integrand a ɛyɛ den
integrated circuit;ɔmansin a wɔaka abom
integrated;a wɔaka abom
integration;nkabom a wɔde bɛka abom
integrin;integrin a wɔde di dwuma
integrity;animuonyam
integument;integument a ɛwɔ nipadua no mu
integumentary;integumentary a ɛyɛ mmerɛw
intellect;adwene a wɔde yɛ adwuma
intelligence agency;amanneɛbɔ adwumayɛbea
intelligence;nyansa
intelligent design;nyansa kwan so adwini
intelligent;nim nyansa
intelligently;nyansa mu
intelligentsia;anyansafo a wɔyɛ anyansafo
intelligibility;ntease a wotumi te ase
intelligible;a wɔte ase
intelligibly;wɔ ntease mu
intempestivity;animtiaabu a wɔde di dwuma
intend;tirimpɔ
intended;botaeɛ
intense;emu yɛ den
intensely;denneennen
intensify;mu yɛ den
intensity;ahoɔden a emu yɛ den
intensive;intensive
intensively;denneennen
intent;adwene a wɔde asie
intention;tirimpɔ
intentional;ahyɛ da ayɛ
intentionally;wɔahyɛ da ayɛ
inter alia;nea ɛka ho ne
inter-;inter- .
inter;inter
interact;nkutahodie
interaction;nkutahodie
interactive;nkitahodi a ɛma obi di nkitaho
interactivity;nkitahodi a ɛkɔ so
intercalary;intercalary a ɛwɔ ntam
intercept;intercept
intercession;ntamgyinafo
intercessor;ntamgyinafo
interchange;a wɔde sesa wɔn ho wɔn ho
interchangeable;wotumi sesa wɔn ho wɔn ho
intercity;nkurow ntam
intercom;intercom a wɔde di dwuma
interconnection;nkitahodi a ɛda wɔn ntam
intercontinental;nsasepɔn ntam nkitahodi
intercourse;nna mu ɔbrasɛe
intercultural;amammerɛ ahorow ntam
interdependence;wɔn ho wɔn ho a wɔde wɔn ho to wɔn ho so
interdependent;a wɔde wɔn ho to wɔn ho wɔn ho so
interest rate;mfɛntom a wɔbɔ
interest;mfasoɔ
interested;ani gye ho
interestedly;anigye so
interesting;anika
interestingly;nea ɛyɛ anigye no
interface;ntamgyinafo
interfere;huahua mu
interference;ntwitwiridii
interferometer;interferometer a wɔde hyɛ nneɛma mu
interferon;interferon a wɔde hyɛ nipadua mu
interfix;ntamgyinafo
intergalactic;nsoromma kuw ntam
interim;bere tiaa mu
interior;mu
interjection;nsɛm a wɔde hyɛ mu
interlace;ntamgyinafo
interleave;interleave a wɔde hyɛ mu
Interlingua;Kasa ahorow ntam
interloper;ɔde ne ho hyɛ mu
interlude;ntamgyinafo
intermediary;ntamgyinafo
intermediate;adantam
interment;amusiei
interminable;a enni awiei
intermission;ahomegye bere
intermittent;a ɛba bere ne bere mu
intermodal;intermodal a wɔde di dwuma
intern;intern a ɔreyɛ adwuma wɔ hɔ
internal combustion;ɔhyew a ɛwɔ mu
internal organ;akwaa a ɛwɔ nipadua no mu
internal;mu asɛm
international law;amanaman ntam mmara
international waters;amanaman ntam nsu ahorow
international;amansan
Internationale;Amanaman Ntam Nkitahodi
internationalism;amanaman ntam nkitahodi
internationalist;amanaman ntam ho nimdefo
internationalization;amanaman ntam nkitahodi
internationalize;amanaman ntam nkitahodi
internationally;wɔ amanaman ntam
internaut;internaut a ɔde ne ho hyɛ mu
Internet cafe;Intanɛt so adwumayɛbea
Internet Protocol;Intanɛt so Nsɛm a Wɔahyehyɛ
Internet;Intanɛt so
internship;adwumasua
interoperability;adwumayɛ a ɛne wɔn ho wɔn ho di nkitaho
interpersonal;nnipa ntam nkitahodi
interplanetary;okyinnsoromma ahorow ntam
interplea;adesrɛ a wɔde bisabisa nsɛm
interpleader;obi a ɔde nsɛm bisabisa nsɛm
interpolate;fa nsɛm a wɔde hyɛ mu
interpolation;nsɛm a wɔde hyɛ mu
interpose;de wɔn ho hyɛ mu
interposition;ntamgyinafo
interpret;kyerɛ mu
interpretable;wotumi kyerɛ ase
interpretation;nkyerɛase
interpreter;nkyerɛmuni
interpupillary;interpupillary a ɛwɔ ntam
interregional;mpɔtam ahorow ntam
interregnum;nniso ahorow ntam
interrobang;interrobang a wɔde bisabisa nsɛm
interrogate;bisabisa nsɛm
interrogation;nsɛm a wobisabisa nkurɔfo
interrogative;nsɛmmisa a wɔde bisabisa nsɛm
interrogatively;nsɛmbisa mu
interrogator;obi a obisabisa nsɛm
interrupt;bɔ wura mu
interrupter;ɔtwitwafoɔ
interruption;ntwitwiridii
intersect;twa ntam
intersection;nhyiamu
intersectionality;ntamgyinafo
intersex;mmarima ne mmea ntam abusuabɔ
intersexual;mmarima a wɔne wɔn ho da
intersexuality;ɔbarima ne ɔbea nna ntam nkitahodi
Interslavic;Nslavfo ntam kasa
interspecific;mmoa ahorow ntam
intersperse;ntamgyinafo
interstate;aman ntam
interstellar;nsoromma ntam
interstice;ntamgyinafo
interstitial;ntamgyinafo
intertextuality;nsɛm a ɛda ntam
intertidal;intertidal
intertwine;wɔde wɔn ho hyɛ mu
interval;ntamgyinafo
intervene;de wɔn ho gye mu
intervention;a wɔde wɔn ho gye mu
interventive;a wɔde wɔn ho gye mu
intervertebral disc;akyi berɛmo ntam disc
intervertebral;akyi berɛmo ntam
interview;anototoɔ
interviewee;nea wobisabisaa no nsɛm
interviewer;obi a obisabisa nsɛm
intervillous space;ahunmu a ɛwɔ ntam
interwar;akodi ntam akodi
interweave;ntamgyinafo
intestable;nea wontumi nnye ntom
intestinal;dwensɔtwaa mu
intestine;dwensɔtwaa mu
intifada;intifada a wɔde di dwuma
intimacy;abusuabɔ a emu yɛ den
intimidate;ahunahuna
intinction;adwene a wɔde yɛ ade
into;kɔ mu
intolerable;a wontumi nnyina ano
intolerably;a wontumi nnyina ano
intolerance;abodwokyɛre a wonni
intolerant;a wontumi nnye ntom
intonation;ɛnne nnyigyei
intoxicate;ɔbow nsa
intoxicated;a wɔabow nsa
intracellular;nkwammoaa mu
intractability;nea wontumi nsiesie
intractable;nea wontumi nsiesie
intraday;intraday
intrahepatic;a wɔde hyɛ mmerɛbo mu
intranet;intanɛt so
intransigence;a wɔanhyɛ da
intransitive verb;adeyɛ asɛm a ɛnyɛ nea wɔde di dwuma
intransitive;a ɛnyɛ nea wɔde di dwuma
intransitively;wɔ ɔkwan a ɛnyɛ nea wɔde di dwuma so
intraosseous;a ɛwɔ nnompe mu
intrasexual;ɔbarima ne ɔbea nna mu
intraspecific;intraspecific
intrauterine device;afiri a wɔde fa awotwaa mu
intravenous;a wɔde fa ntini mu
intrepid;akokodurufo
intricate;nsɛm a ɛyɛ nwonwa
intrigue;atirimɔdensɛm
intriguing;a ɛyɛ anigye
intrinsic;nea ɛwɔ nipadua no mu
intrinsically;wɔ awosu mu
intro;nnianim asɛm
introduce;da no adi
introduction;nnianimu
introductory;nnianim asɛm
intron;intron a wɔde di dwuma
introspection;n’ankasa mu nhwehwɛmu
introspective;obi a ɔhwɛ ne ho mu
introspectively;wɔ ɔkwan a wɔfa so hwɛ wɔn ho mu
introvert;ampɛkasa
introverted;obi a ɔde ne ho hyɛ mu
intruder;ɔde ne ho hyɛ mu
intrusion;a wɔde wɔn ho hyɛ mu
intrusive;a wɔde wɔn ho hyɛ mu
intuit;intuit a wɔde di dwuma
intuition;ahonim
intuitive;a ɛyɛ nea wotumi te ase
Inuktitut;Inuktitut kasa mu
inulin;inulin a wɔde yɛ adwuma
inundate;nsu a ɛyiri fa mu
inundation;nsuyiri a ɛreworo so
inure;inure
invade;ntua
invader;ntuafo
invaginate;a wɔde hyɛ ɔbea no mu
invalidate;a ɛnyɛ nokware
invaluable;a ɛsom bo kɛse
invariably;a ɛnyɛ nea ɛsakra
invasion;ntua a wɔde ba
invasive;a ɛyɛ ntua
inveigle;inveigle a wɔde kyerɛw nsɛm
invent;yɛ biribi foforɔ
invented;a wɔayɛ no foforo
invention;nsusuwii a wɔayɛ
inventor;ɔdebɔneyɛfo
inventory;deɛ ɛwɔ hɔ
inventrix;inventrix a wɔde yɛ nneɛma
Inverness;Inverness a ɛwɔ hɔ
inverse function;inverse dwumadie
inverse matrix;matrix a ɛdannan no
inverse;inverse
inversely;wɔ ɔkwan a ɛne no bɔ abira so
inversion;inversion a wɔdannan no
invert;invert
invertebrate;abɔde a wonni akyi berɛmo
invertible;nea wotumi dannan no
invest;fa sika hyɛ mu
investigate;hwehwɛ mu
investigation;nhwehwɛmu a wɔyɛ
investigator;nhwehwɛmufo
investment bank;sikakorabea a wɔde sika gu mu
investment fund;sikakorabea a wɔde sika hyɛ mu
investment;sika a wɔde bɛto mu
investor;sikakorafo
inveterated;a wɔayɛ no foforo
invincibility;nkonimdi a wontumi nni so
invincible;nea wontumi nni so nkonim
inviolable;a wontumi nsɛe no
invisibility;a wontumi nhu
invisible;a wontumi nhu
invisibly;a wontumi nhu
invitation;nsatofrɛ
invite;to nsa frɛ
invoice;kadan krataa
invoke;frɛ
involucre;involucre a wɔde hyɛ mu
involuntarily;a wɔmpɛ sɛ wɔyɛ
involuntary;a ɛnyɛ nea wɔpɛ
involve;ka ho
invulnerable;a wontumi nsɛe no
inward;mu
inwards;kɔ mu
Io;Io
iodate;iodate a wɔde yɛ adwuma
iodide;iodide a wɔde yɛ adwuma
iodine;iodine a wɔde yɛ adwuma
iodize;iodize a wɔde yɛ nneɛma
ion;ion
Ionian Islands;Ionia Nsupɔw so
Ionian Sea;Ionia Po no
ionic;ionic a ɛyɛ ionic
ionization;ionization a wɔde yɛ nneɛma
ionize;ionize a ɛyɛ ionize
ionizing radiation;mframa a ɛma ionizing
ionosphere;ionosphere a ɛyɛ fɛ
iota;iota
iotation;iotation a wɔde yɛ adwuma
IOU;IOU
Iowa;Iowa na ɛwɔ hɔ
IP address;IP address a ɛwɔ hɔ
IPA;IPA na ɛyɛ
Iphigenia;Iphigenia a ɛwɔ nipadua no mu
iPhone;iPhone
iPod;iPod
ipsative;ipsative a ɛyɛ nokware
ipso facto;ipso facto a ɛyɛ nokware
IQ;IQ
Iquitos;Iquitos na ɛwɔ hɔ
Iraklion;Iraklion na ɔkyerɛwee
Iran;Iran
Iranian;Iranfoɔ dea
Iraq;Iraq
Iraqi;Iraqfo kasa
irascible;abufuw a ɛyɛ hu
irate;abufuw a ɛyɛ hu
ire;ire a ɛyɛ hu
Ireland;Ireland
Irene;Irene na ɔkyerɛwee
iridescence;iridescence a ɛyɛ fɛ
iridium;iridium a ɛyɛ iridium
iris dilator muscle;iris dilator ntini a ɛtrɛw
iris;iris a ɛyɛ fɛ
Irish coffee;Irelandfo kɔfe
Irish moss;Irelandfo nsɔe a wɔfrɛ no moss
Irish Sea;Ireland Po no
Irish setter;Irelandni a ɔyɛ setter
Irish Wolfhound;Irelandfo Ɔkraman a wɔfrɛ no Wolfhound
Irish;Irelandfo kasa
Irishman;Irelandni a ɔyɛ ɔbarima
Irishwoman;Irelandni bea bi
iritis;iritis a ɛma obi ho yɛ hyew
irk;irk
irksome;ɛyɛ abufuw
Irkutsk;Irkutsk na ɛwɔ hɔ
Iron Age;Dade Mmere no
Iron Curtain;Dade Ntama a Wɔde Yɛ Ntama
iron fist;dade a wɔde yɛ nsateaa
iron lung;dade ahurututu
iron maiden;dade ababaa
iron ore;dade a wɔde yɛ nneɛma
iron out;dade a wɔde yɛ adwuma
iron oxide;dade a ɛyɛ oxide
iron;dadeɛ
ironclad;a wɔde dade ayɛ
ironic;aseresɛm
ironically;anwonwasɛm ne sɛ
ironing board;dade a wɔde dade yɛ
ironing;dade a wɔde dade yɛ
ironmonger;dadetɔnfo
irony;aseresɛm a ɛyɛ aseresɛm
irrational number;dodow a ntease nnim
irrational;ntease nnim
irrationalism;ntease a enni hɔ
irrationality;ntease a enni mu
irrationally;a ntease nnim
Irrawaddy;Irrawaddy na ɔkyerɛwee
irreconcilable;nea wontumi nsiesie
irredentism;irredentism a ɛnyɛ nea ɛwɔ hɔ
irrefragable;a wontumi nsɛe no
irrefutable;a wontumi nnye ho kyim
irregular verb;adeyɛ asɛm a ɛnkɔ so daa
irregular;nea ɛnkɔ so daa
irregularity;nea ɛnkɔ so pɛpɛɛpɛ
irregularly;a ɛnyɛ daa
irrelevant;a ɛho nhia
irreligious;a wonni nyamesom
irremediable;a wontumi nsiesie
irremediably;a wontumi nsiesie
irreparable;a wontumi nsiesie
irreparably;a wontumi nsiesie
irreplaceable;a wontumi nsi ananmu
irreplicable;nea wontumi nsusuw ho
irrepressible;a wontumi nsiw ano
irresistible;a wontumi nsiw ano
irresistibly;a wontumi nsiw ano
irresolute;a wontumi nsi pi
irrespective;a ɛnyɛ nea ɛfa ho
irresponsibly;wɔ asɛyɛde a enni mu
irreverent;a wonni obu
irreversible;a wontumi nsakra no
irrevocable;nea wontumi nsakra no
irrigate;nsu a wɔde gugu nnɔbae so
irrigation;nsu a wɔde gugu nnɔbae so
irritability;abufuw a ɛma obi bo fuw
irritable;abufuw a ɛyɛ hu
irritating;a ɛhyɛ abufuw
irritation;abufuw a ɛba obi so
irruption;irruption a ɛyɛ hu
is it going to rain;so osu rebɛtɔ
is it just me;so ɛyɛ me nkutoo
is it safe here;so ahobammɔ wɔ ha
is there any problem;so ɔhaw bi wɔ hɔ
is;yɛ
Isaac;Isak
Isabel;Isabel na ɔkyerɛwee
Isaiah;Yesaia
ISBN;ISBN
ischemia;ischemia a ɛma mogya tu
ischemic;ischemic a ɛma mogya tu
Ischia;Ischia na ɔkyerɛwee
ischial tuberosity;ischial tuberosity a ɛwɔ nipadua no mu
ischium;ischium (ischium) a wɔfrɛ no ischium
isentropic;isentropic a ɛwɔ hɔ
Isernia;Isernia na ɔkyerɛwee
Isfahan;Isfahan na ɔkyerɛwee
Ishmael;Ismael
Isidora;Isidora na ɔkyerɛwee
Isidore;Isidore na ɔkyerɛwee
isinglass;isinglass a wɔde yɛ adwuma
Isis;Isis na ɔkyerɛwee
Islam;Islam
Islamabad;Islamabad na ɛwɔ hɔ
Islamic State;Islamic Man a ɛwɔ hɔ
Islamic;Islamfoɔ
Islamism;Nkramofosom
Islamization;Nkramofo a wɔde wɔn ho ahyɛ mu
Islamize;Islamize
Islamophobe;Nkramofo a wɔmpɛ Nkramofo
Islamophobia;Nkramofo ho tan
island state;supɔw so man
island;supɔ
islander;supɔw soni
Isle of Man;Man Supɔw so
Isle of Wight;Wight Supɔw so
islet;supɔw ketewaa bi
isn't it so;so ɛnte saa
iso-;iso- .
isoazimuthal;isoazimutal a ɛyɛ isoazimutal
isobutane;isobutane a wɔde yɛ adwuma
isochromosome;isochromosome a ɛwɔ nipadua no mu
isoform;isoform a ɛyɛ isoform
isogloss;isogloss a wɔde di dwuma
isolate;tew wɔn ho fi afoforo ho
isolated;ayi no ama
isolation;tew a wɔtew wɔn ho fi afoforo ho
isolationism;tew a wɔtew wɔn ho fi afoforo ho
isolationist;obi a ɔtew ne ho fi afoforo ho
isoleucine;isoleucine a wɔde yɛ aduru
isomer;isomer a ɛyɛ isomer
isomere;isomere a ɛwɔ hɔ
isometry;isometry a wɔde kyerɛw nsɛm
isomorphic;isomorphic a ɛyɛ isomorphic
isomorphism;isomorphism a ɛwɔ nipadua no mu
isoniazid;isoniazid a wɔde yɛ aduru
isopod;isopod (isopod) a ɛwɔ hɔ
isoprene;isoprene a wɔde yɛ nnuru
isopropoxide;isopropoxide a wɔde yɛ adwuma
isotone;isotone a wɔde yɛ adwuma
isotonic;isotonic a ɛyɛ isotonic
isotope;isotope a ɛwɔ hɔ
isotropic;isotropic a ɛyɛ isotropic
Israel;Israel
Israeli;Israelfo
Israelite;Israelni
Issachar;Isakar
ISSN;ISSN na ɛyɛ
issue;asɛm
Istanbul;Istanbul na ɛwɔ hɔ
Istanbulite;Istanbulite a ɛwɔ hɔ
Isthmus Zapotec;Isthmus Zapotec na ɛwɔ hɔ
isthmus;isthmus a ɛwɔ hɔ
Istria;Istria na ɛwɔ hɔ
Istro-Romanian;Istro-Romania kasa
it can't be helped;wontumi mmoa
it doesn't matter;ɛnyɛ hwee
it was delicious;na ɛyɛ dɛ
it's a small world;ɛyɛ wiase ketewaa bi
it's about time;ɛfa bere ho
it's all Greek to me;ne nyinaa yɛ Hela kasa ma me
it's an emergency;ɛyɛ asɛm a egye ntɛmpɛ
it's cold outside;awɔw wom wɔ abɔnten
it's raining;osu retɔ
it's too expensive;ɛyɛ nea ne bo yɛ den dodo
it's;ɛyɛ
it;ɛno
