N'Djamena;N'Djamena na ɔkyerɛwee
noun;edin
nourish;ma aduannuru
nouveau riche;nouveau riche a ɛyɛ fɛ
Nova Scotia;Nova Scotia na ɛwɔ hɔ
Nova Scotian;Nova Scotia kasa mu
nova;nova
Novaya Zemlya;Novaya Zemlya na ɔkyerɛwee
novel;akenkan
novelist;ayɛsɛm kyerɛwfo
novelize;yɛ novelize
novella;novella a ɛyɛ nwonwa
novelty;ade foforo a wɔyɛ
November;Obubuo
novena;novena a ɛyɛ nokware
Novgorod;Novgorod na ɔkyerɛwee
novice;novice a ɔyɛ foforo
Novokuznetsk;Novokuznetsk na ɔkyerɛwee
Novosibirsk;Novosibirsk na ɔkyerɛwee
now and then;mprempren ne mprempren
now;seesei
nowadays;nnansa yi
nowhere;baabiara nni hɔ
nowise;noise
Nowruz;Nowruz na ɔkyerɛwee
noxious;atirimɔdensɛm
nozzle;nozzle
nth;nth
nu;nu
nuance;nuance (nuance) a ɛyɛ nwonwa
nuanced;nuanced a ɛyɛ nwonwa
nubile;nubile
nucellus;nucellus a ɛwɔ nipadua no mu
nuchal cord;nuchal hama a ɛwɔ nipadua no mu
nuclear bomb;nuklea ɔtopae
nuclear chemistry;nuklea nnuruyɛ ho nimdeɛ
nuclear energy;nuklea ahoɔden
nuclear family;nuklea abusua
nuclear fission;nuklea mu mpaapaemu
nuclear fusion;nuklea a wɔde afrafra
nuclear holocaust;nuklea okunkɛse
nuclear meltdown;nuklea a ɛyɛ hyew
nuclear physics;nuklea abɔde mu nneɛma ho adesua
nuclear power plant;nuklea ahoɔden adwumayɛbea
nuclear power;nuklea ahoɔden
nuclear reactor;nuklea afiri a wɔde yɛ nneɛma
nuclear weapon;nuklea akode
nuclear winter;nuklea awɔw bere
nuclear;nuklea nuklea
nuclease;nuclease a ɛyɛ den
nucleation;nucleation a wɔde yɛ nneɛma
nucleic acid;nucleic acid a ɛwɔ nipadua no mu
nucleic;nucleic a ɛwɔ nipadua no mu
nucleoid;nucleoid a ɛwɔ nipadua no mu
nucleolus;nucleolus a ɛwɔ nipadua no mu
nucleon;nuklea a ɛyɛ den
nucleonics;nuklea ho nimdeɛ
nucleosome;nucleosome a ɛwɔ nipadua no mu
nucleotide;nucleotide a ɛwɔ nipadua no mu
nucleus;nucleus no mu
nuclide;nuclide a wɔde yɛ nneɛma
nude;adagyaw
nudge;nudge (nudge) a wɔde wɔn ho hyɛ mu
nudibranch;nudibranch a ɛyɛ fɛ
nudism;adagyaw a wɔde di dwuma
nudist beach;nudist mpoano
nudist;nudist a ɔyɛ ɔkwasea
nudity;adagyaw a wɔda no adi
nudiustertian;nudiustertian a wɔde di dwuma
Nueva Segovia;Nueva Segovia na ɛwɔ hɔ
Nuevo León;Nuevo León na ɔkyerɛwee
nugatory;nugatory a ɛyɛ fɛ
nugget;nugget a wɔde yɛ nneɛma
nuisance;ɛha adwene
nuke;nuke
Nuku'alofa;Nuku'alofa
null and void;null ne void
nullify;yɛ nullify
numb;wu
numbat;numbat a ɛyɛ den
Number of the Beast;Aboa no Dodow
number theory;akontaahyɛde ho nsusuwii
number;nɔma
numbers station;nɔma gyinabea
Numbers;Akontaabu
numeral;akontaahyɛde
numerator;akontaabufo
numerical analysis;akontaabu mu nhwehwɛmu
numerical;akontaabu mu nsɛm
numerous;dodow a ɛdɔɔso
Numidia;Numidia a wɔde di dwuma
Numidian;Numidian kasa
numismatic;sika a wɔde di dwuma
numismatics;sika ho adesua
numismatist;sika ho ɔbenfo
nun;nun
Nunavut;Nunavut na ɛwɔ hɔ
nunc pro tunc;nunc pro tunc na ɛwɔ hɔ
nuncheon;nuncheon a wɔde di dwuma
nuncio;nuncio
nuptial;ayeforohyia
nuptials;ayeforohyia ahorow
Nuremberg;Nuremberg na ɔkyerɛwee
nurse shark;nurse shark a ɔyɛ ɔyarehwɛfo
nurse;nɛɛseni
nursehound;nursehound a wɔde wɔn ho hyɛ mu
nursemaid;ɔyarehwɛfo a ɔyɛ ɔyarehwɛfo
nursery school;mmofra sukuu
nursery;nkokoaa dan
nursing home;nkwakoraa ne mmerewa fie
nursing;ayarehwɛfo
nurture;hwɛ
nut;aba
nutation;nutation a wɔde yɛ nneɛma
nutcracker;nutcracker a wɔde yɛ aduan
Nutella;Nutella a wɔfrɛ no nutella
nuthatch;nuthatch a wɔde yɛ nneɛma
nutmeg;natmɛɛge
nutrient;aduannuru a ɛma ahoɔden
nutrition;nnuanennuro
nutritional;aduannuru a wɔde ma
nutritious;aduannuru a ɛma ahoɔden
nuts;nnuaba a wɔfrɛ no nuts
NW;NW
nylon;nylon a wɔfrɛ no nylon
nymph;nymph a wɔfrɛ no nymph
nymphomaniac;nymphomaniac a ɔyɛ ɔbarima
Nyx;Nyx na ɔkyerɛwee
née;née
négligée;négligée a wɔde di dwuma
névé;névé na ɛyɛ
